6_L-glutamine_BDH_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,189788
-358.5672754570978,189999
-355.77025989936726,190140
-352.97591591093277,190253
-350.18423885041375,190341
-347.3952240861159,190400
-344.60886699602463,190443
-341.82516296777254,190424
-339.0441073986201,190481
-336.2656956954402,190468
-333.48992327468994,190369
-330.7167855623894,190478
-327.9462779940995,190433
-325.17839601490897,190551
-322.4131350793979,190606
-319.65049065163294,190660
-316.89045820512644,190775
-314.1330332228362,190793
-311.3782111971333,190644
-308.6259876297756,190801
-305.8763580319037,190734
-303.1293179239997,190707
-300.38486283588077,190692
-297.64298830667076,190743
-294.903689884783,190890
-292.1669631279051,190892
-289.43280360295984,191023
-286.7012068861032,191090
-283.97216856270023,190998
-281.2456842272927,191139
-278.5217494835949,191086
-275.8003599444628,191140
-273.0815112318751,191093
-270.3651989769155,191254
-267.65141881975126,191357
-264.9401664096113,191448
-262.2314374047734,191370
-259.5252274725313,191470
-256.82153228918884,191295
-254.12034754002676,191453
-251.42166891929662,191477
-248.72549213018382,191540
-246.03181288480965,191629
-243.34062690418816,191688
-240.6519299182259,191721
-237.96571766568744,191756
-235.28198589419304,191719
-232.6007303601798,191601
-229.92194682889274,191663
-227.2456310743699,191724
-224.57177887940955,191826
-221.90038603556388,191897
-219.23144834311074,191888
-216.56496161104496,191882
-213.90092165704144,191880
-211.23932430745958,191973
-208.58016539730423,192022
-205.92344077021698,191970
-203.2691462784523,192077
-200.6172777828689,192167
-197.9678311528929,192125
-195.32080226651985,192201
-192.6761870102737,192206
-190.03398127921548,192317
-187.39418097689756,192283
-184.75678201536383,192249
-182.1217803151193,192332
-179.48917180512365,192332
-176.85895242276067,192370
-174.23111811382987,192412
-171.6056648325224,192447
-168.9825885414038,192497
-166.36188521139883,192526
-163.7435508217676,192471
-161.1275813600925,192480
-158.5139728222675,192537
-155.9027212124568,192709
-153.29382254310144,192618
-150.68727283489102,192610
-148.08306811674427,192740
-145.48120442579815,192722
-142.88167780737976,192747
-140.28448431499964,192764
-137.68962001033026,192814
-135.09708096318215,192796
-132.50686325150164,192767
-129.9189629613319,192865
-127.33337618681942,192846
-124.7500990301728,192831
-122.16912760167152,192992
-119.59045801962237,192899
-117.01408641036403,193065
-114.44000890823217,192983
-111.86822165555957,192930
-109.29872080263922,192991
-106.73150250773517,193002
-104.16656293703048,193245
-101.60389826464238,193098
-99.04350467258762,193111
-96.4853783507651,193098
-93.92951549695586,193231
-91.37591231678189,193152
-88.82456502370832,193201
-86.27546983902167,193209
-83.72862299181041,193260
-81.18402071895193,193297
-78.641659265093,193310
-76.10153488263674,193385
-73.56364383172102,193412
-71.02798238021188,193401
-68.49454680367319,193395
-65.96333338536667,193342
-63.43433841622149,193278
-60.9075581948235,193523
-58.38298902740647,193468
-55.86062722782179,193480
-53.34046911753196,193499
-50.82251102559538,193493
-48.30674928864472,193636
-45.79318025087816,193567
-43.28180026403347,193510
-40.77260568738361,193652
-38.265592887712884,193664
-35.76075823930394,193599
-33.2580981239226,193652
-30.757608930802665,193718
-28.259287056628565,193658
-25.763128905524535,193710
-23.26913088903076,193762
-20.777289426094672,193690
-18.287600943053643,193780
-15.800061873619784,193728
-13.314668658862601,193811
-10.831417747200321,193832
-8.350305594373875,193819
-5.871328663444725,193824
-3.394483424768845,193908
-0.9197663559815452,193997
1.5528260580025335,193835
4.02329732502411,194030
6.491650945681434,193929
8.957890413351967,194004
11.422019214203226,193974
13.884040827203629,193893
16.343958724152845,194026
18.801776369677462,194052
21.257497221257008,194024
23.711124729236968,194059
26.16266233684177,194149
28.61211348018783,194148
31.059481588305207,194081
33.50477008314412,194085
35.94798237959015,194188
38.38912188548803,194088
40.82819200163954,194104
43.265196121833846,194156
45.70013763285398,194222
48.133019914492046,194145
50.5638463395644,194242
52.99262027392247,194123
55.419345076474464,194155
57.84402409919186,194305
60.26666068712459,194358
62.687258178416215,194280
65.10581990432779,194320
67.522349189227,194413
69.93684935063371,194396
72.34932369920696,194362
74.75977553877316,194412
77.16820816633472,194415
79.57462487208745,194277
81.97902893943356,194438
84.38142364498815,194466
86.78181225860519,194399
89.18019804338411,194443
91.5765842556763,194466
93.97097414511317,194460
96.36337095461286,194433
98.75377792039524,194424
101.14219827198632,194405
103.52863523224644,194399
105.91309201737246,194429
108.29557183691723,194529
110.67607789380044,194529
113.05461338431732,194570
115.43118149816029,194537
117.80578541843202,194543
120.17842832164972,194643
122.54911337776466,194649
124.91784375017302,194691
127.28462259573546,194783
129.64945306477702,194678
132.01233830111318,194663
134.37328144205426,194773
136.73228561842484,194776
139.08935395456598,194674
141.44448956836774,194773
143.79769557125834,194802
146.1489750682302,194801
148.49833115785282,194829
150.84576693228604,194783
153.191285477282,194925
155.5348898722112,194864
157.87658319007124,194848
160.21636849749328,194848
162.55424885475938,194881
164.89022731581764,194880
167.22430692828888,194886
169.55649073348158,194893
171.88678176640724,194899
174.2151830557868,194996
176.541697624068,195020
178.86632848743622,195002
181.1890786558275,194975
183.50995113293294,194965
185.82894891622453,195063
188.14607499695757,195066
190.46133236019,194933
192.77472398478028,195147
195.0862528434221,195183
197.39592190262928,195045
199.7037341227746,195099
202.00969245808562,195206
204.31379985665336,195247
206.61605926045826,195105
208.91647360537667,195095
211.21504582118305,195198
213.51177883157823,195180
215.8066755541849,195258
218.09973890057378,195167
220.39097177626363,195192
222.6803770807406,195267
224.96795770746712,195217
227.25371654389036,195275
229.53765647146196,195227
231.81978036564652,195345
234.10009109591954,195334
236.37859152580424,195449
238.65528451286502,195357
240.93017290871848,195435
243.20325955905915,195509
245.47454730365104,195503
247.74403897635798,195549
250.0117374051392,195619
252.27764541207966,195532
254.54176581337717,195527
256.8041014193705,195568
259.06465503454814,195599
261.32342945755454,195541
263.5804274812056,195572
265.83565189250163,195690
268.08910547262496,195668
270.34079099697277,195587
272.59071123515247,195640
274.83886895099266,195622
277.0852669025671,195649
279.329907842186,195762
281.5727945164261,195680
283.8139296661309,195731
286.0533160264217,195850
288.2909563267167,195811
290.5268532907269,195896
292.76100963648423,196085
294.99342807633514,195889
297.2241113169665,196145
299.45306205941216,196236
301.68028299905075,196536
303.9057768256361,196805
306.1295462232971,197055
308.3515938705466,197245
310.5719224402942,197343
312.79053459986596,197663
315.0074330109955,197495
317.2226203298524,197556
319.4360992070464,197528
321.647872287634,197481
323.85794221113366,197296
326.0663116115363,197089
328.27298311731033,196904
330.477959351416,196811
332.6812429313214,196584
334.8828364690016,196484
337.08274257095246,196379
339.28096383820537,196384
341.47750286633163,196425
343.67236224546207,196473
345.8655445602848,196473
348.05705239006033,196606
350.24688830863477,196569
352.43505488444845,196504
354.62155468054004,196672
356.80639025456856,196643
358.9895641588131,196803
361.1710789401838,196908
363.3509371402349,196954
365.5291412951755,197183
367.70569393587823,197403
369.8805975878858,197660
372.05385477142835,197786
374.2254680014212,198054
376.3954397874845,198364
378.56377263395825,198582
380.7304690398917,198606
382.89553149907334,198634
385.05896250003343,198496
387.2207645260438,198608
389.38094005515256,198462
391.53949156016256,198361
393.6964215086637,198361
395.85173236303524,198373
398.0054265804501,198393
400.1575066128987,198607
402.3079749071803,198607
404.45683390492263,198830
406.60408604259675,199137
408.74973375151086,199193
410.8937794578384,199539
413.03622558260497,199689
415.17707454172097,199900
417.3163287459771,200033
419.4539906010597,199999
421.5900625075442,199850
423.7245468609362,199609
425.85744605165,199545
427.9887624650323,199359
430.11849848136876,199293
432.24665647589256,199349
434.3732388187955,199548
436.4982478752364,199709
438.6216860053477,199928
440.7435555642465,200673
442.86385890204275,200827
444.98259836385284,201050
447.0997762897992,201026
449.2153950150322,200700
451.32945686972334,200370
453.4419641790853,199831
455.55291926338646,199603
457.6623244379385,199225
459.7701820131263,199345
461.87649429440614,199453
463.9812635823205,199417
466.0844921724962,199347
468.18618235567027,199410
470.28633641768135,199366
472.38495663948913,199202
474.4820452971766,199037
476.57760466196953,198889
478.67163700022985,198830
480.76414457347977,198610
482.85512963839284,198520
484.94459444682224,198428
487.0325412457922,198419
489.1189722775217,198359
491.20388977942025,198217
493.2872959840986,198152
495.3691931193884,198208
