70_EUDRAGIT_100-55_Evonik_LF-785.SPE
cm^-1,Intensity
-359.86445557971166,188303
-357.0856406039081,188454
-354.309364219462,188561
-351.5356215502653,188624
-348.7644077355815,188713
-345.9957179299897,188776
-343.22954730333896,188830
-340.4658910406981,188898
-337.70474434230425,188928
-334.9461024235167,188876
-332.189960514772,188853
-329.43631386151816,188954
-326.68515772419585,188962
-323.9364873781599,188934
-321.1902981136469,189070
-318.44658523572315,189181
-315.70534406423707,189171
-312.9665699337777,189175
-310.23025819361436,189237
-307.4964042076552,189240
-304.76500335440596,189196
-302.0360510269139,189207
-299.3095426327198,189203
-296.5854735938233,189137
-293.8638393466223,189267
-291.1446353418695,189328
-288.4278570446336,189363
-285.7134999342402,189505
-283.00155950423783,189486
-280.29203126234745,189488
-277.5849107304064,189428
-274.8801934443403,189409
-272.17787495410414,189566
-269.47795082363916,189674
-266.7804166308339,189677
-264.0852679674653,189842
-261.39250043917104,189943
-258.7021096653883,189835
-256.01409127931714,189773
-253.32844092787508,189786
-250.6451542716513,189721
-247.96422698485912,189768
-245.2856547552969,189762
-242.60943328430034,189921
-239.93555828669696,189978
-237.2640254907671,189886
-234.59483063819394,189959
-231.9279694840224,189927
-229.26343779661792,189926
-226.6012313576187,190040
-223.94134596189028,190080
-221.28377741748852,190045
-218.6285215456164,190154
-215.97557418057178,190078
-213.32493116971293,190051
-210.67658837341284,190186
-208.03054166502022,190222
-205.38678693080317,190238
-202.74532006992743,190272
-200.1061369944,190381
-197.46923362902587,190388
-194.83460591137322,190428
-192.20224979173008,190315
-189.57216123305452,190412
-186.94433621094632,190485
-184.31877071358858,190547
-181.6954607417238,190536
-179.07440230859746,190506
-176.4555914399255,190517
-173.83902417384897,190472
-171.22469656089683,190583
-168.61260466393855,190588
-166.00274455814923,190580
-163.39511233096636,190661
-160.78970408205063,190632
-158.1865159232406,190740
-155.5855439785178,190658
-152.9867843839657,190663
-150.39023328772186,190763
-147.79588684995204,190842
-145.20374124279587,190750
-142.61379265033662,190831
-140.02603726855122,190700
-137.44047130528642,190944
-134.85709098020465,190956
-132.2758925247471,190910
-129.69687218210768,190920
-127.12002620716804,190867
-124.54535086648235,191028
-121.97284243822956,190890
-119.4024972121701,191055
-116.83431148961547,191013
-114.26828158338274,191179
-111.70440381775333,191227
-109.14267452844916,191077
-106.58309006257842,191129
-104.0256467786031,191117
-101.47034104630426,191081
-98.91716924673426,191045
-96.36612777218873,191163
-93.81721302616957,191100
-91.2704214233351,191146
-88.72574938947191,191048
-86.18319336145801,191087
-83.64274978721505,191113
-81.10441512568885,191156
-78.56818584679087,191134
-76.03405843137865,191245
-73.50202937120818,191279
-70.97209516889694,191282
-68.44425233790228,191254
-65.91849740245851,191228
-63.39482689756392,191189
-60.87323736892434,191252
-58.353725372944574,191246
-55.836287476650206,191205
-53.320920257696365,191311
-50.80762030429831,191387
-48.296384215211916,191248
-45.787208599690295,191327
-43.28009007745345,191310
-40.775025278644904,191360
-38.272010843805674,191290
-35.77104342382875,191373
-33.27211967993522,191313
-30.775236283622256,191298
-28.280389916643564,191339
-25.787577270966043,191349
-23.29679504873509,191457
-20.808039962242045,191548
-18.321308733889545,191535
-15.836598096148103,191432
-13.353904791536635,191410
-10.87322557257256,191370
-8.39455720174579,191404
-5.917896451481871,191464
-3.4432401041072787,191467
-0.9705849518147278,191636
1.5000722033671823,191517
3.968734549617339,191509
6.4354052653481375,191533
8.900087519238005,191469
11.362784470272599,191535
13.823499267777342,191585
16.282235051447767,191531
18.738994951382047,191570
21.19378208811787,191561
23.64659957266712,191602
26.097450506548398,191708
28.5463379818174,191540
30.99326508110376,191607
33.438234877637086,191530
35.88125043529466,191376
38.322314808616596,191503
40.76143104285793,191621
43.198602173999404,191563
45.63383122880172,191622
48.06712122482288,191586
50.49847517045718,191740
52.927896064967804,191597
55.355386898519285,191623
57.78095065220789,191702
60.20459029809416,191680
62.6263087992354,191706
65.0461091097226,191789
