71_EUDRAGIT_S_100_Evonik_LF-785.SPE
cm^-1,Intensity
-359.86445557971166,187317
-357.0856406039081,187423
-354.309364219462,187528
-351.5356215502653,187725
-348.7644077355815,187713
-345.9957179299897,187832
-343.22954730333896,187804
-340.4658910406981,187865
-337.70474434230425,187792
-334.9461024235167,187815
-332.189960514772,187874
-329.43631386151816,187883
-326.68515772419585,187833
-323.9364873781599,187921
-321.1902981136469,187949
-318.44658523572315,187999
-315.70534406423707,187974
-312.9665699337777,188071
-310.23025819361436,188119
-307.4964042076552,188100
-304.76500335440596,188032
-302.0360510269139,188012
-299.3095426327198,188053
-296.5854735938233,188106
-293.8638393466223,188120
-291.1446353418695,188179
-288.4278570446336,188092
-285.7134999342402,188165
-283.00155950423783,188160
-280.29203126234745,188283
-277.5849107304064,188273
-274.8801934443403,188236
-272.17787495410414,188240
-269.47795082363916,188355
-266.7804166308339,188511
-264.0852679674653,188492
-261.39250043917104,188550
-258.7021096653883,188516
-256.01409127931714,188503
-253.32844092787508,188410
-250.6451542716513,188396
-247.96422698485912,188400
-245.2856547552969,188559
-242.60943328430034,188526
-239.93555828669696,188509
-237.2640254907671,188556
-234.59483063819394,188475
-231.9279694840224,188574
-229.26343779661792,188564
-226.6012313576187,188614
-223.94134596189028,188724
-221.28377741748852,188687
-218.6285215456164,188641
-215.97557418057178,188718
-213.32493116971293,188708
-210.67658837341284,188746
-208.03054166502022,188744
-205.38678693080317,188852
-202.74532006992743,188787
-200.1061369944,188925
-197.46923362902587,188796
-194.83460591137322,188886
-192.20224979173008,188872
-189.57216123305452,188891
-186.94433621094632,188930
-184.31877071358858,188938
-181.6954607417238,188970
-179.07440230859746,188994
-176.4555914399255,188985
-173.83902417384897,188976
-171.22469656089683,188988
-168.61260466393855,189043
-166.00274455814923,189051
-163.39511233096636,189017
-160.78970408205063,189107
-158.1865159232406,189100
-155.5855439785178,189046
-152.9867843839657,189162
-150.39023328772186,189195
-147.79588684995204,189084
-145.20374124279587,189122
-142.61379265033662,189131
-140.02603726855122,189189
-137.44047130528642,189215
-134.85709098020465,189178
-132.2758925247471,189230
-129.69687218210768,189282
-127.12002620716804,189272
-124.54535086648235,189228
-121.97284243822956,189183
-119.4024972121701,189233
-116.83431148961547,189336
-114.26828158338274,189374
-111.70440381775333,189428
-109.14267452844916,189468
-106.58309006257842,189469
-104.0256467786031,189385
-101.47034104630426,189442
-98.91716924673426,189395
-96.36612777218873,189291
-93.81721302616957,189364
-91.2704214233351,189386
-88.72574938947191,189417
-86.18319336145801,189404
-83.64274978721505,189468
-81.10441512568885,189437
-78.56818584679087,189438
-76.03405843137865,189419
-73.50202937120818,189557
-70.97209516889694,189494
-68.44425233790228,189404
-65.91849740245851,189425
-63.39482689756392,189443
-60.87323736892434,189463
-58.353725372944574,189449
-55.836287476650206,189459
-53.320920257696365,189477
-50.80762030429831,189489
-48.296384215211916,189516
-45.787208599690295,189599
-43.28009007745345,189464
-40.775025278644904,189537
-38.272010843805674,189494
-35.77104342382875,189675
-33.27211967993522,189656
-30.775236283622256,189555
-28.280389916643564,189619
-25.787577270966043,189499
-23.29679504873509,189605
-20.808039962242045,189677
-18.321308733889545,189695
-15.836598096148103,189647
-13.353904791536635,189632
-10.87322557257256,189614
-8.39455720174579,189646
-5.917896451481871,189617
-3.4432401041072787,189706
-0.9705849518147278,189740
1.5000722033671823,189714
3.968734549617339,189739
6.4354052653481375,189746
8.900087519238005,189703
11.362784470272599,189691
13.823499267777342,189720
16.282235051447767,189702
18.738994951382047,189704
21.19378208811787,189645
23.64659957266712,189752
26.097450506548398,189649
28.5463379818174,189715
30.99326508110376,189681
33.438234877637086,189683
35.88125043529466,189718
38.322314808616596,189750
40.76143104285793,189738
43.198602173999404,189728
45.63383122880172,189649
48.06712122482288,189743
50.49847517045718,189805
52.927896064967804,189809
55.355386898519285,189731
57.78095065220789,189754
60.20459029809416,189765
62.6263087992354,189825
65.0461091097226,189808
67.46399417470201,189853
69.87996693042084,189890
72.29403030424011,189866
74.70618721468463,189874
77.11644057147113,189874
79.52479327553216,189802
81.93124821905072,189765
84.33580828549718,189900
86.73847634965313,189746
89.13925527764604,189888
91.53814792698398,189824
93.93515714657946,189945
96.33028577678846,189928
98.72353664942997,189855
101.11491258783367,189837
103.5044164068551,189974
105.89205091291257,189817
108.27781890401963,189769
110.6617231698176,189949
113.04376649159519,189877
115.42395164232953,189886
117.80228138671445,189857
120.17875848118875,189902
122.55338567396852,189900
124.92616570506905,189850
127.29710130635453,189905
129.66619520154467,189937
132.03345010626015,189997
134.39886872804433,189938
136.7624537664024,189992
139.1242079128185,189893
141.4841338507949,189993
143.84223425588024,190037
146.19851179569756,190075
148.5529691299661,189922
150.90560891054895,189986
153.25643378146393,189862
155.60544637892477,190091
157.9526493313628,189990
160.29804525946167,189983
162.64163677617893,190030
164.98342648678735,189987
167.32341698889007,190053
169.66161087245743,190009
171.998010719853,190019
174.3326191058661,190091
176.66543859773356,190074
178.9964717551721,189983
181.32572113041317,189985
183.65318926821155,190029
