72_soluplus_BASF_LF-785.SPE
cm^-1,Intensity
-359.86445557971166,186874
-357.0856406039081,187033
-354.309364219462,187176
-351.5356215502653,187277
-348.7644077355815,187394
-345.9957179299897,187385
-343.22954730333896,187463
-340.4658910406981,187431
-337.70474434230425,187437
-334.9461024235167,187348
-332.189960514772,187422
-329.43631386151816,187457
-326.68515772419585,187390
-323.9364873781599,187453
-321.1902981136469,187553
-318.44658523572315,187549
-315.70534406423707,187576
-312.9665699337777,187582
-310.23025819361436,187583
-307.4964042076552,187633
-304.76500335440596,187598
-302.0360510269139,187600
-299.3095426327198,187550
-296.5854735938233,187584
-293.8638393466223,187528
-291.1446353418695,187619
-288.4278570446336,187667
-285.7134999342402,187736
-283.00155950423783,187825
-280.29203126234745,187698
-277.5849107304064,187823
-274.8801934443403,187820
-272.17787495410414,187820
-269.47795082363916,187814
-266.7804166308339,187887
-264.0852679674653,187933
-261.39250043917104,187886
-258.7021096653883,187968
-256.01409127931714,187943
-253.32844092787508,187973
-250.6451542716513,188054
-247.96422698485912,187930
-245.2856547552969,187974
-242.60943328430034,188014
-239.93555828669696,188109
-237.2640254907671,188096
-234.59483063819394,188108
-231.9279694840224,188015
-229.26343779661792,188159
-226.6012313576187,188120
-223.94134596189028,188155
-221.28377741748852,188207
-218.6285215456164,188136
-215.97557418057178,188240
-213.32493116971293,188175
-210.67658837341284,188244
-208.03054166502022,188310
-205.38678693080317,188223
-202.74532006992743,188182
-200.1061369944,188312
-197.46923362902587,188353
-194.83460591137322,188360
-192.20224979173008,188366
-189.57216123305452,188355
-186.94433621094632,188379
-184.31877071358858,188412
-181.6954607417238,188393
-179.07440230859746,188418
-176.4555914399255,188497
-173.83902417384897,188497
-171.22469656089683,188502
-168.61260466393855,188510
-166.00274455814923,188573
-163.39511233096636,188569
-160.78970408205063,188487
-158.1865159232406,188460
-155.5855439785178,188627
-152.9867843839657,188610
-150.39023328772186,188668
-147.79588684995204,188635
-145.20374124279587,188607
-142.61379265033662,188615
-140.02603726855122,188625
-137.44047130528642,188619
-134.85709098020465,188640
-132.2758925247471,188681
-129.69687218210768,188649
-127.12002620716804,188769
-124.54535086648235,188732
-121.97284243822956,188753
-119.4024972121701,188818
-116.83431148961547,188759
-114.26828158338274,188906
-111.70440381775333,188873
-109.14267452844916,188772
-106.58309006257842,188817
-104.0256467786031,188776
-101.47034104630426,188824
-98.91716924673426,188760
-96.36612777218873,188885
-93.81721302616957,188846
-91.2704214233351,188829
-88.72574938947191,188894
-86.18319336145801,188910
-83.64274978721505,188936
-81.10441512568885,188945
-78.56818584679087,188879
-76.03405843137865,188885
-73.50202937120818,188904
-70.97209516889694,188923
-68.44425233790228,188995
-65.91849740245851,188942
-63.39482689756392,188975
-60.87323736892434,188928
-58.353725372944574,189000
-55.836287476650206,189005
-53.320920257696365,189027
-50.80762030429831,189089
-48.296384215211916,189031
-45.787208599690295,189061
-43.28009007745345,189158
-40.775025278644904,189044
-38.272010843805674,189032
-35.77104342382875,189087
-33.27211967993522,189075
-30.775236283622256,189119
-28.280389916643564,189071
-25.787577270966043,189125
-23.29679504873509,189179
-20.808039962242045,189180
-18.321308733889545,189145
-15.836598096148103,189198
-13.353904791536635,189184
-10.87322557257256,189149
-8.39455720174579,189213
-5.917896451481871,189157
-3.4432401041072787,189178
-0.9705849518147278,189199
1.5000722033671823,189188
3.968734549617339,189204
6.4354052653481375,189216
8.900087519238005,189191
11.362784470272599,189222
13.823499267777342,189290
16.282235051447767,189159
18.738994951382047,189315
21.19378208811787,189217
23.64659957266712,189255
26.097450506548398,189280
28.5463379818174,189281
30.99326508110376,189300
33.438234877637086,189225
35.88125043529466,189297
38.322314808616596,189230
40.76143104285793,189280
43.198602173999404,189356
45.63383122880172,189294
48.06712122482288,189206
50.49847517045718,189303
52.927896064967804,189290
55.355386898519285,189287
57.78095065220789,189324
60.20459029809416,189372
62.6263087992354,189379
65.0461091097226,189334
67.46399417470201,189420
69.87996693042084,189428
72.29403030424011,189453
74.70618721468463,189529
77.11644057147113,189390
79.52479327553216,189438
81.93124821905072,189445
84.33580828549718,189429
86.73847634965313,189557
89.13925527764604,189415
91.53814792698398,189443
93.93515714657946,189446
96.33028577678846,189420
98.72353664942997,189452
101.11491258783367,189511
103.5044164068551,189523
105.89205091291257,189450
108.27781890401963,189413
110.6617231698176,189537
113.04376649159519,189480
115.42395164232953,189576
117.80228138671445,189445
120.17875848118875,189479
122.55338567396852,189624
124.92616570506905,189519
127.29710130635453,189589
129.66619520154467,189568
132.03345010626015,189577
134.39886872804433,189575
136.7624537664024,189570
139.1242079128185,189501
141.4841338507949,189583
143.84223425588024,189599
146.19851179569756,189603
148.5529691299661,189651
150.90560891054895,189626
153.25643378146393,189740
155.60544637892477,189628
157.9526493313628,189713
160.29804525946167,189633
162.64163677617893,189622
164.98342648678735,189622
167.32341698889007,189643
169.66161087245743,189682
171.998010719853,189686
174.3326191058661,189691
176.66543859773356,189677
178.9964717551721,189763
181.32572113041317,189723
183.65318926821155,189757
185.97887870589955,189795
188.3027919733979,189783
190.62493159324603,189782
192.9453000806369,189870
195.2638999434364,189840
197.58073368222233,189792
199.89580379029545,189944
202.20911275372916,189942
204.5206630513761,189954
206.8304571549136,190070
209.13849752885469,190348
211.4447866305891,190284
213.74932691040505,190373
216.05212081151748,190627
218.3531707700961,190774
220.65247921528942,190852
222.95004856925493,191127
225.24588124718525,191183
227.5399796573406,191384
229.83234620106404,191425
232.12298327281817,191449
234.41189326021353,191568
236.69907854402365,191755
238.98454149822194,191808
241.26828449001422,191799
243.5503098798409,191696
245.83062002143333,191649
248.10921726182033,191535
250.38610394136506,191421
252.66128239378017,191236
254.93475494617118,191041
257.2065239190408,190971
259.47659162633886,190746
261.7449603754731,190591
264.01163246733523,190490
266.27661019633547,190443
268.53989585042024,190394
270.80149171110213,190298
273.0614000534927,190307
275.31962314630886,190241
277.57616325191833,190239
279.8310226263573,190227
282.0842035193517,190167
284.33570817435435,190130
286.5855388285558,190172
288.83369771292524,190136
291.0801870522196,190128
293.3250090650288,190218
295.56816596377786,190149
297.80965995476834,190231
300.0494932382,190157
302.28766800819653,190157
304.5241864528276,190227
306.75905075413027,190100
308.992263088146,190276
311.2238256249315,190229
313.4537405285976,190290
315.6820099573204,190244
317.9086360633756,190237
320.1336209931603,190271
322.35696688721504,190324
324.5786758802492,190255
326.7987501011697,190298
