73_poly_ethylene-co-vinyl acetate_Aldrich_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,187251
-358.5672754570978,187454
-355.77025989936726,187609
-352.97591591093277,187591
-350.18423885041375,187676
-347.3952240861159,187612
-344.60886699602463,187615
-341.82516296777254,187666
-339.0441073986201,187614
-336.2656956954402,187674
-333.48992327468994,187589
-330.7167855623894,187629
-327.9462779940995,187597
-325.17839601490897,187603
-322.4131350793979,187577
-319.65049065163294,187523
-316.89045820512644,187636
-314.1330332228362,187607
-311.3782111971333,187550
-308.6259876297756,187603
-305.8763580319037,187603
-303.1293179239997,187574
-300.38486283588077,187582
-297.64298830667076,187584
-294.903689884783,187574
-292.1669631279051,187488
-289.43280360295984,187599
-286.7012068861032,187598
-283.97216856270023,187582
-281.2456842272927,187558
-278.5217494835949,187627
-275.8003599444628,187581
-273.0815112318751,187568
-270.3651989769155,187563
-267.65141881975126,187607
-264.9401664096113,187628
-262.2314374047734,187610
-259.5252274725313,187644
-256.82153228918884,187544
-254.12034754002676,187622
-251.42166891929662,187553
-248.72549213018382,187525
-246.03181288480965,187554
-243.34062690418816,187504
-240.6519299182259,187572
-237.96571766568744,187561
-235.28198589419304,187517
-232.6007303601798,187526
-229.92194682889274,187575
-227.2456310743699,187623
-224.57177887940955,187597
-221.90038603556388,187510
-219.23144834311074,187585
-216.56496161104496,187526
-213.90092165704144,187555
-211.23932430745958,187537
-208.58016539730423,187599
-205.92344077021698,187528
-203.2691462784523,187512
-200.6172777828689,187547
-197.9678311528929,187588
-195.32080226651985,187617
-192.6761870102737,187564
-190.03398127921548,187608
-187.39418097689756,187612
-184.75678201536383,187503
-182.1217803151193,187538
-179.48917180512365,187581
-176.85895242276067,187503
-174.23111811382987,187565
-171.6056648325224,187563
-168.9825885414038,187514
-166.36188521139883,187572
-163.7435508217676,187511
-161.1275813600925,187537
-158.5139728222675,187486
-155.9027212124568,187567
-153.29382254310144,187515
-150.68727283489102,187528
-148.08306811674427,187484
-145.48120442579815,187465
-142.88167780737976,187505
-140.28448431499964,187528
-137.68962001033026,187547
-135.09708096318215,187477
-132.50686325150164,187496
-129.9189629613319,187582
-127.33337618681942,187529
-124.7500990301728,187584
-122.16912760167152,187479
-119.59045801962237,187523
-117.01408641036403,187444
-114.44000890823217,187566
-111.86822165555957,187590
-109.29872080263922,187544
-106.73150250773517,187536
-104.16656293703048,187515
-101.60389826464238,187506
-99.04350467258762,187555
-96.4853783507651,187526
-93.92951549695586,187557
-91.37591231678189,187534
-88.82456502370832,187508
-86.27546983902167,187550
-83.72862299181041,187531
-81.18402071895193,187572
-78.641659265093,187509
-76.10153488263674,187604
-73.56364383172102,187520
-71.02798238021188,187491
-68.49454680367319,187496
-65.96333338536667,187500
-63.43433841622149,187486
-60.9075581948235,187502
-58.38298902740647,187513
-55.86062722782179,187522
-53.34046911753196,187496
-50.82251102559538,187530
-48.30674928864472,187535
-45.79318025087816,187451
-43.28180026403347,187500
-40.77260568738361,187486
-38.265592887712884,187529
-35.76075823930394,187489
-33.2580981239226,187529
-30.757608930802665,187518
-28.259287056628565,187454
-25.763128905524535,187504
-23.26913088903076,187464
-20.777289426094672,187472
-18.287600943053643,187500
-15.800061873619784,187514
-13.314668658862601,187501
-10.831417747200321,187538
-8.350305594373875,187517
-5.871328663444725,187451
-3.394483424768845,187502
-0.9197663559815452,187500
1.5528260580025335,187457
4.02329732502411,187474
6.491650945681434,187447
8.957890413351967,187495
11.422019214203226,187509
13.884040827203629,187454
16.343958724152845,187523
18.801776369677462,187500
