74_Kollidon VA 64_BASF_LF-785.SPE
cm^-1,Intensity
-359.86445557971166,186603
-357.0856406039081,186657
-354.309364219462,186850
-351.5356215502653,186972
-348.7644077355815,187030
-345.9957179299897,187046
-343.22954730333896,187076
-340.4658910406981,187035
-337.70474434230425,187074
-334.9461024235167,187095
-332.189960514772,187075
-329.43631386151816,187054
-326.68515772419585,187123
-323.9364873781599,187138
-321.1902981136469,187105
-318.44658523572315,187112
-315.70534406423707,187175
-312.9665699337777,187223
-310.23025819361436,187209
-307.4964042076552,187183
-304.76500335440596,187184
-302.0360510269139,187141
-299.3095426327198,187190
-296.5854735938233,187137
-293.8638393466223,187267
-291.1446353418695,187247
-288.4278570446336,187350
-285.7134999342402,187330
-283.00155950423783,187357
-280.29203126234745,187329
-277.5849107304064,187369
-274.8801934443403,187349
-272.17787495410414,187407
-269.47795082363916,187397
-266.7804166308339,187510
-264.0852679674653,187420
-261.39250043917104,187467
-258.7021096653883,187478
-256.01409127931714,187488
-253.32844092787508,187517
-250.6451542716513,187533
-247.96422698485912,187439
-245.2856547552969,187516
-242.60943328430034,187581
-239.93555828669696,187547
-237.2640254907671,187653
-234.59483063819394,187552
-231.9279694840224,187635
-229.26343779661792,187710
-226.6012313576187,187706
-223.94134596189028,187747
-221.28377741748852,187718
-218.6285215456164,187796
-215.97557418057178,187816
-213.32493116971293,187743
-210.67658837341284,187690
-208.03054166502022,187806
-205.38678693080317,187803
-202.74532006992743,187820
-200.1061369944,187809
-197.46923362902587,187900
-194.83460591137322,187828
-192.20224979173008,187914
-189.57216123305452,187924
-186.94433621094632,187870
-184.31877071358858,187968
-181.6954607417238,187913
-179.07440230859746,187962
-176.4555914399255,187908
-173.83902417384897,187999
-171.22469656089683,187933
-168.61260466393855,187978
-166.00274455814923,187980
-163.39511233096636,188000
-160.78970408205063,188108
-158.1865159232406,188022
-155.5855439785178,187996
-152.9867843839657,188042
-150.39023328772186,188082
-147.79588684995204,188067
-145.20374124279587,188025
-142.61379265033662,188055
-140.02603726855122,188097
-137.44047130528642,188102
-134.85709098020465,188207
-132.2758925247471,188122
-129.69687218210768,188128
-127.12002620716804,188092
-124.54535086648235,188131
-121.97284243822956,188167
-119.4024972121701,188153
-116.83431148961547,188191
-114.26828158338274,188356
-111.70440381775333,188276
-109.14267452844916,188175
-106.58309006257842,188214
-104.0256467786031,188226
-101.47034104630426,188244
-98.91716924673426,188193
-96.36612777218873,188175
-93.81721302616957,188296
-91.2704214233351,188325
-88.72574938947191,188254
-86.18319336145801,188304
-83.64274978721505,188290
-81.10441512568885,188369
-78.56818584679087,188336
-76.03405843137865,188316
-73.50202937120818,188358
-70.97209516889694,188443
-68.44425233790228,188389
-65.91849740245851,188297
-63.39482689756392,188361
-60.87323736892434,188327
-58.353725372944574,188361
-55.836287476650206,188381
-53.320920257696365,188327
-50.80762030429831,188426
-48.296384215211916,188473
-45.787208599690295,188441
-43.28009007745345,188421
-40.775025278644904,188472
-38.272010843805674,188444
-35.77104342382875,188525
-33.27211967993522,188378
-30.775236283622256,188587
-28.280389916643564,188421
-25.787577270966043,188495
-23.29679504873509,188480
-20.808039962242045,188520
-18.321308733889545,188387
-15.836598096148103,188530
-13.353904791536635,188522
-10.87322557257256,188559
-8.39455720174579,188486
-5.917896451481871,188583
-3.4432401041072787,188556
-0.9705849518147278,188483
1.5000722033671823,188547
3.968734549617339,188520
6.4354052653481375,188456
8.900087519238005,188540
11.362784470272599,188580
13.823499267777342,188622
16.282235051447767,188558
18.738994951382047,188559
21.19378208811787,188631
23.64659957266712,188576
26.097450506548398,188486
28.5463379818174,188644
30.99326508110376,188562
33.438234877637086,188609
35.88125043529466,188618
38.322314808616596,188649
40.76143104285793,188596
43.198602173999404,188645
45.63383122880172,188701
48.06712122482288,188625
50.49847517045718,188665
52.927896064967804,188651
55.355386898519285,188603
57.78095065220789,188658
60.20459029809416,188612
62.6263087992354,188700
65.0461091097226,188700
67.46399417470201,188715
69.87996693042084,188698
72.29403030424011,188651
74.70618721468463,188686
77.11644057147113,188698
79.52479327553216,188780
81.93124821905072,188651
84.33580828549718,188682
86.73847634965313,188770
89.13925527764604,188747
91.53814792698398,188696
93.93515714657946,188733
96.33028577678846,188710
98.72353664942997,188784
101.11491258783367,188621
103.5044164068551,188708
105.89205091291257,188768
108.27781890401963,188748
110.6617231698176,188682
113.04376649159519,188845
115.42395164232953,188753
117.80228138671445,188791
120.17875848118875,188790
122.55338567396852,188692
124.92616570506905,188745
127.29710130635453,188838
129.66619520154467,188858
132.03345010626015,188733
134.39886872804433,188816
136.7624537664024,188781
139.1242079128185,188828
141.4841338507949,188748
143.84223425588024,188833
146.19851179569756,188800
148.5529691299661,188818
150.90560891054895,188895
153.25643378146393,188906
155.60544637892477,188901
157.9526493313628,188906
160.29804525946167,188908
162.64163677617893,188971
164.98342648678735,188957
167.32341698889007,188928
169.66161087245743,188929
171.998010719853,188906
174.3326191058661,189008
176.66543859773356,188990
178.9964717551721,189022
181.32572113041317,188975
183.65318926821155,189060
185.97887870589955,189022
188.3027919733979,188976
190.62493159324603,189117
192.9453000806369,189092
195.2638999434364,189146
197.58073368222233,189185
199.89580379029545,189245
202.20911275372916,189384
204.5206630513761,189467
206.8304571549136,189484
209.13849752885469,189720
211.4447866305891,189826
213.74932691040505,190041
216.05212081151748,190239
218.3531707700961,190533
220.65247921528942,190745
222.95004856925493,191019
225.24588124718525,191261
227.5399796573406,191418
229.83234620106404,191613
232.12298327281817,191896
234.41189326021353,192073
236.69907854402365,192241
238.98454149822194,192195
241.26828449001422,192166
243.5503098798409,192268
245.83062002143333,192043
248.10921726182033,192030
250.38610394136506,191718
252.66128239378017,191543
254.93475494617118,191372
257.2065239190408,191199
259.47659162633886,190897
261.7449603754731,190654
264.01163246733523,190512
266.27661019633547,190365
268.53989585042024,190150
270.80149171110213,190080
273.0614000534927,190015
275.31962314630886,189969
277.57616325191833,189892
279.8310226263573,189888
282.0842035193517,189908
284.33570817435435,189894
286.5855388285558,189908
288.83369771292524,189993
291.0801870522196,190097
293.3250090650288,190218
295.56816596377786,190266
297.80965995476834,190571
300.0494932382,190802
302.28766800819653,190944
304.5241864528276,191342
306.75905075413027,191558
308.992263088146,191888
311.2238256249315,192230
313.4537405285976,192500
315.6820099573204,192761
317.9086360633756,193117
320.1336209931603,193381
322.35696688721504,193545
324.5786758802492,193876
326.7987501011697,194097
329.01719167310233,194151
331.2340027134138,194219
333.4491853337375,194418
335.6627416400016,194484
337.8746737324489,194538
340.0849837056625,194486
342.2936736485879,194551
344.5007456445606,194419
346.7062017713262,194476
348.9100441010683,194356
351.1122747004323,193979
353.31289563053866,193810
355.5119089470259,193594
357.70931670005757,193193
359.90512093435,192896
362.0993236892029,192748
364.29192699851666,192436
366.4829328908141,192196
368.67234338927057,191847
370.86016051172953,191711
373.04638627073257,191407
375.2310226735368,191189
377.4140717221477,190986
379.5955354133295,190764
381.7754157386358,190672
383.95371468443125,190612
386.1304342319175,190462
388.30557635715064,190440
390.4791430310692,190274
392.6511362195117,190230
394.82155788324485,190126
396.99040997798284,190088
399.1576944544091,190095
401.3234132582027,190152
403.4875683300637,189982
405.65016160572014,189979
407.81119501597135,190049
409.9706704866987,189959
412.12858993888494,189997
414.28495528864505,189931
416.43976844724745,189965
418.5930313211294,189916
420.7447458119272,189949
422.8949138164917,189902
425.04353722691394,189926
427.19061793054703,189863
429.33615781003,189850
431.4801587433051,189896
433.6226226036417,189851
435.7635512596599,189903
437.9029465753528,189871
440.0408104101011,189887
442.1771446187078,189876
444.31195105140534,189834
446.4452315538895,189885
448.57698796733297,189805
450.70722212840883,189880
452.8359358693147,189809
454.9631310177922,189919
457.0888093971483,189866
459.2129728262732,189901
461.3356231196724,189868
463.4567620874757,189920
465.576391535463,189931
467.69451326508823,189952
469.81112907349893,189927
471.9262407535535,189931
474.039850093845,189971
476.15195887872966,189989
478.26256888832853,189959
480.37168189856914,189984
482.4792996811983,190014
484.58542400379525,190065
486.690056629806,190034
488.7931993185525,190038
490.89485382526044,189971
492.99502190107904,190035
495.0937052930959,190028
497.19090574436774,190024
499.28662499392885,190049
501.38086477681924,190087
503.4736268241108,190115
505.56491286290725,190135
507.6547246163853,190083
509.74306380381205,190058
511.829932140545,190155
513.9153313380817,190190
515.9992631040625,190225
518.0817291422892,190214
520.1627311527518,190292
522.2422708316479,190194
524.3203498713997,190303
526.39696996068,190299
528.4721327844175,190385
530.5458400238364,190347
532.61809335646,190380
534.6888944561425,190358
536.7582449930779,190390
538.826146633828,190361
540.8926010413355,190420
542.9576098749545,190291
545.0211747904526,190463
547.0832974400477,190437
549.1439794724166,190487
551.2032225327189,190443
553.2610282626168,190554
555.3173983002899,190593
557.3723342804592,190589
559.4258378344044,190648
561.4779105899879,190689
563.528554171661,190761
565.5777702005013,190782
567.625560294212,190792
569.6719260671616,190758
571.7168691303834,190836
573.7603910916105,190891
575.8024935552842,190982
577.8431781225759,191049
579.882446391409,190992
581.9202999564712,191238
583.9567404092435,191347
585.9917693380062,191523
588.0253883278714,191720
590.0575989607856,192031
592.0884028155684,192396
594.117801467908,192730
596.1457964904007,193297
598.1723894525571,193764
600.1975819208195,194349
602.2213754585944,194857
604.2437716262524,195384
606.2647719811591,195648
608.2843780776939,195835
610.3025914672525,195837
612.3194136982879,195591
614.3348463163154,195109
616.3488908639248,194630
618.3615488808175,194217
620.3728219038069,193807
622.3827114668459,193343
624.3912191010404,193218
626.3983463346734,193023
628.4040946932107,193011
630.4084656993361,193109
632.4114608729516,193311
634.4130817312138,193553
636.4133297885296,193785
638.4122065565957,194226
640.4097135444005,194829
642.405852258254,195611
644.4006242017886,196403
646.394030876002,197382
648.3860737792509,198052
650.3767544072787,198927
652.3660742532335,199529
654.354034807683,200126
656.3406375586404,200446
658.3258839915626,200694
660.3097755893908,201073
662.2923138325511,201484
664.273500198976,201720
666.2533361641321,202074
668.2318232010165,202186
670.2089627801935,202380
672.1847563698029,202640
674.1592054355797,202574
676.1323114408651,202696
678.1040758466324,202824
680.0745001115001,203070
682.0435856917488,203260
684.0113340413371,203467
685.9777466119185,203846
687.9428248528652,203978
689.9065702112729,204567
691.8689841319859,204782
693.8300680576136,205357
695.7898234285445,205733
697.7482516829664,206196
699.7053542568766,206344
701.6611325841066,205884
703.6155880963323,205048
705.568722223094,203511
707.5205363918152,201806
709.4710320278119,199912
711.4202105543144,198207
713.3680733924881,196830
715.3146219614345,195640
717.2598576782275,194775
719.2037819579136,194245
721.14639621354,193832
723.087701856159,193486
725.027700294856,193265
726.9663929367607,193186
728.903781187062,193131
730.8398664490211,192969
732.7746501239997,193120
734.7081336114641,193086
736.6403183090052,193150
738.5712056123579,193336
740.5007969154133,193514
742.4290936102309,193729
744.3560970870657,193964
746.2818087343774,194337
748.2062299388388,194696
750.1293620853708,195055
752.0512065571378,195607
753.9717647355782,196015
755.891038000413,196597
757.8090277296631,197067
759.7257352996646,197590
761.641162085084,197868
763.5553094589376,198318
765.4681787926045,198493
767.3797714558397,198866
769.2900888167957,198979
771.1991322420291,198863
773.1069030965268,198833
775.0134027437161,198645
776.9186325454745,198405
778.8225938621546,198167
780.7252880525999,197820
782.6267164741494,197480
784.5268804826627,197324
786.4257814325318,197209
788.323420676698,197250
790.2197995666603,197335
792.1149194525063,197344
794.0087816829077,197402
795.9013876051528,197412
797.7927385651482,197480
799.6828359074434,197530
801.5716809752394,197601
803.4592751104074,197600
805.345619653505,197471
807.2307159437843,197127
809.1145653192199,197025
810.9971691165076,196601
812.8785286710895,196325
814.7586453171717,196056
816.6375203877267,195854
818.5151552145211,195521
820.3915511281203,195399
822.2667094579147,195276
824.140631532121,195215
826.0133186778115,195206
827.8847722209092,195250
829.7549934862267,195308
831.6239837974598,195385
833.4917444772138,195536
835.3582768470162,195476
837.22358222733,195661
839.0876619375617,195766
840.9505172960949,195937
842.8121496202784,196132
844.672560226464,196168
846.53175043001,196248
848.3897215452903,196334
850.2464748857248,196270
852.1020117637792,196280
853.9563334909848,196237
855.8094413779532,196205
857.6613367343878,196138
859.5120208691048,196116
861.3614950900381,196089
863.2097607042627,196130
865.0568190179996,196203
866.9026713366344,196115
868.7473189647379,196082
870.5907632060653,196039
872.4330053635869,195974
874.2740467394859,195722
876.1138886351888,195661
877.9525323513652,195499
879.7899791879496,195620
881.6262304441567,195460
883.4612874184834,195605
