75_nylon_6_Aldrich_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,191188
-358.5672754570978,191373
-355.77025989936726,191510
-352.97591591093277,191621
-350.18423885041375,191886
-347.3952240861159,191858
-344.60886699602463,191983
-341.82516296777254,192059
-339.0441073986201,191710
-336.2656956954402,191798
-333.48992327468994,191894
-330.7167855623894,191906
-327.9462779940995,191856
-325.17839601490897,191925
-322.4131350793979,192044
-319.65049065163294,192286
-316.89045820512644,192414
-314.1330332228362,192455
-311.3782111971333,192352
-308.6259876297756,192226
-305.8763580319037,192154
-303.1293179239997,192095
-300.38486283588077,191979
-297.64298830667076,192094
-294.903689884783,192382
-292.1669631279051,192507
-289.43280360295984,192640
-286.7012068861032,192727
-283.97216856270023,192835
-281.2456842272927,192845
-278.5217494835949,192759
-275.8003599444628,192784
-273.0815112318751,192825
-270.3651989769155,193049
-267.65141881975126,193058
-264.9401664096113,193182
-262.2314374047734,193207
-259.5252274725313,193307
-256.82153228918884,193218
-254.12034754002676,193180
-251.42166891929662,193206
-248.72549213018382,193259
-246.03181288480965,193383
-243.34062690418816,193506
-240.6519299182259,193556
-237.96571766568744,193576
-235.28198589419304,193464
-232.6007303601798,193482
-229.92194682889274,193479
-227.2456310743699,193614
-224.57177887940955,193878
-221.90038603556388,193864
-219.23144834311074,193906
-216.56496161104496,193815
-213.90092165704144,193831
-211.23932430745958,193901
-208.58016539730423,193951
-205.92344077021698,193998
-203.2691462784523,194173
-200.6172777828689,194165
-197.9678311528929,194235
-195.32080226651985,194234
-192.6761870102737,194379
-190.03398127921548,194309
-187.39418097689756,194369
-184.75678201536383,194488
-182.1217803151193,194447
-179.48917180512365,194431
-176.85895242276067,194575
-174.23111811382987,194684
-171.6056648325224,194694
-168.9825885414038,194642
-166.36188521139883,194614
-163.7435508217676,194697
-161.1275813600925,194730
-158.5139728222675,194798
-155.9027212124568,194862
-153.29382254310144,194815
-150.68727283489102,194919
-148.08306811674427,194930
-145.48120442579815,195009
-142.88167780737976,195020
-140.28448431499964,195004
-137.68962001033026,195158
-135.09708096318215,195128
-132.50686325150164,195159
-129.9189629613319,195137
-127.33337618681942,195198
-124.7500990301728,195229
-122.16912760167152,195222
-119.59045801962237,195262
-117.01408641036403,195324
-114.44000890823217,195347
-111.86822165555957,195426
-109.29872080263922,195522
-106.73150250773517,195429
-104.16656293703048,195556
-101.60389826464238,195534
-99.04350467258762,195507
-96.4853783507651,195585
-93.92951549695586,195562
-91.37591231678189,195659
-88.82456502370832,195680
-86.27546983902167,195710
-83.72862299181041,195707
-81.18402071895193,195701
-78.641659265093,195750
-76.10153488263674,195796
-73.56364383172102,195817
-71.02798238021188,195862
-68.49454680367319,195739
-65.96333338536667,195792
-63.43433841622149,195896
-60.9075581948235,195839
-58.38298902740647,195892
-55.86062722782179,196018
-53.34046911753196,195900
-50.82251102559538,196020
-48.30674928864472,195910
-45.79318025087816,196064
-43.28180026403347,196096
-40.77260568738361,196096
-38.265592887712884,196032
-35.76075823930394,196068
-33.2580981239226,196183
-30.757608930802665,196176
-28.259287056628565,196166
-25.763128905524535,196277
-23.26913088903076,196348
-20.777289426094672,196235
-18.287600943053643,196329
-15.800061873619784,196280
-13.314668658862601,196250
-10.831417747200321,196336
-8.350305594373875,196369
-5.871328663444725,196418
-3.394483424768845,196314
-0.9197663559815452,196291
1.5528260580025335,196373
4.02329732502411,196501
6.491650945681434,196336
8.957890413351967,196474
11.422019214203226,196368
13.884040827203629,196541
16.343958724152845,196534
18.801776369677462,196538
21.257497221257008,196571
23.711124729236968,196549
26.16266233684177,196707
28.61211348018783,196626
31.059481588305207,196622
33.50477008314412,196611
35.94798237959015,196643
38.38912188548803,196555
40.82819200163954,196596
43.265196121833846,196625
45.70013763285398,196647
48.133019914492046,196625
50.5638463395644,196697
52.99262027392247,196749
55.419345076474464,196641
57.84402409919186,196805
60.26666068712459,196682
62.687258178416215,196798
65.10581990432779,196820
67.522349189227,197002
69.93684935063371,196788
72.34932369920696,196970
74.75977553877316,196885
77.16820816633472,196894
79.57462487208745,196973
81.97902893943356,196919
84.38142364498815,197031
86.78181225860519,196880
89.18019804338411,196946
91.5765842556763,196846
93.97097414511317,197025
96.36337095461286,196971
98.75377792039524,197022
101.14219827198632,196906
103.52863523224644,196912
105.91309201737246,196936
108.29557183691723,196992
110.67607789380044,197064
113.05461338431732,197088
115.43118149816029,197012
117.80578541843202,197196
120.17842832164972,197195
122.54911337776466,197167
124.91784375017302,197271
127.28462259573546,197209
129.64945306477702,197180
132.01233830111318,197271
134.37328144205426,197254
136.73228561842484,197257
139.08935395456598,197347
141.44448956836774,197288
143.79769557125834,197234
146.1489750682302,197202
148.49833115785282,197189
150.84576693228604,197322
153.191285477282,197398
155.5348898722112,197379
157.87658319007124,197338
160.21636849749328,197334
162.55424885475938,197425
164.89022731581764,197383
167.22430692828888,197450
169.55649073348158,197447
171.88678176640724,197454
174.2151830557868,197347
176.541697624068,197404
178.86632848743622,197603
181.1890786558275,197471
183.50995113293294,197386
185.82894891622453,197527
188.14607499695757,197492
190.46133236019,197719
192.77472398478028,197775
195.0862528434221,197652
197.39592190262928,197537
199.7037341227746,197556
202.00969245808562,197669
204.31379985665336,197675
206.61605926045826,197729
208.91647360537667,197897
211.21504582118305,197722
213.51177883157823,197733
215.8066755541849,197707
218.09973890057378,197664
220.39097177626363,197682
222.6803770807406,197656
224.96795770746712,197807
227.25371654389036,197741
229.53765647146196,197832
231.81978036564652,197967
234.10009109591954,197891
236.37859152580424,197868
238.65528451286502,197891
240.93017290871848,197871
243.20325955905915,197900
245.47454730365104,197858
247.74403897635798,198026
250.0117374051392,198102
252.27764541207966,198004
254.54176581337717,198102
256.8041014193705,197988
259.06465503454814,198045
261.32342945755454,197988
263.5804274812056,198023
265.83565189250163,198192
268.08910547262496,198120
270.34079099697277,198176
272.59071123515247,198151
274.83886895099266,198179
277.0852669025671,198074
279.329907842186,198227
281.5727945164261,198053
283.8139296661309,198053
286.0533160264217,198132
288.2909563267167,198125
290.5268532907269,198148
292.76100963648423,198169
294.99342807633514,198201
297.2241113169665,198134
299.45306205941216,198256
301.68028299905075,198226
303.9057768256361,198316
306.1295462232971,198452
308.3515938705466,198424
310.5719224402942,198375
312.79053459986596,198401
315.0074330109955,198430
317.2226203298524,198302
319.4360992070464,198420
321.647872287634,198502
323.85794221113366,198483
326.0663116115363,198616
328.27298311731033,198515
330.477959351416,198499
332.6812429313214,198516
334.8828364690016,198526
337.08274257095246,198540
339.28096383820537,198630
341.47750286633163,198755
343.67236224546207,198800
345.8655445602848,198733
348.05705239006033,198770
350.24688830863477,198688
352.43505488444845,198881
354.62155468054004,198915
356.80639025456856,198844
358.9895641588131,199068
361.1710789401838,199129
363.3509371402349,199090
365.5291412951755,199123
367.70569393587823,199037
369.8805975878858,199100
372.05385477142835,199009
374.2254680014212,199115
376.3954397874845,199161
378.56377263395825,199224
380.7304690398917,199323
382.89553149907334,199335
385.05896250003343,199341
387.2207645260438,199477
389.38094005515256,199497
391.53949156016256,199529
393.6964215086637,199772
395.85173236303524,200003
398.0054265804501,199874
400.1575066128987,199874
402.3079749071803,199860
404.45683390492263,199665
406.60408604259675,199535
408.74973375151086,199527
410.8937794578384,199312
413.03622558260497,199400
415.17707454172097,199358
417.3163287459771,199384
419.4539906010597,199283
421.5900625075442,199314
423.7245468609362,199300
425.85744605165,199344
427.9887624650323,199407
430.11849848136876,199292
432.24665647589256,199367
434.3732388187955,199327
436.4982478752364,199389
438.6216860053477,199327
440.7435555642465,199398
442.86385890204275,199301
444.98259836385284,199255
447.0997762897992,199364
449.2153950150322,199243
451.32945686972334,199361
453.4419641790853,199244
455.55291926338646,199359
457.6623244379385,199378
459.7701820131263,199441
461.87649429440614,199642
463.9812635823205,199478
466.0844921724962,199450
468.18618235567027,199388
470.28633641768135,199508
472.38495663948913,199452
474.4820452971766,199480
476.57760466196953,199563
478.67163700022985,199520
480.76414457347977,199581
482.85512963839284,199679
484.94459444682224,199627
487.0325412457922,199789
489.1189722775217,199751
491.20388977942025,199689
493.2872959840986,199741
495.3691931193884,199804
497.4495834083378,199682
499.5284690692244,199704
501.6058523155619,199679
503.6817353561173,199746
505.7561203949067,199719
507.8290096312125,199705
509.90040525958347,199816
511.9703094698543,199844
514.0387244471499,199787
516.1056523718833,199928
518.1710954197771,199888
520.2350557618681,199928
522.297535564516,200027
524.3585369894051,199944
526.4180621935601,200001
528.4761133293498,200137
