7_glycine_alpha_form_BDH_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,187420
-358.5672754570978,187519
-355.77025989936726,187686
-352.97591591093277,187654
-350.18423885041375,187886
-347.3952240861159,187912
-344.60886699602463,187857
-341.82516296777254,187842
-339.0441073986201,187809
-336.2656956954402,187745
-333.48992327468994,187761
-330.7167855623894,187813
-327.9462779940995,187660
-325.17839601490897,187737
-322.4131350793979,187752
-319.65049065163294,187873
-316.89045820512644,187874
-314.1330332228362,187904
-311.3782111971333,187878
-308.6259876297756,187844
-305.8763580319037,187928
-303.1293179239997,187739
-300.38486283588077,187755
-297.64298830667076,187871
-294.903689884783,187869
-292.1669631279051,187868
-289.43280360295984,187920
-286.7012068861032,187973
-283.97216856270023,187965
-281.2456842272927,187961
-278.5217494835949,188033
-275.8003599444628,187909
-273.0815112318751,187895
-270.3651989769155,188008
-267.65141881975126,188017
-264.9401664096113,188049
-262.2314374047734,187991
-259.5252274725313,188022
-256.82153228918884,188067
-254.12034754002676,188033
-251.42166891929662,188085
-248.72549213018382,188089
-246.03181288480965,188119
-243.34062690418816,188167
-240.6519299182259,188124
-237.96571766568744,188110
-235.28198589419304,188126
-232.6007303601798,188096
-229.92194682889274,188116
-227.2456310743699,188171
-224.57177887940955,188221
-221.90038603556388,188185
-219.23144834311074,188178
-216.56496161104496,188242
-213.90092165704144,188205
-211.23932430745958,188224
-208.58016539730423,188242
-205.92344077021698,188259
-203.2691462784523,188351
-200.6172777828689,188324
-197.9678311528929,188301
-195.32080226651985,188277
-192.6761870102737,188294
-190.03398127921548,188323
-187.39418097689756,188247
-184.75678201536383,188323
-182.1217803151193,188328
-179.48917180512365,188396
-176.85895242276067,188355
-174.23111811382987,188310
-171.6056648325224,188414
-168.9825885414038,188453
-166.36188521139883,188336
-163.7435508217676,188372
-161.1275813600925,188388
-158.5139728222675,188388
-155.9027212124568,188407
-153.29382254310144,188456
-150.68727283489102,188426
-148.08306811674427,188522
-145.48120442579815,188442
-142.88167780737976,188529
-140.28448431499964,188455
-137.68962001033026,188539
-135.09708096318215,188452
-132.50686325150164,188470
-129.9189629613319,188521
-127.33337618681942,188564
-124.7500990301728,188487
-122.16912760167152,188498
-119.59045801962237,188471
-117.01408641036403,188561
-114.44000890823217,188494
-111.86822165555957,188596
-109.29872080263922,188515
-106.73150250773517,188551
-104.16656293703048,188590
-101.60389826464238,188531
-99.04350467258762,188571
-96.4853783507651,188635
-93.92951549695586,188530
-91.37591231678189,188629
-88.82456502370832,188617
-86.27546983902167,188637
-83.72862299181041,188618
-81.18402071895193,188576
-78.641659265093,188660
-76.10153488263674,188591
-73.56364383172102,188690
-71.02798238021188,188553
-68.49454680367319,188648
-65.96333338536667,188593
-63.43433841622149,188697
-60.9075581948235,188645
-58.38298902740647,188626
-55.86062722782179,188679
-53.34046911753196,188698
-50.82251102559538,188699
-48.30674928864472,188674
-45.79318025087816,188667
-43.28180026403347,188638
-40.77260568738361,188666
-38.265592887712884,188712
-35.76075823930394,188679
-33.2580981239226,188647
-30.757608930802665,188791
-28.259287056628565,188701
-25.763128905524535,188779
-23.26913088903076,188687
-20.777289426094672,188701
-18.287600943053643,188686
-15.800061873619784,188715
-13.314668658862601,188704
-10.831417747200321,188699
-8.350305594373875,188717
-5.871328663444725,188780
-3.394483424768845,188785
-0.9197663559815452,188689
1.5528260580025335,188706
4.02329732502411,188734
6.491650945681434,188756
8.957890413351967,188700
11.422019214203226,188674
13.884040827203629,188742
16.343958724152845,188781
18.801776369677462,188787
21.257497221257008,188750
23.711124729236968,188765
26.16266233684177,188760
28.61211348018783,188771
31.059481588305207,188790
33.50477008314412,188753
35.94798237959015,188861
38.38912188548803,188733
40.82819200163954,188762
43.265196121833846,188828
