8_sucrose_BDH_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,187225
-358.5672754570978,187332
-355.77025989936726,187504
-352.97591591093277,187649
-350.18423885041375,187578
-347.3952240861159,187715
-344.60886699602463,187651
-341.82516296777254,187685
-339.0441073986201,187629
-336.2656956954402,187626
-333.48992327468994,187595
-330.7167855623894,187657
-327.9462779940995,187654
-325.17839601490897,187671
-322.4131350793979,187689
-319.65049065163294,187634
-316.89045820512644,187726
-314.1330332228362,187699
-311.3782111971333,187752
-308.6259876297756,187655
-305.8763580319037,187588
-303.1293179239997,187711
-300.38486283588077,187645
-297.64298830667076,187630
-294.903689884783,187736
-292.1669631279051,187680
-289.43280360295984,187790
-286.7012068861032,187736
-283.97216856270023,187914
-281.2456842272927,187817
-278.5217494835949,187869
-275.8003599444628,187782
-273.0815112318751,187824
-270.3651989769155,187813
-267.65141881975126,187967
-264.9401664096113,187855
-262.2314374047734,187855
-259.5252274725313,187917
-256.82153228918884,187955
-254.12034754002676,187903
-251.42166891929662,187937
-248.72549213018382,188002
-246.03181288480965,187951
-243.34062690418816,187945
-240.6519299182259,187990
-237.96571766568744,187988
-235.28198589419304,187998
-232.6007303601798,187978
-229.92194682889274,188067
-227.2456310743699,187939
-224.57177887940955,188102
-221.90038603556388,188062
-219.23144834311074,188043
-216.56496161104496,188045
-213.90092165704144,187971
-211.23932430745958,188118
-208.58016539730423,188046
-205.92344077021698,188093
-203.2691462784523,188106
-200.6172777828689,188041
-197.9678311528929,188138
-195.32080226651985,188143
-192.6761870102737,188157
-190.03398127921548,188211
-187.39418097689756,188178
-184.75678201536383,188282
-182.1217803151193,188145
-179.48917180512365,188190
-176.85895242276067,188249
-174.23111811382987,188224
-171.6056648325224,188167
-168.9825885414038,188214
-166.36188521139883,188172
-163.7435508217676,188260
-161.1275813600925,188230
-158.5139728222675,188241
-155.9027212124568,188222
-153.29382254310144,188349
-150.68727283489102,188302
-148.08306811674427,188242
-145.48120442579815,188298
-142.88167780737976,188347
-140.28448431499964,188352
-137.68962001033026,188304
-135.09708096318215,188246
-132.50686325150164,188268
-129.9189629613319,188300
-127.33337618681942,188293
-124.7500990301728,188344
-122.16912760167152,188375
-119.59045801962237,188305
-117.01408641036403,188338
-114.44000890823217,188380
-111.86822165555957,188336
-109.29872080263922,188362
-106.73150250773517,188363
-104.16656293703048,188388
-101.60389826464238,188397
-99.04350467258762,188335
-96.4853783507651,188438
-93.92951549695586,188414
-91.37591231678189,188452
-88.82456502370832,188414
-86.27546983902167,188426
-83.72862299181041,188440
-81.18402071895193,188495
-78.641659265093,188420
-76.10153488263674,188380
-73.56364383172102,188493
-71.02798238021188,188480
-68.49454680367319,188483
-65.96333338536667,188597
-63.43433841622149,188427
-60.9075581948235,188505
-58.38298902740647,188469
-55.86062722782179,188440
-53.34046911753196,188456
-50.82251102559538,188505
-48.30674928864472,188458
-45.79318025087816,188478
-43.28180026403347,188496
-40.77260568738361,188467
-38.265592887712884,188499
-35.76075823930394,188502
-33.2580981239226,188418
-30.757608930802665,188509
-28.259287056628565,188481
-25.763128905524535,188490
-23.26913088903076,188548
-20.777289426094672,188584
-18.287600943053643,188528
-15.800061873619784,188521
-13.314668658862601,188513
-10.831417747200321,188629
-8.350305594373875,188553
-5.871328663444725,188549
-3.394483424768845,188505
-0.9197663559815452,188476
1.5528260580025335,188527
4.02329732502411,188579
6.491650945681434,188534
8.957890413351967,188547
11.422019214203226,188609
13.884040827203629,188588
16.343958724152845,188591
18.801776369677462,188567
21.257497221257008,188626
23.711124729236968,188569
26.16266233684177,188596
28.61211348018783,188633
31.059481588305207,188529
33.50477008314412,188615
35.94798237959015,188590
38.38912188548803,188538
40.82819200163954,188547
43.265196121833846,188641
45.70013763285398,188566
48.133019914492046,188511
50.5638463395644,188606
52.99262027392247,188572
55.419345076474464,188654
57.84402409919186,188618
60.26666068712459,188612
62.687258178416215,188617
65.10581990432779,188582
67.522349189227,188664
69.93684935063371,188635
72.34932369920696,188691
74.75977553877316,188671
77.16820816633472,188629
79.57462487208745,188609
81.97902893943356,188589
84.38142364498815,188559
86.78181225860519,188676
89.18019804338411,188680
91.5765842556763,188728
93.97097414511317,188672
96.36337095461286,188617
98.75377792039524,188626
101.14219827198632,188675
103.52863523224644,188670
105.91309201737246,188689
108.29557183691723,188620
110.67607789380044,188596
113.05461338431732,188696
115.43118149816029,188612
117.80578541843202,188692
120.17842832164972,188675
122.54911337776466,188716
124.91784375017302,188680
127.28462259573546,188752
129.64945306477702,188625
132.01233830111318,188638
134.37328144205426,188753
136.73228561842484,188640
139.08935395456598,188600
141.44448956836774,188732
143.79769557125834,188615
146.1489750682302,188629
148.49833115785282,188690
150.84576693228604,188708
153.191285477282,188642
155.5348898722112,188666
157.87658319007124,188656
160.21636849749328,188655
162.55424885475938,188804
164.89022731581764,188703
167.22430692828888,188650
169.55649073348158,188788
171.88678176640724,188746
174.2151830557868,188755
176.541697624068,188692
178.86632848743622,188667
181.1890786558275,188721
183.50995113293294,188775
185.82894891622453,188730
188.14607499695757,188766
190.46133236019,188704
192.77472398478028,188730
195.0862528434221,188734
197.39592190262928,188745
199.7037341227746,188782
202.00969245808562,188702
204.31379985665336,188717
206.61605926045826,188720
208.91647360537667,188695
211.21504582118305,188758
213.51177883157823,188749
215.8066755541849,188694
218.09973890057378,188740
220.39097177626363,188749
222.6803770807406,188768
224.96795770746712,188736
227.25371654389036,188753
229.53765647146196,188757
231.81978036564652,188707
