9_lactose_monohydrate_Unilab_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,186509
-358.5672754570978,186584
-355.77025989936726,186751
-352.97591591093277,186849
-350.18423885041375,186890
-347.3952240861159,186868
-344.60886699602463,186920
-341.82516296777254,186853
-339.0441073986201,186904
-336.2656956954402,186880
-333.48992327468994,186874
-330.7167855623894,186849
-327.9462779940995,186887
-325.17839601490897,186839
-322.4131350793979,186770
-319.65049065163294,186856
-316.89045820512644,186784
-314.1330332228362,186840
-311.3782111971333,186826
-308.6259876297756,186820
-305.8763580319037,186777
-303.1293179239997,186834
-300.38486283588077,186792
-297.64298830667076,186819
-294.903689884783,186774
-292.1669631279051,186773
-289.43280360295984,186850
-286.7012068861032,186884
-283.97216856270023,186872
-281.2456842272927,186849
-278.5217494835949,186775
-275.8003599444628,186825
-273.0815112318751,186868
-270.3651989769155,186800
-267.65141881975126,186810
-264.9401664096113,186828
-262.2314374047734,186852
-259.5252274725313,186804
-256.82153228918884,186800
-254.12034754002676,186820
-251.42166891929662,186840
-248.72549213018382,186849
-246.03181288480965,186885
-243.34062690418816,186826
-240.6519299182259,186771
-237.96571766568744,186790
-235.28198589419304,186885
-232.6007303601798,186875
-229.92194682889274,186852
-227.2456310743699,186852
-224.57177887940955,186929
-221.90038603556388,186867
-219.23144834311074,186763
-216.56496161104496,186753
-213.90092165704144,186883
-211.23932430745958,186884
-208.58016539730423,186842
-205.92344077021698,186904
-203.2691462784523,186872
-200.6172777828689,186859
-197.9678311528929,186879
-195.32080226651985,186811
-192.6761870102737,186867
-190.03398127921548,186807
-187.39418097689756,186864
-184.75678201536383,186889
-182.1217803151193,186795
-179.48917180512365,186847
-176.85895242276067,186793
-174.23111811382987,186829
-171.6056648325224,186851
-168.9825885414038,186869
-166.36188521139883,186820
-163.7435508217676,186831
-161.1275813600925,186921
-158.5139728222675,186864
-155.9027212124568,186859
-153.29382254310144,186883
-150.68727283489102,186892
-148.08306811674427,186847
-145.48120442579815,186852
-142.88167780737976,186867
-140.28448431499964,186851
-137.68962001033026,186860
-135.09708096318215,186786
-132.50686325150164,186894
-129.9189629613319,186857
-127.33337618681942,186824
