4-Methyl-2-pentanone
cm^-1,Intensity
150.0,8387.0341796875
151.0,8242.2177734375
152.0,8113.8125
153.0,7999.0732421875
154.0,7895.1806640625
155.0,7799.8115234375
156.0,7711.34228515625
157.0,7629.423828125
158.0,7556.00341796875
159.0,7495.630859375
160.0,7453.72314453125
161.0,7433.24755859375
162.0,7432.30859375
163.0,7445.14208984375
164.0,7466.32177734375
165.0,7494.93408203125
166.0,7535.1572265625
167.0,7592.68408203125
168.0,7670.12060546875
169.0,7765.25244140625
170.0,7873.3203125
171.0,7990.640625
172.0,8115.93798828125
173.0,8248.12890625
174.0,8382.8466796875
175.0,8511.0009765625
176.0,8620.75390625
177.0,8701.09765625
178.0,8744.3203125
179.0,8746.0546875
180.0,8704.0537109375
181.0,8617.5927734375
182.0,8488.166015625
183.0,8320.474609375
184.0,8122.302734375
185.0,7902.93017578125
186.0,7671.13671875
187.0,7434.0078125
188.0,7196.94873046875
189.0,6964.3017578125
190.0,6739.78076171875
191.0,6526.4013671875
192.0,6326.14208984375
193.0,6139.6904296875
194.0,5966.4990234375
195.0,5805.21435546875
196.0,5654.41259765625
197.0,5513.36376953125
198.0,5382.30517578125
199.0,5261.87255859375
200.0,5151.9619140625
201.0,5050.9560546875
202.0,4956.10791015625
203.0,4864.923828125
204.0,4776.3916015625
205.0,4691.02392578125
206.0,4609.8369140625
207.0,4533.45556640625
208.0,4462.28173828125
209.0,4397.31689453125
210.0,4340.3076171875
211.0,4292.54052734375
212.0,4253.2158203125
213.0,4219.12353515625
214.0,4186.2548828125
215.0,4152.0673828125
216.0,4116.4599609375
217.0,4080.75048828125
218.0,4045.912109375
219.0,4011.819091796875
220.0,3978.0302734375
221.0,3945.006103515625
222.0,3914.442138671875
223.0,3888.471435546875
224.0,3868.587158203125
225.0,3855.056640625
226.0,3846.8583984375
227.0,3841.80078125
228.0,3836.8212890625
229.0,3828.80078125
230.0,3815.8203125
231.0,3798.11376953125
232.0,3777.923828125
233.0,3758.272216796875
234.0,3741.5322265625
235.0,3728.6171875
236.0,3718.95751953125
237.0,3710.912353515625
238.0,3702.4248046875
239.0,3691.9580078125
240.0,3679.4560546875
241.0,3666.60546875
242.0,3655.883056640625
243.0,3648.9208984375
244.0,3645.56884765625
245.0,3644.495849609375
246.0,3644.68505859375
247.0,3646.187744140625
248.0,3649.30859375
249.0,3653.08251953125
250.0,3654.809326171875
251.0,3651.384765625
252.0,3641.433349609375
253.0,3626.3876953125
254.0,3609.63525390625
255.0,3594.44677734375
256.0,3582.233642578125
257.0,3572.184326171875
258.0,3562.20361328125
259.0,3550.34814453125
260.0,3535.8583984375
261.0,3519.3173828125
262.0,3502.00146484375
263.0,3484.98388671875
264.0,3468.688720703125
265.0,3453.171142578125
266.0,3438.682861328125
267.0,3425.739990234375
268.0,3414.484375
269.0,3404.042236328125
270.0,3392.868896484375
271.0,3380.095458984375
272.0,3366.7080078125
273.0,3355.208740234375
274.0,3347.784912109375
275.0,3344.518798828125
276.0,3343.284423828125
277.0,3341.457763671875
278.0,3337.8701171875
279.0,3333.36083984375
280.0,3329.69384765625
281.0,3328.149658203125
282.0,3329.076904296875
283.0,3332.457763671875
284.0,3338.454345703125
285.0,3347.21435546875
286.0,3358.380615234375
287.0,3371.3154296875
288.0,3386.225341796875
289.0,3405.06787109375
290.0,3430.8955078125
291.0,3465.744140625
292.0,3508.89990234375
