Acetic acid
cm^-1,Intensity
150.0,9211.490234375
151.0,9004.7646484375
152.0,8802.7900390625
153.0,8606.81640625
154.0,8421.4072265625
155.0,8250.638671875
156.0,8094.48095703125
157.0,7948.490234375
158.0,7807.01220703125
159.0,7666.9306640625
160.0,7528.74951171875
161.0,7394.359375
162.0,7263.9091796875
163.0,7134.75244140625
164.0,7003.36181640625
165.0,6868.2890625
166.0,6731.49267578125
167.0,6596.8125
168.0,6466.8486328125
169.0,6340.53515625
170.0,6213.1337890625
171.0,6078.55712890625
172.0,5932.67138671875
173.0,5775.75146484375
174.0,5612.85693359375
175.0,5451.9296875
176.0,5300.4677734375
177.0,5162.38525390625
178.0,5036.5400390625
179.0,4917.71875
180.0,4799.54638671875
181.0,4677.9296875
182.0,4553.287109375
183.0,4430.42041015625
184.0,4316.08056640625
185.0,4215.453125
186.0,4129.46240234375
187.0,4054.2470703125
188.0,3983.022705078125
189.0,3909.1953125
190.0,3829.124267578125
191.0,3743.29541015625
192.0,3655.534912109375
193.0,3570.8369140625
194.0,3492.880859375
195.0,3422.517333984375
196.0,3357.9296875
197.0,3296.227294921875
198.0,3235.257568359375
199.0,3174.373779296875
200.0,3113.880615234375
201.0,3054.030029296875
202.0,2994.697509765625
203.0,2935.94091796875
204.0,2878.600830078125
205.0,2824.072998046875
206.0,2773.354736328125
207.0,2726.318115234375
208.0,2681.925048828125
209.0,2639.06787109375
210.0,2597.136474609375
211.0,2555.856201171875
212.0,2514.86669921875
213.0,2473.786376953125
214.0,2432.843017578125
215.0,2393.34814453125
216.0,2357.3154296875
217.0,2326.314697265625
218.0,2300.444580078125
219.0,2278.196044921875
220.0,2257.255615234375
221.0,2235.57275390625
222.0,2212.02783203125
223.0,2186.50341796875
224.0,2159.619140625
225.0,2132.420166015625
226.0,2106.084716796875
227.0,2081.575439453125
228.0,2059.283203125
229.0,2038.875244140625
230.0,2019.5545654296875
231.0,2000.63525390625
232.0,1982.0526123046875
233.0,1964.374755859375
234.0,1948.2373046875
235.0,1933.59228515625
236.0,1919.4134521484373
237.0,1904.223388671875
238.0,1887.1497802734373
239.0,1868.708251953125
240.0,1850.5703125
241.0,1834.3770751953125
242.0,1820.468994140625
243.0,1807.606201171875
244.0,1793.9571533203125
245.0,1778.576171875
246.0,1762.1495361328125
247.0,1746.435791015625
248.0,1732.9495849609375
249.0,1721.9610595703125
250.0,1712.4696044921875
251.0,1702.8994140625
252.0,1691.8822021484375
253.0,1678.7618408203125
254.0,1663.8717041015625
255.0,1648.614501953125
256.0,1635.0670166015625
257.0,1624.942138671875
258.0,1618.38427734375
259.0,1613.594482421875
260.0,1607.8876953125
261.0,1599.54443359375
262.0,1589.0145263671875
263.0,1578.412353515625
264.0,1569.743408203125
265.0,1563.3519287109375
266.0,1557.84228515625
267.0,1551.38232421875
268.0,1543.150146484375
269.0,1533.7393798828125
270.0,1524.3223876953125
271.0,1515.446533203125
272.0,1506.5045166015625
273.0,1496.304931640625
274.0,1484.2347412109375
275.0,1471.0699462890625
276.0,1458.7689208984375
277.0,1449.363037109375
278.0,1443.7716064453125
279.0,1441.379638671875
280.0,1440.614013671875
281.0,1439.93212890625
282.0,1438.431884765625
283.0,1435.7735595703125
284.0,1431.7794189453125
285.0,1426.2606201171875
286.0,1419.19140625
287.0,1410.894287109375
