Acetone
cm^-1,Intensity
150.0,5988.78271484375
151.0,5832.83935546875
152.0,5692.76513671875
153.0,5567.7646484375
154.0,5451.97509765625
155.0,5338.20849609375
156.0,5221.681640625
157.0,5101.83447265625
158.0,4981.87451171875
159.0,4866.763671875
160.0,4760.59716796875
161.0,4664.61572265625
162.0,4576.91845703125
163.0,4493.97021484375
164.0,4412.78564453125
165.0,4332.234375
166.0,4252.81884765625
167.0,4175.423828125
168.0,4100.193359375
169.0,4026.315673828125
170.0,3952.78271484375
171.0,3879.414794921875
172.0,3807.248046875
173.0,3737.867431640625
174.0,3672.287353515625
175.0,3610.4638671875
176.0,3551.855224609375
177.0,3496.17578125
178.0,3443.242431640625
179.0,3392.0322265625
180.0,3340.42919921875
181.0,3286.636962890625
182.0,3231.2822265625
183.0,3177.90625
184.0,3130.875732421875
185.0,3092.22265625
186.0,3060.183349609375
187.0,3030.56298828125
188.0,2999.5927734375
189.0,2965.857177734375
190.0,2930.097900390625
191.0,2893.525634765625
192.0,2856.14306640625
193.0,2816.220947265625
194.0,2771.228271484375
195.0,2719.78125
196.0,2663.47021484375
197.0,2607.193115234375
198.0,2557.17431640625
199.0,2517.53662109375
200.0,2487.656005859375
201.0,2462.538330078125
202.0,2436.392822265625
203.0,2407.056640625
204.0,2377.86767578125
205.0,2355.142578125
206.0,2342.87646484375
207.0,2338.709228515625
208.0,2334.730712890625
209.0,2322.7314453125
210.0,2299.845947265625
211.0,2269.9384765625
212.0,2239.973388671875
213.0,2214.854248046875
214.0,2195.16845703125
215.0,2178.853759765625
216.0,2163.9775390625
217.0,2149.505615234375
218.0,2134.06494140625
219.0,2115.324951171875
220.0,2091.6591796875
221.0,2064.4853515625
222.0,2038.3140869140625
223.0,2017.7142333984373
224.0,2003.85498046875
225.0,1993.892578125
226.0,1983.6719970703125
227.0,1971.029541015625
228.0,1956.713134765625
229.0,1942.65380859375
230.0,1929.78125
231.0,1917.517578125
232.0,1904.861328125
233.0,1891.4239501953125
234.0,1877.271728515625
235.0,1862.1826171875
236.0,1845.6512451171875
237.0,1827.977783203125
238.0,1811.2320556640625
239.0,1798.724853515625
240.0,1793.01904296875
241.0,1794.109130859375
242.0,1799.3092041015625
243.0,1804.8929443359373
244.0,1807.9854736328125
245.0,1807.3023681640625
246.0,1802.64013671875
247.0,1794.127197265625
248.0,1782.0887451171875
249.0,1767.4002685546875
250.0,1751.629638671875
251.0,1736.610595703125
252.0,1723.7523193359375
253.0,1713.5919189453125
254.0,1705.791259765625
255.0,1699.4244384765625
256.0,1693.38720703125
257.0,1686.822021484375
258.0,1679.4244384765625
259.0,1671.4381103515625
260.0,1663.3040771484375
261.0,1655.2513427734375
262.0,1647.2015380859375
263.0,1639.0811767578125
264.0,1631.204833984375
265.0,1624.2906494140625
266.0,1618.98779296875
267.0,1615.2655029296875
268.0,1612.212890625
269.0,1608.511474609375
270.0,1603.30859375
271.0,1596.8074951171875
272.0,1590.08935546875
273.0,1584.2935791015625
274.0,1579.867431640625
275.0,1576.482421875
276.0,1573.539794921875
277.0,1570.6234130859375
278.0,1567.412353515625
279.0,1563.2750244140625
280.0,1557.193359375
281.0,1548.356689453125
282.0,1537.0345458984375
283.0,1524.97607421875
284.0,1514.827880859375
285.0,1508.74951171875
286.0,1506.955322265625
287.0,1507.1412353515625
288.0,1505.4771728515625
289.0,1498.8916015625
290.0,1487.302734375
291.0,1473.987548828125
292.0,1463.44921875
293.0,1458.175537109375
294.0,1456.86669921875
295.0,1455.714599609375
296.0,1451.6602783203125
297.0,1444.89892578125
298.0,1438.55078125
299.0,1436.00390625
300.0,1438.2783203125
301.0,1443.45263671875
302.0,1448.301513671875
303.0,1450.6063232421875
304.0,1450.4857177734375
305.0,1449.9921875
306.0,1451.3924560546875
307.0,1455.2509765625
308.0,1459.62353515625
309.0,1461.19677734375
310.0,1457.8310546875
311.0,1450.6217041015625
312.0,1443.4412841796875
313.0,1439.8897705078125
314.0,1440.1329345703125
315.0,1440.6417236328125
316.0,1437.4395751953125
317.0,1429.908935546875
318.0,1421.4866943359375
319.0,1416.4124755859375
320.0,1415.708251953125
321.0,1416.334716796875
322.0,1414.25634765625
323.0,1408.279541015625
324.0,1400.9183349609375
325.0,1395.8280029296875
326.0,1394.612548828125
327.0,1396.0106201171875
328.0,1397.59716796875
329.0,1397.7991943359375
330.0,1396.3724365234375
331.0,1393.5889892578125
332.0,1389.6197509765625
333.0,1384.800048828125
334.0,1380.1151123046875
335.0,1376.9901123046875
336.0,1376.45068359375
337.0,1378.4827880859375
338.0,1382.1685791015625
339.0,1386.3270263671875
340.0,1390.033935546875
341.0,1392.753173828125
342.0,1394.30859375
343.0,1394.9853515625
344.0,1395.712646484375
345.0,1397.962646484375
346.0,1403.065185546875
347.0,1411.1060791015625
348.0,1420.141845703125
349.0,1426.66796875
350.0,1427.5804443359375
351.0,1422.5806884765625
352.0,1415.14013671875
353.0,1410.7587890625
354.0,1413.4052734375
355.0,1422.7513427734375
356.0,1434.531982421875
357.0,1443.9217529296875
358.0,1449.1649169921875
359.0,1452.5052490234375
360.0,1457.7545166015625
361.0,1466.8271484375
362.0,1478.340087890625
363.0,1489.31201171875
364.0,1498.1815185546875
365.0,1506.27978515625
366.0,1516.6141357421875
367.0,1531.3350830078125
368.0,1550.2686767578125
369.0,1571.6162109375
370.0,1593.8260498046875
371.0,1616.8624267578125
372.0,1641.9832763671875
373.0,1670.62158203125
374.0,1703.5306396484375
375.0,1740.767822265625
376.0,1782.1923828125
377.0,1827.761962890625
378.0,1877.3009033203125
379.0,1930.125732421875
380.0,1985.3070068359373
381.0,2042.8946533203125
382.0,2105.286376953125
383.0,2177.100830078125
384.0,2262.565673828125
385.0,2361.693359375
386.0,2468.26220703125
387.0,2571.845458984375
388.0,2662.85888671875
389.0,2736.62451171875
390.0,2793.176513671875
391.0,2833.310302734375
392.0,2854.806640625
393.0,2852.350830078125
394.0,2820.9326171875
395.0,2759.5029296875
396.0,2671.971923828125
397.0,2565.557373046875
398.0,2448.544921875
399.0,2328.97509765625
400.0,2214.05810546875
401.0,2109.41552734375
402.0,2018.0687255859373
403.0,1939.9228515625
404.0,1872.272216796875
405.0,1811.0135498046875
406.0,1752.0269775390625
407.0,1692.5263671875
408.0,1632.227783203125
409.0,1573.7135009765625
410.0,1521.3194580078125
411.0,1478.810302734375
412.0,1447.2769775390625
413.0,1424.69091796875
414.0,1407.1483154296875
415.0,1390.6629638671875
416.0,1372.5029296875
417.0,1351.9622802734375
418.0,1330.710205078125
419.0,1312.2579345703125
420.0,1299.997314453125
421.0,1294.5882568359375
422.0,1292.8577880859375
423.0,1289.681884765625
424.0,1281.7060546875
425.0,1269.68408203125
426.0,1257.29638671875
427.0,1247.667236328125
428.0,1240.9072265625
429.0,1234.81640625
430.0,1227.6009521484375
431.0,1219.697998046875
432.0,1213.1558837890625
433.0,1209.605224609375
434.0,1208.9774169921875
435.0,1209.851318359375
436.0,1210.5811767578125
437.0,1210.0462646484375
438.0,1207.833251953125
439.0,1204.3604736328125
440.0,1201.014404296875
441.0,1199.70458984375
442.0,1201.5831298828125
443.0,1205.8375244140625
444.0,1209.8924560546875
445.0,1211.231201171875
446.0,1209.37646484375
447.0,1206.207763671875
448.0,1204.357421875
449.0,1205.2364501953125
450.0,1208.4505615234375
451.0,1212.8214111328125
452.0,1217.636474609375
453.0,1222.867431640625
454.0,1228.4892578125
455.0,1234.03515625
456.0,1239.024658203125
457.0,1243.6573486328125
458.0,1248.7861328125
