Acetonitrile
cm^-1,Intensity
150.0,17217.486328125
151.0,16688.705078125
152.0,16187.068359375
153.0,15718.3681640625
154.0,15281.8173828125
155.0,14869.4921875
156.0,14469.1240234375
157.0,14069.935546875
158.0,13668.4169921875
159.0,13269.998046875
160.0,12884.94921875
161.0,12521.263671875
162.0,12179.7734375
163.0,11854.7978515625
164.0,11539.2685546875
165.0,11229.87109375
166.0,10928.626953125
167.0,10640.462890625
168.0,10369.3759765625
169.0,10115.9697265625
170.0,9877.470703125
171.0,9649.3330078125
172.0,9427.078125
173.0,9207.5439453125
174.0,8989.482421875
175.0,8773.673828125
176.0,8562.4580078125
177.0,8358.6103515625
178.0,8163.81689453125
179.0,7977.55224609375
180.0,7797.2880859375
181.0,7620.2451171875
182.0,7445.74853515625
183.0,7276.4033203125
184.0,7116.86962890625
185.0,6970.6396484375
186.0,6837.06201171875
187.0,6710.95947265625
188.0,6585.47705078125
189.0,6456.1708984375
190.0,6323.3046875
191.0,6190.681640625
192.0,6062.21240234375
193.0,5939.2177734375
194.0,5820.5546875
195.0,5705.0029296875
196.0,5593.30078125
197.0,5487.8232421875
198.0,5390.2578125
199.0,5299.58349609375
200.0,5212.2646484375
201.0,5124.5400390625
202.0,5034.86083984375
203.0,4944.6708984375
204.0,4857.17919921875
205.0,4775.2744140625
206.0,4699.99755859375
207.0,4630.294921875
208.0,4563.84716796875
209.0,4498.2744140625
210.0,4432.0146484375
211.0,4364.49560546875
212.0,4295.75341796875
213.0,4226.01904296875
214.0,4155.728515625
215.0,4085.891845703125
216.0,4018.290771484375
217.0,3955.046142578125
218.0,3897.7080078125
219.0,3846.46484375
220.0,3799.990234375
221.0,3755.960205078125
222.0,3711.948974609375
223.0,3666.402587890625
224.0,3619.35302734375
225.0,3572.43603515625
226.0,3527.903564453125
227.0,3487.037841796875
228.0,3449.13916015625
229.0,3412.052978515625
230.0,3373.925048828125
231.0,3334.548828125
232.0,3295.023681640625
233.0,3256.112548828125
234.0,3217.196533203125
235.0,3177.0927734375
236.0,3135.9638671875
237.0,3096.149169921875
238.0,3060.784423828125
239.0,3031.36279296875
240.0,3006.625732421875
241.0,2983.8046875
242.0,2960.90234375
243.0,2937.781982421875
244.0,2915.30224609375
245.0,2893.822265625
246.0,2872.803955078125
247.0,2851.698974609375
248.0,2830.69873046875
249.0,2810.17626953125
250.0,2789.409423828125
251.0,2766.359375
252.0,2739.36279296875
253.0,2709.437255859375
254.0,2680.771484375
255.0,2658.351318359375
256.0,2644.283935546875
257.0,2635.94921875
258.0,2627.724365234375
259.0,2615.09912109375
260.0,2597.798828125
261.0,2579.354248046875
262.0,2563.57666015625
263.0,2551.02490234375
264.0,2538.5263671875
265.0,2522.018310546875
266.0,2500.189208984375
267.0,2475.774169921875
268.0,2453.638916015625
269.0,2437.426025390625
270.0,2427.466796875
271.0,2421.20703125
272.0,2415.26123046875
273.0,2407.367431640625
274.0,2397.134765625
275.0,2385.66064453125
276.0,2374.6005859375
277.0,2365.195556640625
278.0,2357.63330078125
279.0,2351.0791015625
280.0,2344.46044921875
281.0,2337.478515625
282.0,2330.991943359375
283.0,2326.378662109375
284.0,2324.427734375
285.0,2324.76025390625
286.0,2326.17138671875
287.0,2327.37548828125
288.0,2327.385986328125
289.0,2325.466552734375
290.0,2321.234619140625
291.0,2315.239501953125
292.0,2309.42138671875
293.0,2306.516845703125
294.0,2308.292724609375
295.0,2313.894287109375
296.0,2319.897216796875
297.0,2322.464111328125
298.0,2320.1142578125
299.0,2314.87890625
300.0,2310.8505859375
301.0,2311.2451171875
302.0,2316.414306640625
303.0,2324.301513671875
304.0,2332.710693359375
305.0,2341.1630859375
306.0,2350.647705078125
307.0,2361.67578125
308.0,2372.695068359375
309.0,2380.639892578125
310.0,2383.309814453125
311.0,2381.556640625
312.0,2379.302734375
313.0,2381.313720703125
314.0,2390.440673828125
315.0,2406.279052734375
316.0,2425.921142578125
317.0,2445.869140625
318.0,2463.71533203125
319.0,2478.748046875
320.0,2491.5693359375
321.0,2503.32373046875
322.0,2515.114990234375
323.0,2527.87646484375
324.0,2542.576904296875
325.0,2560.350830078125
326.0,2582.167724609375
327.0,2608.12744140625
328.0,2637.004150390625
329.0,2666.68212890625
330.0,2695.408447265625
331.0,2722.93798828125
332.0,2750.64404296875
333.0,2780.570068359375
334.0,2814.296875
335.0,2852.458251953125
336.0,2894.875732421875
337.0,2940.75048828125
338.0,2988.717041015625
339.0,3037.224853515625
340.0,3085.563232421875
341.0,3134.9189453125
342.0,3188.296875
343.0,3248.978515625
344.0,3318.593505859375
345.0,3396.4375
346.0,3480.591552734375
347.0,3569.864013671875
348.0,3665.0927734375
349.0,3769.1064453125
350.0,3885.6962890625
351.0,4018.2919921875
352.0,4168.88232421875
353.0,4337.64453125
354.0,4523.638671875
355.0,4726.39794921875
356.0,4947.45556640625
357.0,5190.7158203125
358.0,5461.6396484375
359.0,5766.294921875
360.0,6111.20751953125
361.0,6503.65380859375
362.0,6951.3037109375
363.0,7461.1376953125
364.0,8039.16064453125
365.0,8692.310546875
366.0,9431.6103515625
367.0,10273.5185546875
368.0,11237.3046875
369.0,12339.9638671875
370.0,13592.826171875
371.0,15002.4013671875
372.0,16572.970703125
373.0,18304.70703125
374.0,20183.025390625
375.0,22161.443359375
376.0,24147.11328125
377.0,25998.974609375
378.0,27543.048828125
379.0,28602.08203125
380.0,29031.033203125
381.0,28749.044921875
382.0,27760.37890625
383.0,26158.46875
384.0,24109.544921875
385.0,21818.18359375
386.0,19483.97265625
387.0,17263.900390625
388.0,15253.724609375
389.0,13491.6220703125
390.0,11976.4150390625
391.0,10687.9453125
392.0,9600.4501953125
393.0,8687.671875
394.0,7923.6728515625
395.0,7283.24365234375
396.0,6743.046875
397.0,6282.8056640625
398.0,5885.99462890625
399.0,5539.99072265625
400.0,5235.587890625
401.0,4965.80126953125
402.0,4724.5263671875
403.0,4506.17529296875
404.0,4306.67138671875
405.0,4124.56787109375
406.0,3960.60986328125
407.0,3815.56884765625
408.0,3688.17236328125
409.0,3575.013916015625
410.0,3472.301025390625
411.0,3377.52099609375
412.0,3289.4580078125
413.0,3207.009521484375
414.0,3128.466064453125
415.0,3052.1591796875
416.0,2977.74169921875
417.0,2906.681396484375
418.0,2841.389404296875
419.0,2783.613525390625
420.0,2733.20166015625
421.0,2688.011474609375
422.0,2645.00732421875
423.0,2601.94873046875
424.0,2558.61279296875
425.0,2516.60791015625
426.0,2477.803955078125
427.0,2442.561767578125
428.0,2409.25439453125
429.0,2375.52490234375
430.0,2340.1787109375
431.0,2304.13427734375
432.0,2269.756591796875
433.0,2239.220458984375
434.0,2213.123046875
435.0,2190.139404296875
436.0,2167.81787109375
437.0,2144.106689453125
438.0,2118.78564453125
439.0,2093.793701171875
440.0,2071.922119140625
441.0,2054.560302734375
442.0,2040.267822265625
443.0,2025.53076171875
444.0,2007.2216796875
445.0,1984.7464599609373
446.0,1960.15576171875
447.0,1936.42626953125
