Acetylsalicylic-acid_16th
cm^-1,Intensity
148.32,22692.8
150.7,20694.2
153.07,19444.7
155.45,19602.2
157.82,21246.9
160.2,24670.2
162.57,32880.1
164.94,47595.5
167.31,61639.0
169.68,64199.4
172.05,55594.6
174.42,40253.9
176.79,28436.2
179.15,21145.9
181.52,16953.7
183.88,14430.8
186.24,12079.0
188.61,10822.1
190.97,9866.8
193.33,9472.7
195.69,8462.1
198.04,7950.2
200.4,7614.2
202.76,7393.9
205.11,7009.1
207.46,6943.8
209.82,6571.3
212.17,6390.5
214.52,6050.9
216.87,6112.7
219.22,5704.8
221.56,5766.8
223.91,5469.6
226.25,5401.7
228.6,5234.9
230.94,5185.3
233.28,5110.6
235.63,4987.0
237.97,4902.4
240.3,5163.7
242.64,4912.8
244.98,4981.6
247.32,5253.9
249.65,5053.0
251.99,5126.3
254.32,5592.4
256.65,6270.5
258.98,7533.8
261.31,7858.9
263.64,7014.6
265.97,5597.0
268.3,5054.4
270.62,4902.8
272.95,5140.2
275.27,5044.0
277.59,5054.0
279.92,5681.4
282.24,7188.9
284.56,10270.1
286.88,16257.8
289.19,20264.1
291.51,14724.7
293.83,8806.4
296.14,6228.1
298.46,5408.4
300.77,5260.1
303.08,5348.0
305.39,4873.5
307.7,4594.6
310.01,4725.3
312.32,5483.1
314.63,6390.8
316.93,8723.0
319.24,12000.8
321.54,12182.5
323.84,10401.1
326.15,7877.3
328.45,7473.4
330.75,6228.4
333.05,5232.3
335.34,4777.2
337.64,4891.8
339.94,4230.7
342.23,4368.1
344.53,4273.8
346.82,4178.0
349.11,4280.7
351.4,4138.9
353.69,4228.5
355.98,4582.2
358.27,5215.0
360.56,4920.2
362.84,4829.7
365.13,5207.9
367.41,4925.5
369.69,4922.7
371.98,4883.8
374.26,5120.7
376.54,5622.9
378.82,5681.6
381.1,5366.3
383.37,4646.8
385.65,4208.1
387.93,4248.4
390.2,3755.5
392.47,3836.2
394.75,3842.9
397.02,3800.9
399.29,3754.3
401.56,4880.5
403.83,4591.8
406.09,4113.9
408.36,4353.7
410.62,4556.7
412.89,5180.3
415.15,6779.9
417.42,8816.2
419.68,13245.4
421.94,18649.7
424.2,18977.9
426.46,13705.2
428.71,9197.7
430.97,7386.7
433.23,7307.1
435.48,7135.5
437.74,7515.1
439.99,7211.0
442.24,6400.6
444.49,5146.1
446.74,4617.5
448.99,4233.7
451.24,4206.0
453.49,3847.9
455.73,3769.4
457.98,3927.7
460.22,3675.4
462.46,3569.1
464.71,3738.9
466.95,3850.0
469.19,3725.8
471.43,3871.3
473.67,3829.3
475.9,3974.4
478.14,4067.4
480.38,3879.6
482.61,3749.9
484.85,3803.7
487.08,3669.8
489.31,3551.6
491.54,3441.2
493.77,3515.7
496.0,3516.7
498.23,3467.7
500.45,3393.5
502.68,3341.5
504.91,3435.8
507.13,3914.8
509.35,4454.9
511.58,4537.7
513.8,4983.3
516.02,4284.4
518.24,3768.2
520.45,3650.6
522.67,4036.9
524.89,4034.3
527.1,4145.8
529.32,4849.6
531.53,5200.7
533.75,5564.4
535.96,6794.3
538.17,8762.6
540.38,12248.1
542.59,16377.6
544.8,19413.2
547.0,21668.7
549.21,23042.2
551.41,21707.3
553.62,16290.7
555.82,10407.2
558.02,7345.2
560.23,5617.4
562.43,5098.7
564.63,4182.0
566.82,3987.1
569.02,3781.4
571.22,3903.8
573.41,3803.3
575.61,3837.8
577.8,3787.4
580.0,3852.0
582.19,3691.2
584.38,3448.4
586.57,3332.3
588.76,3560.5
590.95,3458.3
593.14,3628.9
595.32,3615.0
597.51,3948.8
599.69,3404.6
601.88,3265.6
604.06,3123.8
606.24,3108.9
608.42,3011.1
610.6,2910.9
612.78,2866.9
614.96,2890.1
617.14,3107.7
619.31,2976.7
621.49,2921.3
623.66,3010.4
625.84,3120.8
628.01,3797.7
630.18,3785.7
632.35,4985.6
634.52,7901.7
636.69,11953.0
638.86,13125.3
641.02,10031.3
643.19,7186.7
645.36,5286.6
647.52,3816.8
649.68,3392.2
651.85,3064.2
654.01,3207.3
656.17,3032.5
658.33,3202.3
660.49,3632.3
662.64,4253.9
664.8,4212.3
666.96,3620.8
669.11,3220.8
671.27,2952.7
673.42,3083.8
675.57,2815.5
677.72,2797.8
679.88,2916.8
682.02,2934.3
684.17,3154.3
686.32,2816.1
688.47,3022.6
690.61,3068.1
692.76,3399.9
694.9,3649.4
697.05,4808.0
699.19,6701.5
701.33,10230.4
703.47,11477.8
705.61,7530.8
707.75,4732.6
709.89,3825.1
712.03,3416.0
714.16,3396.9
716.3,3368.9
718.43,3415.2
720.56,3012.6
722.7,2972.6
724.83,2868.2
726.96,2882.4
729.09,2891.6
731.22,3115.4
733.35,3526.6
735.47,3288.6
737.6,3612.5
739.72,4303.9
741.85,5773.6
743.97,10645.0
746.09,21270.3
748.22,34020.4
750.34,28186.2
752.46,13343.1
754.58,7050.4
756.69,4745.3
758.81,3814.1
760.93,3371.2
763.04,3159.3
765.16,3147.9
767.27,3253.7
769.38,3099.8
771.5,3326.4
773.61,3648.5
775.72,4483.4
777.83,6564.8
779.93,11648.0
782.04,18608.5
784.15,17715.2
786.25,8958.9
788.36,4987.8
790.46,3708.3
792.57,3296.6
794.67,3171.4
796.77,3261.9
798.87,3212.2
800.97,3311.1
803.07,3888.2
805.17,4567.8
807.26,4165.9
809.36,3256.2
811.45,2979.4
813.55,2841.7
815.64,2700.9
817.73,2955.8
819.82,2833.6
821.92,2722.4
824.01,2724.1
826.09,2891.2
828.18,3204.1
830.27,3600.5
832.36,4512.4
834.44,5461.6
836.53,4976.5
838.61,4112.0
840.69,3449.9
842.77,3425.6
844.85,2997.1
846.94,2829.1
849.01,3030.4
851.09,2759.9
853.17,2892.2
855.25,2985.8
857.32,2844.7
859.4,2882.4
861.47,2915.8
863.54,3230.4
865.62,3125.8
867.69,3111.1
869.76,3082.0
871.83,3170.6
873.9,3293.6
875.97,3328.0
878.03,3678.3
880.1,4038.8
882.16,4081.2
884.23,3851.6
886.29,3478.1
888.36,3126.6
890.42,2936.6
892.48,2799.1
894.54,2775.8
896.6,2960.6
898.66,2687.6
900.71,3143.9
902.77,2976.4
904.83,2999.1
906.88,2863.2
908.94,2988.8
910.99,3364.0
913.04,4388.7
915.09,5218.5
917.14,6585.5
919.19,5593.2
921.24,4338.7
923.29,3655.7
925.34,3037.6
927.38,2942.7
929.43,2940.7
931.47,2811.2
933.52,2800.0
935.56,2720.2
937.6,3043.7
939.65,2771.0
941.69,2884.0
943.73,2604.0
945.76,2637.6
947.8,2727.9
949.84,2407.1
951.88,2548.0
953.91,2563.9
955.95,2457.7
957.98,2393.7
960.01,2604.2
962.04,2557.7
964.07,2985.1
966.11,2937.2
968.13,3129.6
970.16,3265.7
972.19,2977.7
974.22,2869.4
976.24,2643.8
978.27,2509.7
980.29,2656.3
982.32,2715.3
984.34,2524.5
986.36,2536.9
988.38,2556.7
990.4,2723.4
992.42,2590.4
994.44,3090.7
996.46,2889.1
998.47,2917.9
1000.49,2989.0
1002.51,3258.5
1004.52,3534.0
