Benzaldehyde
cm^-1,Intensity
150.0,10989.07421875
151.0,10374.79296875
152.0,9789.1416015625
153.0,9233.7431640625
154.0,8713.482421875
155.0,8232.9130859375
156.0,7792.66943359375
157.0,7388.27734375
158.0,7012.31640625
159.0,6658.341796875
160.0,6323.81201171875
161.0,6009.96923828125
162.0,5719.15625
163.0,5451.935546875
164.0,5206.3125
165.0,4979.27734375
166.0,4768.8779296875
167.0,4574.77099609375
168.0,4396.83447265625
169.0,4233.248046875
170.0,4079.96728515625
171.0,3932.217041015625
172.0,3786.948486328125
173.0,3644.4072265625
174.0,3507.705810546875
175.0,3380.81298828125
176.0,3266.34716796875
177.0,3164.48388671875
178.0,3073.2333984375
179.0,2989.519287109375
180.0,2910.281982421875
181.0,2833.282470703125
182.0,2757.61767578125
183.0,2683.8759765625
184.0,2613.70458984375
185.0,2548.75146484375
186.0,2489.54638671875
187.0,2435.1376953125
188.0,2383.8046875
189.0,2334.261474609375
190.0,2286.355712890625
191.0,2240.821533203125
192.0,2198.507568359375
193.0,2159.8740234375
194.0,2125.041748046875
195.0,2094.056884765625
196.0,2066.931396484375
197.0,2043.4798583984373
198.0,2023.3033447265625
199.0,2006.06396484375
200.0,1991.773193359375
201.0,1980.7352294921875
202.0,1973.198974609375
203.0,1969.150634765625
204.0,1968.5699462890625
205.0,1971.981689453125
206.0,1980.828369140625
207.0,1997.38037109375
208.0,2024.317138671875
209.0,2064.294677734375
210.0,2119.595458984375
211.0,2191.7841796875
212.0,2281.4580078125
213.0,2388.51171875
214.0,2513.237548828125
215.0,2657.739501953125
216.0,2826.33154296875
217.0,3023.623779296875
218.0,3250.5341796875
219.0,3500.20947265625
220.0,3756.53955078125
221.0,3996.72119140625
222.0,4196.904296875
223.0,4338.51220703125
224.0,4412.6875
225.0,4421.7861328125
226.0,4378.07861328125
227.0,4300.37109375
228.0,4209.5537109375
229.0,4124.1259765625
230.0,4057.009033203125
231.0,4014.572265625
232.0,3997.710693359375
233.0,4003.860595703125
234.0,4028.561279296875
235.0,4065.994384765625
236.0,4108.94970703125
237.0,4149.0615234375
238.0,4177.724609375
239.0,4187.49755859375
240.0,4173.45947265625
241.0,4134.1220703125
242.0,4071.667236328125
243.0,3991.29736328125
244.0,3899.610595703125
245.0,3802.3330078125
246.0,3702.322021484375
247.0,3599.04052734375
248.0,3489.982177734375
249.0,3373.330322265625
250.0,3250.141845703125
251.0,3124.590576171875
252.0,3002.19287109375
253.0,2887.328857421875
254.0,2781.7705078125
255.0,2684.905029296875
256.0,2595.064208984375
257.0,2510.751708984375
258.0,2431.0458984375
259.0,2355.31005859375
260.0,2282.784423828125
261.0,2212.4912109375
262.0,2143.503662109375
263.0,2075.394287109375
264.0,2008.56640625
265.0,1944.186279296875
266.0,1883.6121826171875
267.0,1827.6409912109373
268.0,1776.1865234375
269.0,1728.7215576171875
270.0,1685.0582275390625
271.0,1645.53759765625
272.0,1610.2161865234375
273.0,1577.744140625
274.0,1545.2532958984375
275.0,1509.7667236328125
276.0,1470.1954345703125
277.0,1428.2421875
278.0,1387.411376953125
279.0,1350.93359375
280.0,1320.173095703125
281.0,1294.456298828125
282.0,1271.9227294921875
283.0,1250.471923828125
284.0,1228.31103515625
285.0,1204.2860107421875
286.0,1178.229248046875
287.0,1151.11181640625
288.0,1124.6407470703125
289.0,1100.4234619140625
290.0,1079.2996826171875
291.0,1061.3101806640625
292.0,1046.06298828125
293.0,1032.9012451171875
294.0,1020.71044921875
295.0,1007.8995971679688
296.0,993.0844116210938
297.0,976.17724609375
298.0,958.8235473632812
299.0,943.4877319335938
300.0,931.7313232421876
301.0,923.0925903320312
302.0,915.551025390625
303.0,907.11669921875
304.0,897.1761474609375
305.0,886.5565185546875
306.0,876.5182495117188
307.0,867.705810546875
308.0,859.849609375
309.0,852.193115234375
310.0,844.08154296875
311.0,835.3001708984375
312.0,826.1179809570312
313.0,817.1357421875
314.0,808.9616088867188
315.0,801.77392578125
316.0,795.0718994140625
317.0,787.95263671875
318.0,779.8587646484375
319.0,771.2200927734375
320.0,763.3460693359375
321.0,757.5693359375
322.0,754.329833984375
323.0,752.9744262695312
324.0,752.3618774414062
325.0,751.6463623046875
326.0,750.5771484375
327.0,749.2385864257812
328.0,747.700927734375
329.0,745.956787109375
330.0,744.0415649414062
331.0,741.9988403320312
332.0,739.6625366210938
333.0,736.6214599609375
334.0,732.64208984375
335.0,728.240966796875
336.0,724.7423095703125
337.0,723.5269165039062
338.0,725.0104370117188
339.0,728.2841796875
340.0,731.7820434570312
341.0,734.3912963867188
342.0,736.011474609375
343.0,737.196044921875
344.0,738.4254760742188
345.0,739.8096923828125
346.0,741.3724975585938
347.0,743.3276977539062
348.0,745.8275756835938
349.0,748.424072265625
350.0,750.0157470703125
351.0,749.614990234375
352.0,747.3475952148438
353.0,744.6785888671875
354.0,743.53466796875
355.0,745.0275268554688
356.0,748.8175048828125
357.0,753.5364379882812
358.0,757.7429809570312
359.0,760.618408203125
360.0,762.0444946289062
361.0,762.28125
362.0,761.63671875
363.0,760.3153076171875
364.0,758.4285278320312
365.0,756.0986938476562
366.0,753.5634155273438
367.0,751.1506958007812
368.0,749.0574951171875
369.0,747.0957641601562
370.0,744.717041015625
371.0,741.4369506835938
372.0,737.3626098632812
373.0,733.3194580078125
374.0,730.3905639648438
375.0,729.1986694335938
376.0,729.5054931640625
377.0,730.4161987304688
378.0,730.9832153320312
379.0,730.7618408203125
380.0,729.979736328125
381.0,729.2808837890625
382.0,729.246826171875
383.0,729.99609375
384.0,731.1388549804688
385.0,732.144287109375
386.0,732.8558349609375
387.0,733.7120971679688
388.0,735.4158935546875
389.0,738.298095703125
390.0,741.9537963867188
391.0,745.5401000976562
392.0,748.5220336914062
393.0,751.1914672851562
394.0,754.4713134765625
395.0,759.177734375
396.0,765.4556274414062
397.0,772.9502563476562
398.0,781.5413208007812
399.0,791.8734741210938
400.0,805.0469970703125
401.0,821.6515502929688
402.0,840.99169921875
403.0,861.1956176757812
404.0,880.0689697265625
405.0,895.8717041015625
406.0,907.4246215820312
407.0,913.760986328125
408.0,914.0441284179688
409.0,908.1016235351562
410.0,897.1204223632812
411.0,883.73681640625
412.0,871.2398071289062
413.0,862.3990478515625
414.0,858.6983032226562
415.0,860.3449096679688
416.0,866.8330688476562
417.0,877.53369140625
418.0,891.95654296875
419.0,909.7584838867188
420.0,930.8949584960938
421.0,956.22412109375
422.0,988.2977294921876
423.0,1031.5621337890625
424.0,1091.4794921875
425.0,1173.2564697265625
426.0,1281.802734375
427.0,1423.8704833984375
428.0,1611.5283203125
429.0,1865.0028076171875
430.0,2213.70849609375
431.0,2695.3486328125
432.0,3351.677001953125
433.0,4216.748046875
434.0,5294.478515625
435.0,6530.744140625
436.0,7796.31298828125
437.0,8900.06640625
438.0,9639.029296875
439.0,9867.466796875
440.0,9551.5859375
441.0,8781.0966796875
442.0,7732.12353515625
443.0,6603.1259765625
444.0,5555.87451171875
445.0,4684.1494140625
446.0,4014.3955078125
447.0,3526.966552734375
448.0,3181.77978515625
449.0,2937.171142578125
450.0,2758.47509765625
451.0,2618.929443359375
452.0,2497.900146484375
453.0,2379.996826171875
454.0,2255.70556640625
455.0,2122.011474609375
456.0,1981.5037841796875
457.0,1839.9891357421875
458.0,1703.8338623046875
459.0,1578.1419677734375
460.0,1466.021240234375
461.0,1368.59033203125
462.0,1285.397705078125
463.0,1215.0555419921875
464.0,1155.8203125
465.0,1105.85498046875
466.0,1063.2188720703125
467.0,1025.9454345703125
468.0,992.436279296875
469.0,961.9298706054688
470.0,934.5485229492188
471.0,910.7533569335938
472.0,890.5634155273438
473.0,873.1254272460938
474.0,856.9650268554688
475.0,840.7784423828125
476.0,824.2762451171875
477.0,808.4996948242188
478.0,795.2509765625
479.0,785.8496704101562
480.0,780.0172119140625
481.0,775.7697143554688
482.0,770.5382690429688
483.0,762.7302856445312
484.0,752.543212890625
485.0,741.4760131835938
486.0,731.051513671875
487.0,721.8151245117188
488.0,713.2759399414062
489.0,704.5902099609375
490.0,695.325927734375
491.0,685.8138427734375
492.0,677.0034790039062
493.0,669.994873046875
494.0,665.4662475585938
495.0,663.2666015625
496.0,662.46435546875
497.0,661.907470703125
498.0,660.896484375
499.0,659.3858642578125
500.0,657.5474243164062
501.0,655.2015991210938
502.0,651.8026733398438
503.0,647.0266723632812
504.0,641.2669067382812
505.0,635.3888549804688
506.0,629.9478759765625
507.0,624.7671508789062
508.0,619.4170532226562
509.0,614.092529296875
510.0,609.8583374023438
511.0,607.8441772460938
512.0,608.1005859375
513.0,609.2295532226562
514.0,609.1754150390625
515.0,606.53759765625
516.0,601.4091186523438
517.0,595.2420654296875
518.0,589.9943237304688
519.0,587.1416625976562
520.0,587.0400390625
521.0,588.8651123046875
522.0,591.1029663085938
523.0,592.3260498046875
524.0,591.8491821289062
525.0,589.94140625
526.0,587.5374755859375
527.0,585.6557006835938
528.0,584.8268432617188
529.0,584.8193359375
530.0,584.867919921875
531.0,584.3607788085938
532.0,583.5062255859375
533.0,583.29248046875
534.0,584.5503540039062
535.0,586.862060546875
536.0,588.4796142578125
537.0,587.6018676757812
538.0,583.9320068359375
539.0,578.9823608398438
540.0,574.7568969726562
541.0,572.0818481445312
542.0,570.217529296875
543.0,568.0108032226562
544.0,565.2638549804688
545.0,562.9238891601562
546.0,562.0574340820312
547.0,562.8020629882812
548.0,564.3240966796875
549.0,565.6221313476562
550.0,566.2424926757812
551.0,566.3020629882812
552.0,566.0498046875
553.0,565.573486328125
554.0,564.8946533203125
555.0,564.1765747070312
556.0,563.7027587890625
557.0,563.6368408203125
558.0,563.8787231445312
559.0,564.2227783203125
560.0,564.6452026367188
561.0,565.3487548828125
562.0,566.4398803710938
563.0,567.5609130859375
564.0,567.943603515625
565.0,566.9550170898438
566.0,564.675537109375
567.0,561.9832153320312
568.0,560.0952758789062
569.0,560.0022583007812
570.0,562.1810302734375
571.0,566.537109375
572.0,572.337646484375
573.0,578.1934814453125
574.0,582.4561767578125
575.0,584.1258544921875
576.0,583.6753540039062
577.0,582.9490966796875
578.0,583.9752197265625
579.0,587.5764770507812
580.0,592.9677124023438
581.0,598.6365966796875
582.0,603.5758666992188
583.0,607.7180786132812
584.0,611.4275512695312
585.0,614.9553833007812
586.0,618.60009765625
587.0,623.1578369140625
588.0,629.669921875
589.0,638.3858642578125
590.0,648.1246337890625
591.0,657.0687255859375
592.0,664.3982543945312
593.0,671.0565185546875
594.0,678.8905029296875
595.0,689.266357421875
596.0,702.6652221679688
597.0,719.316650390625
598.0,739.6554565429688
599.0,763.9666748046875
600.0,792.0235595703125
601.0,823.7363891601562
602.0,860.6712646484375
603.0,907.3724365234376
604.0,971.5628051757812
605.0,1062.9173583984375
606.0,1191.184814453125
607.0,1366.5360107421875
608.0,1606.0625
609.0,1945.35595703125
610.0,2442.7265625
611.0,3157.168701171875
612.0,4095.283203125
613.0,5154.66796875
614.0,6113.94580078125
615.0,6701.8740234375
616.0,6721.771484375
617.0,6155.91357421875
618.0,5177.951171875
619.0,4063.97021484375
620.0,3062.877197265625
621.0,2307.3994140625
622.0,1806.3233642578125
623.0,1497.1202392578125
624.0,1306.864990234375
625.0,1184.46875
626.0,1102.1109619140625
627.0,1044.5335693359375
628.0,1001.9080810546876
629.0,968.7245483398438
630.0,943.72021484375
631.0,927.813232421875
632.0,921.4149169921876
633.0,923.4574584960938
634.0,932.4113159179688
635.0,947.8220825195312
636.0,971.0687255859376
637.0,1005.1810302734376
638.0,1054.2470703125
639.0,1122.941650390625
640.0,1216.625244140625
641.0,1342.5570068359375
642.0,1512.4046630859375
643.0,1744.6002197265625
644.0,2062.76953125
645.0,2486.07763671875
646.0,3011.52099609375
647.0,3595.9970703125
648.0,4151.5859375
649.0,4564.14111328125
650.0,4732.130859375
651.0,4607.77587890625
652.0,4217.96826171875
653.0,3653.02880859375
654.0,3030.100830078125
655.0,2451.534912109375
656.0,1978.291015625
657.0,1626.3768310546875
658.0,1380.6236572265625
659.0,1213.577392578125
660.0,1099.52197265625
661.0,1020.0917358398438
662.0,963.5108032226562
663.0,921.7171630859376
664.0,888.65625
665.0,860.4342041015625
666.0,835.8746948242188
667.0,815.8478393554688
668.0,801.363037109375
669.0,791.9893798828125
670.0,785.96435546875
671.0,781.6215209960938
672.0,778.489990234375
673.0,776.98681640625
674.0,777.261962890625
675.0,778.567138671875
676.0,779.7847290039062
677.0,780.5057373046875
678.0,781.6249389648438
679.0,784.986572265625
680.0,792.3507690429688
681.0,804.2710571289062
682.0,819.47119140625
683.0,835.182373046875
684.0,848.4713134765625
685.0,857.826171875
686.0,863.8003540039062
687.0,868.0850830078125
688.0,871.7534790039062
689.0,874.2421264648438
690.0,873.919189453125
691.0,869.4970703125
692.0,860.8038330078125
693.0,848.3367309570312
694.0,832.4801025390625
695.0,813.532958984375
696.0,792.4863891601562
697.0,771.3807983398438
698.0,752.4718627929688
699.0,736.8504638671875
700.0,723.8615112304688
701.0,711.8426513671875
702.0,699.4065551757812
703.0,686.1958618164062
704.0,672.8343505859375
705.0,660.5121459960938
706.0,650.5150756835938
707.0,643.6323852539062
708.0,639.55029296875
709.0,636.8156127929688
710.0,633.7661743164062
711.0,629.832275390625
712.0,625.947509765625
713.0,623.5037231445312
714.0,622.7921752929688
715.0,622.5115356445312
716.0,620.8861694335938
717.0,617.2753295898438
718.0,612.6608276367188
719.0,608.5982055664062
720.0,605.7913208007812
721.0,603.7326049804688
722.0,601.6217651367188
723.0,599.4462890625
724.0,598.08837890625
725.0,598.4840698242188
726.0,600.826416015625
727.0,604.56298828125
728.0,608.955078125
729.0,613.4755859375
730.0,617.8036499023438
731.0,621.8236694335938
732.0,625.9320068359375
733.0,631.2977905273438
734.0,639.5144653320312
735.0,651.7100830078125
736.0,667.8920288085938
