Benzyl bromide
cm^-1,Intensity
150.0,7828.9443359375
151.0,7474.4228515625
152.0,7130.83740234375
153.0,6801.34375
154.0,6488.48046875
155.0,6193.62939453125
156.0,5917.2451171875
157.0,5659.30712890625
158.0,5419.853515625
159.0,5199.40380859375
160.0,4998.7724609375
161.0,4817.96728515625
162.0,4654.99951171875
163.0,4506.08251953125
164.0,4367.85693359375
165.0,4240.13818359375
166.0,4126.62841796875
167.0,4032.2158203125
168.0,3958.417724609375
169.0,3900.17919921875
170.0,3846.567626953125
171.0,3785.075927734375
172.0,3707.034912109375
173.0,3611.15234375
174.0,3503.453125
175.0,3393.898193359375
176.0,3291.4365234375
177.0,3200.17578125
178.0,3118.674560546875
179.0,3042.6484375
180.0,2969.0263671875
181.0,2898.41064453125
182.0,2834.24853515625
183.0,2779.71240234375
184.0,2735.054443359375
185.0,2697.537841796875
186.0,2663.6982421875
187.0,2631.7392578125
188.0,2602.125
189.0,2576.2158203125
190.0,2554.4853515625
191.0,2535.8525390625
192.0,2518.451416015625
193.0,2500.88671875
194.0,2482.90380859375
195.0,2465.129150390625
196.0,2448.388671875
197.0,2433.27490234375
198.0,2420.20703125
199.0,2409.7021484375
200.0,2402.44384765625
201.0,2399.021484375
202.0,2399.608154296875
203.0,2403.907958984375
204.0,2411.426025390625
205.0,2421.747314453125
206.0,2434.533447265625
207.0,2449.3408203125
208.0,2465.70947265625
209.0,2483.7373046875
210.0,2504.674072265625
211.0,2530.693359375
212.0,2563.61669921875
213.0,2603.4765625
214.0,2648.358642578125
215.0,2696.010498046875
216.0,2746.088623046875
217.0,2801.134521484375
218.0,2865.418212890625
219.0,2942.73974609375
220.0,3035.2509765625
221.0,3144.549560546875
222.0,3274.442626953125
223.0,3433.77197265625
224.0,3637.948974609375
225.0,3909.085693359375
226.0,4275.41748046875
227.0,4770.81689453125
228.0,5434.595703125
229.0,6310.21875
230.0,7439.44189453125
231.0,8847.869140625
232.0,10521.1669921875
233.0,12379.0
234.0,14262.1337890625
235.0,15947.3916015625
236.0,17195.0
237.0,17813.994140625
238.0,17718.08203125
239.0,16947.8828125
240.0,15650.3486328125
241.0,14029.2939453125
242.0,12290.640625
243.0,10602.4091796875
244.0,9077.3896484375
245.0,7773.7685546875
246.0,6705.61669921875
247.0,5856.806640625
248.0,5194.7666015625
249.0,4682.2138671875
250.0,4284.97021484375
251.0,3975.1279296875
252.0,3730.918701171875
253.0,3535.591552734375
254.0,3376.763671875
255.0,3246.00732421875
256.0,3137.865234375
257.0,3048.462158203125
258.0,2974.76513671875
259.0,2914.912353515625
260.0,2868.60107421875
261.0,2836.200927734375
262.0,2816.767822265625
263.0,2806.841796875
264.0,2801.73486328125
265.0,2798.707275390625
266.0,2799.521240234375
267.0,2810.114013671875
268.0,2837.590087890625
269.0,2886.545654296875
270.0,2956.60302734375
271.0,3041.572998046875
272.0,3129.8330078125
273.0,3206.10302734375
274.0,3255.229248046875
275.0,3267.4794921875
276.0,3243.069580078125
277.0,3192.839111328125
278.0,3134.007080078125
279.0,3083.045654296875
280.0,3049.496337890625
281.0,3033.940185546875
282.0,3030.52001953125
283.0,3032.021240234375
284.0,3034.376708984375
285.0,3038.124267578125
286.0,3046.378173828125
287.0,3061.027587890625
288.0,3080.1923828125
289.0,3098.919921875
290.0,3112.523681640625
291.0,3119.704345703125
292.0,3122.85498046875
293.0,3125.629150390625
294.0,3130.197509765625
295.0,3136.593994140625
296.0,3144.113037109375
297.0,3152.796875
298.0,3163.363525390625
299.0,3175.95751953125
300.0,3189.351806640625
301.0,3201.573486328125
302.0,3211.352294921875
303.0,3219.104248046875
304.0,3226.8212890625
305.0,3237.12060546875
306.0,3252.043212890625
307.0,3272.034912109375
308.0,3295.56298828125
309.0,3319.80908203125
310.0,3342.236083984375
311.0,3361.95703125
312.0,3379.66943359375
313.0,3396.18115234375
314.0,3411.0048828125
315.0,3422.5
316.0,3429.419677734375
317.0,3432.155029296875
318.0,3432.313720703125
319.0,3431.0283203125
320.0,3427.661865234375
321.0,3419.94384765625
322.0,3405.055419921875
323.0,3380.531005859375
324.0,3344.59619140625
325.0,3296.46044921875
326.0,3236.904296875
327.0,3168.6142578125
328.0,3095.521484375
329.0,3021.3037109375
330.0,2948.126953125
331.0,2876.56591796875
332.0,2806.505615234375
333.0,2738.12646484375
334.0,2672.350341796875
335.0,2610.824462890625
336.0,2555.68212890625
337.0,2508.969970703125
338.0,2471.611328125
339.0,2442.4189453125
340.0,2418.1494140625
341.0,2395.0654296875
342.0,2371.121337890625
343.0,2347.085693359375
344.0,2325.655517578125
345.0,2309.21240234375
346.0,2298.02099609375
347.0,2290.180908203125
348.0,2283.1845703125
349.0,2275.70166015625
