Butyl Acetate
cm^-1,Intensity
150.0,15586.478515625
151.0,15466.42578125
152.0,15365.6181640625
153.0,15277.5205078125
154.0,15191.9208984375
155.0,15098.595703125
156.0,14990.6806640625
157.0,14868.03125
158.0,14739.0771484375
159.0,14618.3203125
160.0,14518.6337890625
161.0,14442.705078125
162.0,14380.58203125
163.0,14316.5234375
164.0,14240.654296875
165.0,14156.068359375
166.0,14075.525390625
167.0,14010.3427734375
168.0,13960.8759765625
169.0,13916.0693359375
170.0,13862.01953125
171.0,13791.9609375
172.0,13710.126953125
173.0,13627.5791015625
174.0,13554.876953125
175.0,13497.552734375
176.0,13456.427734375
177.0,13429.935546875
178.0,13414.853515625
179.0,13405.037109375
180.0,13391.0751953125
181.0,13363.2734375
182.0,13316.88671875
183.0,13255.5078125
184.0,13189.638671875
185.0,13131.1240234375
186.0,13087.3828125
187.0,13058.935546875
188.0,13041.0029296875
189.0,13027.2666015625
190.0,13013.1904296875
191.0,12997.3994140625
192.0,12980.931640625
193.0,12965.349609375
194.0,12951.15625
195.0,12937.7060546875
196.0,12924.5712890625
197.0,12912.96484375
198.0,12905.58984375
199.0,12904.7822265625
200.0,12910.5498046875
201.0,12920.263671875
202.0,12930.056640625
203.0,12936.4892578125
204.0,12937.302734375
205.0,12931.6796875
206.0,12920.9453125
207.0,12909.3486328125
208.0,12903.2275390625
209.0,12907.8515625
210.0,12923.88671875
211.0,12946.7919921875
212.0,12970.09375
213.0,12989.830078125
214.0,13006.0830078125
215.0,13020.599609375
216.0,13033.4892578125
217.0,13042.81640625
218.0,13047.4521484375
219.0,13049.8271484375
220.0,13055.125
221.0,13067.189453125
222.0,13084.857421875
223.0,13102.228515625
224.0,13112.8740234375
225.0,13114.625
226.0,13111.349609375
227.0,13110.396484375
228.0,13117.58203125
229.0,13132.962890625
230.0,13150.2978515625
231.0,13160.73828125
232.0,13158.5654296875
233.0,13145.140625
234.0,13128.0888671875
235.0,13116.24609375
236.0,13114.021484375
237.0,13119.3974609375
238.0,13126.6494140625
239.0,13131.2353515625
240.0,13132.8974609375
241.0,13135.1220703125
242.0,13142.11328125
243.0,13155.966796875
244.0,13175.8388671875
245.0,13199.0205078125
246.0,13222.7939453125
247.0,13245.8603515625
248.0,13268.73046875
249.0,13293.0
250.0,13319.962890625
251.0,13349.49609375
252.0,13380.0517578125
253.0,13409.880859375
254.0,13438.5
255.0,13467.126953125
256.0,13497.484375
257.0,13529.88671875
258.0,13562.314453125
259.0,13591.5361328125
260.0,13615.576171875
261.0,13635.3544921875
262.0,13653.8447265625
263.0,13673.30859375
264.0,13693.2744140625
265.0,13711.40234375
266.0,13726.5009765625
267.0,13740.41015625
268.0,13756.337890625
269.0,13775.0390625
270.0,13793.0419921875
271.0,13805.34375
272.0,13810.2138671875
273.0,13811.0263671875
274.0,13812.7861328125
275.0,13816.8310546875
276.0,13819.36328125
277.0,13815.8115234375
278.0,13806.75
279.0,13799.50390625
280.0,13803.7021484375
281.0,13824.9169921875
282.0,13861.6943359375
283.0,13907.5400390625
284.0,13955.18359375
285.0,13999.78515625
286.0,14040.1787109375
287.0,14078.9365234375
288.0,14121.62890625
289.0,14174.87890625
290.0,14243.623046875
291.0,14329.5009765625
292.0,14431.802734375
293.0,14549.9033203125
294.0,14684.521484375
295.0,14836.6044921875
296.0,15005.74609375
297.0,15190.7333984375
298.0,15392.0595703125
299.0,15613.13671875
300.0,15857.5810546875
301.0,16123.8486328125
302.0,16401.697265625
303.0,16673.443359375
304.0,16918.759765625
305.0,17119.15234375
306.0,17259.841796875
307.0,17330.3046875
308.0,17325.876953125
309.0,17250.349609375
310.0,17116.75
311.0,16943.85546875
312.0,16749.82421875
313.0,16547.578125
