Cyclohexane
cm^-1,Intensity
150.0,213.54010009765625
151.0,213.00997924804688
152.0,215.34457397460935
153.0,219.4477081298828
154.0,223.280517578125
155.0,224.91470336914065
156.0,223.47691345214844
157.0,219.54405212402344
158.0,214.78582763671875
159.0,211.04913330078125
160.0,209.3714141845703
161.0,209.52349853515625
162.0,210.3285980224609
163.0,210.5134735107422
164.0,209.5088806152344
165.0,207.7275390625
166.0,206.22596740722656
167.0,205.9987030029297
168.0,207.32286071777344
169.0,209.5153045654297
170.0,211.2906036376953
171.0,211.53282165527344
172.0,210.00059509277344
173.0,207.446533203125
174.0,205.07415771484372
175.0,203.76296997070312
176.0,203.65577697753903
177.0,204.31863403320312
178.0,205.18084716796875
179.0,205.8334808349609
180.0,206.0612335205078
181.0,205.80625915527344
182.0,205.23492431640625
183.0,204.8069610595703
184.0,205.12619018554688
185.0,206.54905700683597
186.0,208.8429107666016
187.0,211.21299743652344
188.0,212.74398803710935
189.0,212.9382781982422
190.0,211.96267700195312
191.0,210.4469146728516
192.0,209.0307464599609
193.0,208.0228729248047
194.0,207.3936462402344
195.0,207.0204620361328
196.0,206.89486694335935
197.0,207.0915069580078
198.0,207.57411193847656
199.0,208.099853515625
200.0,208.3656005859375
201.0,208.26182556152344
202.0,207.96534729003903
203.0,207.77883911132807
204.0,207.8888092041016
205.0,208.2748107910156
206.0,208.79307556152344
207.0,209.2721099853516
208.0,209.5081024169922
209.0,209.24945068359372
210.0,208.3125915527344
211.0,206.78518676757807
212.0,205.09405517578125
213.0,203.79737854003903
214.0,203.2451629638672
215.0,203.40707397460935
216.0,203.9979705810547
217.0,204.7405548095703
218.0,205.5018615722656
219.0,206.23426818847656
220.0,206.8711853027344
221.0,207.3318328857422
222.0,207.60073852539065
223.0,207.7323455810547
224.0,207.73423767089844
225.0,207.4658966064453
226.0,206.7100830078125
227.0,205.38897705078125
228.0,203.7162933349609
229.0,202.1199951171875
230.0,200.9932861328125
231.0,200.5050048828125
232.0,200.6192321777344
233.0,201.2530670166016
234.0,202.364501953125
235.0,203.8731842041016
