Dichloromethane
cm^-1,Intensity
150.0,237.7249298095703
151.0,237.69273376464844
152.0,238.85482788085935
153.0,240.61077880859372
154.0,241.72003173828125
155.0,241.1683349609375
156.0,238.79153442382807
157.0,235.27764892578125
158.0,231.63497924804688
159.0,228.58367919921875
160.0,226.29307556152344
161.0,224.57110595703125
162.0,223.22003173828125
163.0,222.19956970214844
164.0,221.4899444580078
165.0,220.8988037109375
166.0,220.1056365966797
167.0,218.95584106445312
168.0,217.69558715820312
169.0,216.8619842529297
170.0,216.868896484375
171.0,217.63804626464844
172.0,218.5738220214844
173.0,218.89788818359372
174.0,218.09288024902344
175.0,216.2064971923828
176.0,213.87921142578125
177.0,212.0882873535156
178.0,211.67919921875
179.0,212.87538146972656
180.0,215.0622711181641
181.0,217.0441131591797
182.0,217.6875915527344
183.0,216.5409698486328
184.0,214.03048706054688
185.0,211.1295318603516
186.0,208.77980041503903
187.0,207.44827270507807
188.0,207.03314208984372
189.0,207.07701110839844
190.0,207.09706115722656
191.0,206.84994506835935
192.0,206.4037933349609
193.0,205.99761962890625
194.0,205.79298400878903
195.0,205.7320709228516
196.0,205.6532745361328
197.0,205.58518981933597
198.0,205.91314697265625
199.0,207.1665954589844
200.0,209.5119171142578
201.0,212.378662109375
202.0,214.6168212890625
203.0,215.1558074951172
204.0,213.6861724853516
205.0,210.8210601806641
206.0,207.63465881347656
207.0,204.9671936035156
208.0,203.05258178710935
209.0,201.6720123291016
210.0,200.58804321289065
211.0,199.822021484375
212.0,199.5759735107422
213.0,199.95376586914065
214.0,200.7946929931641
215.0,201.77224731445312
216.0,202.64944458007807
217.0,203.4541778564453
218.0,204.4325408935547
219.0,205.82798767089844
220.0,207.65142822265625
221.0,209.59524536132807
222.0,211.13232421875
223.0,211.7456970214844
224.0,211.18148803710935
225.0,209.6269378662109
226.0,207.73214721679688
227.0,206.41526794433597
228.0,206.46832275390625
229.0,208.10726928710935
230.0,210.7543487548828
231.0,213.28880310058597
232.0,214.7154998779297
233.0,214.83128356933597
234.0,214.3523712158203
235.0,214.33657836914065
236.0,215.28939819335935
237.0,216.67257690429688
238.0,217.22100830078125
239.0,215.8535614013672
240.0,212.4927673339844
241.0,208.22547912597656
242.0,204.74708557128903
243.0,203.4813995361328
244.0,204.90130615234372
245.0,208.3581085205078
246.0,212.46844482421875
247.0,215.8401641845703
248.0,217.74737548828125
249.0,218.3621368408203
250.0,218.39649963378903
251.0,218.4625244140625
