Diethyl Malonate
cm^-1,Intensity
150.0,16884.455078125
151.0,16544.734375
152.0,16223.59375
153.0,15919.75390625
154.0,15631.3720703125
155.0,15355.6455078125
156.0,15089.25390625
157.0,14830.01171875
158.0,14578.166015625
159.0,14335.548828125
160.0,14102.8134765625
161.0,13877.2421875
162.0,13653.4208984375
163.0,13426.615234375
164.0,13196.1337890625
165.0,12966.0068359375
166.0,12742.5146484375
167.0,12530.5078125
168.0,12331.041015625
169.0,12141.572265625
170.0,11958.2646484375
171.0,11778.7578125
172.0,11603.7373046875
173.0,11436.26171875
174.0,11279.220703125
175.0,11132.625
176.0,10993.05078125
177.0,10856.240234375
178.0,10721.373046875
179.0,10593.4501953125
180.0,10481.111328125
181.0,10390.6142578125
182.0,10320.3896484375
183.0,10260.935546875
184.0,10200.859375
185.0,10134.9267578125
186.0,10067.7958984375
187.0,10010.5849609375
188.0,9972.9384765625
189.0,9956.97265625
190.0,9957.357421875
191.0,9966.818359375
192.0,9982.0380859375
193.0,10005.365234375
194.0,10041.447265625
195.0,10091.8359375
196.0,10151.771484375
197.0,10211.5380859375
198.0,10261.646484375
199.0,10298.4423828125
200.0,10326.39453125
201.0,10355.0078125
202.0,10392.1962890625
203.0,10438.5966796875
204.0,10487.2197265625
205.0,10528.7021484375
206.0,10557.9755859375
207.0,10576.830078125
208.0,10590.4619140625
209.0,10601.41796875
210.0,10606.5673828125
211.0,10599.9267578125
212.0,10578.6455078125
213.0,10546.671875
214.0,10512.4521484375
215.0,10482.453125
216.0,10455.7353515625
217.0,10424.27734375
218.0,10378.80078125
219.0,10315.560546875
220.0,10238.61328125
221.0,10155.9482421875
222.0,10072.7978515625
223.0,9987.6875
224.0,9894.330078125
225.0,9787.4931640625
226.0,9667.9375
227.0,9542.515625
228.0,9419.7744140625
229.0,9304.6328125
230.0,9196.0126953125
231.0,9088.5703125
232.0,8976.904296875
233.0,8859.3447265625
234.0,8738.998046875
235.0,8621.568359375
236.0,8511.3974609375
237.0,8408.5771484375
238.0,8309.3916015625
239.0,8209.9716796875
240.0,8110.13134765625
241.0,8013.95166015625
242.0,7926.41552734375
243.0,7849.10498046875
244.0,7779.00634765625
245.0,7711.50048828125
246.0,7644.66650390625
247.0,7580.81787109375
248.0,7524.10546875
249.0,7476.6943359375
250.0,7437.10546875
251.0,7401.78271484375
252.0,7367.99853515625
253.0,7335.41455078125
254.0,7305.43896484375
255.0,7279.5751953125
256.0,7258.39111328125
257.0,7241.69091796875
258.0,7229.27734375
259.0,7221.4462890625
260.0,7218.7919921875
261.0,7221.52978515625
262.0,7228.92724609375
263.0,7239.48974609375
264.0,7252.03515625
265.0,7266.978515625
266.0,7286.65625
267.0,7314.13818359375
268.0,7351.36572265625
269.0,7398.2197265625
270.0,7453.36767578125
271.0,7515.89306640625
272.0,7585.93701171875
273.0,7663.62890625
274.0,7747.6083984375
275.0,7835.0205078125
276.0,7923.37451171875
277.0,8012.51953125
278.0,8104.67626953125
279.0,8202.3427734375
280.0,8305.9697265625
281.0,8413.4462890625
282.0,8521.404296875
283.0,8626.666015625
284.0,8726.373046875
285.0,8817.3076171875
286.0,8895.99609375
287.0,8960.2109375
288.0,9010.46484375
289.0,9049.66015625
290.0,9080.7470703125
291.0,9104.5654296875
292.0,9120.064453125
293.0,9126.8212890625
294.0,9127.4375
295.0,9127.4287109375
296.0,9132.7138671875
297.0,9146.9267578125
298.0,9170.7138671875
299.0,9203.0498046875
300.0,9243.0029296875
301.0,9290.5283203125
302.0,9346.1796875
303.0,9410.4052734375
304.0,9482.85546875
305.0,9561.8017578125
306.0,9643.896484375
307.0,9724.78515625
308.0,9800.4921875
309.0,9868.5478515625
310.0,9927.900390625
311.0,9978.0498046875
312.0,10019.0595703125
313.0,10053.2587890625
314.0,10087.07421875
315.0,10130.28125
316.0,10192.021484375
317.0,10276.572265625
318.0,10382.9912109375
319.0,10509.7529296875
320.0,10660.7236328125
321.0,10847.51171875
322.0,11086.4462890625
323.0,11393.2568359375
324.0,11779.8916015625
325.0,12254.8193359375
326.0,12824.5146484375
327.0,13493.1982421875
328.0,14260.6396484375
329.0,15119.9716796875
330.0,16056.84765625
331.0,17049.052734375
332.0,18065.361328125
333.0,19064.849609375
334.0,19999.693359375
335.0,20822.857421875
336.0,21497.72265625
337.0,22004.142578125
338.0,22337.517578125
339.0,22502.806640625
340.0,22508.625
341.0,22365.15234375
342.0,22085.3515625
343.0,21686.4140625
344.0,21189.2734375
345.0,20616.775390625
346.0,19992.134765625
347.0,19338.146484375
348.0,18676.056640625
349.0,18023.388671875
350.0,17391.8125
351.0,16786.974609375
352.0,16210.9951171875
353.0,15665.8857421875
354.0,15155.423828125
355.0,14684.564453125
356.0,14257.767578125
357.0,13878.3056640625
358.0,13549.05078125
359.0,13273.404296875
360.0,13054.91796875
361.0,12895.8515625
362.0,12796.32421875
363.0,12755.2509765625
364.0,12772.474609375
365.0,12850.310546875
366.0,12993.3310546875
367.0,13206.4951171875
368.0,13492.3828125
369.0,13848.10546875
370.0,14262.4697265625
371.0,14714.6298828125
372.0,15175.57421875
373.0,15612.2275390625
374.0,15992.0546875
375.0,16285.830078125
376.0,16468.474609375
377.0,16520.060546875
378.0,16428.556640625
379.0,16193.0205078125
380.0,15824.234375
381.0,15341.7255859375
382.0,14769.380859375
383.0,14132.7822265625
384.0,13458.6220703125
385.0,12773.5341796875
386.0,12100.357421875
387.0,11453.533203125
388.0,10837.8564453125
389.0,10252.5205078125
390.0,9697.833984375
391.0,9179.54296875
392.0,8707.69921875
393.0,8291.515625
394.0,7934.19287109375
395.0,7631.13330078125
396.0,7372.3671875
397.0,7147.43017578125
398.0,6949.6962890625
399.0,6777.53857421875
400.0,6631.849609375
401.0,6512.369140625
402.0,6416.25
403.0,6340.1396484375
404.0,6283.2763671875
405.0,6247.8427734375
406.0,6235.8212890625
407.0,6245.63525390625
408.0,6272.48876953125
409.0,6312.21240234375
410.0,6364.41552734375
411.0,6431.24853515625
412.0,6512.77978515625
413.0,6603.7861328125
414.0,6695.34423828125
415.0,6779.98193359375
416.0,6855.93212890625
417.0,6927.2822265625
418.0,7000.61865234375
419.0,7081.0615234375
420.0,7170.130859375
421.0,7265.93505859375
422.0,7364.76416015625
423.0,7462.9052734375
424.0,7557.681640625
425.0,7647.20263671875
426.0,7729.19580078125
427.0,7800.17529296875
428.0,7856.1455078125
429.0,7894.72119140625
430.0,7917.005859375
431.0,7927.37841796875
432.0,7930.857421875
433.0,7929.732421875
434.0,7922.052734375
435.0,7903.32275390625
436.0,7870.44873046875
437.0,7825.08154296875
438.0,7773.6591796875
439.0,7723.86669921875
440.0,7680.0224609375
441.0,7640.896484375
442.0,7601.58837890625
443.0,7557.7685546875
444.0,7508.85986328125
445.0,7457.9267578125
446.0,7408.84326171875
447.0,7363.22216796875
448.0,7319.02197265625
449.0,7271.03515625
450.0,7212.37353515625
