Diethylamine
cm^-1,Intensity
150.0,11967.0
151.0,11849.759765625
152.0,11734.0302734375
153.0,11614.501953125
154.0,11491.541015625
155.0,11370.5537109375
156.0,11257.142578125
157.0,11152.80078125
158.0,11055.2451171875
159.0,10962.6337890625
160.0,10877.0986328125
161.0,10803.5048828125
162.0,10744.1123046875
163.0,10694.0478515625
164.0,10642.3974609375
165.0,10578.8486328125
166.0,10500.8564453125
167.0,10415.5
168.0,10334.572265625
169.0,10266.880859375
170.0,10213.56640625
171.0,10169.244140625
172.0,10126.861328125
173.0,10082.0986328125
174.0,10034.546875
175.0,9986.2705078125
176.0,9939.8330078125
177.0,9897.2294921875
178.0,9859.673828125
179.0,9827.720703125
180.0,9801.6123046875
181.0,9781.7646484375
182.0,9768.767578125
183.0,9762.2119140625
184.0,9758.9306640625
185.0,9752.6689453125
186.0,9736.904296875
187.0,9709.6376953125
188.0,9676.373046875
189.0,9647.6875
190.0,9632.181640625
191.0,9629.7958984375
192.0,9631.240234375
193.0,9624.451171875
194.0,9603.28515625
195.0,9571.5517578125
196.0,9539.384765625
197.0,9515.2783203125
198.0,9500.3125
199.0,9488.7744140625
200.0,9473.6884765625
201.0,9452.21484375
202.0,9426.7822265625
203.0,9402.169921875
204.0,9381.7763671875
205.0,9366.14453125
206.0,9353.9951171875
207.0,9343.943359375
208.0,9335.158203125
209.0,9326.9306640625
210.0,9318.2158203125
211.0,9307.9345703125
212.0,9295.7109375
213.0,9282.2255859375
214.0,9268.7705078125
215.0,9256.3798828125
216.0,9245.2216796875
217.0,9234.6728515625
218.0,9223.9521484375
219.0,9212.9130859375
220.0,9202.486328125
221.0,9194.439453125
222.0,9190.4296875
223.0,9190.787109375
224.0,9193.763671875
225.0,9195.9013671875
226.0,9193.564453125
227.0,9184.8759765625
228.0,9170.8603515625
229.0,9155.0205078125
230.0,9141.5400390625
231.0,9133.30078125
232.0,9130.916015625
233.0,9133.08984375
234.0,9137.58984375
235.0,9141.92578125
236.0,9143.638671875
237.0,9140.8193359375
238.0,9133.1689453125
239.0,9122.8115234375
240.0,9113.6220703125
241.0,9108.9501953125
242.0,9109.4228515625
243.0,9112.8876953125
244.0,9116.8193359375
245.0,9120.955078125
246.0,9127.4853515625
247.0,9138.318359375
248.0,9151.9912109375
249.0,9163.333984375
250.0,9166.6611328125
251.0,9159.873046875
252.0,9146.0595703125
253.0,9131.29296875
254.0,9120.5625
255.0,9115.017578125
256.0,9112.1591796875
257.0,9108.1533203125
258.0,9100.1162109375
259.0,9087.1044921875
260.0,9069.9677734375
261.0,9050.896484375
262.0,9032.939453125
263.0,9019.12109375
264.0,9011.1064453125
265.0,9008.20703125
266.0,9007.7734375
267.0,9007.0478515625
268.0,9005.078125
269.0,9003.103515625
270.0,9003.091796875
271.0,9005.8583984375
272.0,9010.46875
273.0,9015.294921875
274.0,9019.48828125
275.0,9023.4853515625
276.0,9028.34375
277.0,9034.9208984375
278.0,9043.7373046875
279.0,9055.341796875
280.0,9070.3525390625
281.0,9088.794921875
282.0,9109.361328125
283.0,9129.4892578125
284.0,9146.5859375
285.0,9159.771484375
286.0,9170.986328125
287.0,9184.525390625
288.0,9204.80078125
289.0,9233.3759765625
290.0,9267.1630859375
291.0,9299.5419921875
292.0,9324.2421875
293.0,9339.4892578125
294.0,9349.1962890625
295.0,9359.9306640625
296.0,9375.931640625
297.0,9396.037109375
298.0,9414.8232421875
299.0,9426.5830078125
300.0,9428.6826171875
301.0,9421.947265625
302.0,9408.6953125
303.0,9390.943359375
304.0,9370.380859375
305.0,9349.4453125
306.0,9331.515625
307.0,9319.2470703125
308.0,9312.166015625
309.0,9305.890625
310.0,9294.36328125
311.0,9274.03125
312.0,9246.947265625
313.0,9219.9326171875
314.0,9199.923828125
315.0,9188.78125
316.0,9181.966796875
317.0,9172.564453125
318.0,9157.513671875
319.0,9140.6416015625
320.0,9129.5693359375
321.0,9129.201171875
322.0,9137.58984375
323.0,9147.8984375
324.0,9154.267578125
325.0,9155.9580078125
326.0,9156.22265625
327.0,9157.7373046875
328.0,9159.62890625
329.0,9158.8330078125
330.0,9153.9521484375
331.0,9147.4794921875
332.0,9144.5458984375
333.0,9149.8505859375
334.0,9165.4951171875
335.0,9190.62109375
336.0,9221.8818359375
337.0,9254.1220703125
338.0,9281.919921875
339.0,9302.3447265625
340.0,9317.3935546875
341.0,9333.6708984375
342.0,9358.7607421875
343.0,9396.923828125
344.0,9447.3857421875
345.0,9506.0654296875
346.0,9568.5439453125
347.0,9631.8193359375
348.0,9694.6005859375
349.0,9757.4609375
350.0,9823.3173828125
351.0,9897.048828125
352.0,9983.466796875
353.0,10085.0830078125
354.0,10202.2294921875
355.0,10335.8466796875
356.0,10490.07421875
357.0,10671.2314453125
358.0,10883.3251953125
359.0,11123.99609375
360.0,11384.6953125
361.0,11654.9833984375
362.0,11926.89453125
363.0,12195.7353515625
364.0,12457.1591796875
365.0,12703.6298828125
366.0,12923.3056640625
367.0,13101.9990234375
368.0,13226.8486328125
369.0,13289.828125
370.0,13289.8388671875
371.0,13232.619140625
372.0,13128.322265625
373.0,12987.8525390625
374.0,12820.123046875
375.0,12631.8701171875
376.0,12429.625
377.0,12221.388671875
378.0,12015.86328125
379.0,11819.556640625
380.0,11634.302734375
381.0,11457.6826171875
382.0,11286.2353515625
383.0,11119.109375
384.0,10959.5224609375
385.0,10813.2802734375
386.0,10685.806640625
387.0,10579.7333984375
388.0,10494.3076171875
389.0,10426.4775390625
390.0,10372.599609375
391.0,10329.716796875
392.0,10295.7880859375
393.0,10269.1123046875
394.0,10247.794921875
395.0,10230.0615234375
396.0,10215.39453125
397.0,10205.4130859375
398.0,10203.3212890625
399.0,10211.90625
400.0,10231.55859375
401.0,10260.076171875
402.0,10294.623046875
403.0,10334.3544921875
404.0,10381.6123046875
405.0,10440.7275390625
406.0,10515.4765625
407.0,10607.3173828125
408.0,10716.01953125
409.0,10842.4736328125
410.0,10991.6494140625
411.0,11173.568359375
412.0,11401.984375
413.0,11693.0224609375
