Diethylene Glycol
cm^-1,Intensity
150.0,18539.623046875
151.0,18297.677734375
152.0,18052.6640625
153.0,17810.52734375
154.0,17576.087890625
155.0,17349.4609375
156.0,17126.888671875
157.0,16905.3671875
158.0,16686.822265625
159.0,16477.8984375
160.0,16285.466796875
161.0,16111.5673828125
162.0,15951.8603515625
163.0,15798.419921875
164.0,15644.5029296875
165.0,15487.8935546875
166.0,15331.224609375
167.0,15179.6904296875
168.0,15037.73046875
169.0,14906.037109375
170.0,14780.123046875
171.0,14651.4755859375
172.0,14511.5234375
173.0,14356.791015625
174.0,14191.88671875
175.0,14027.7607421875
176.0,13875.63671875
177.0,13740.6953125
178.0,13619.86328125
179.0,13505.142578125
180.0,13389.5478515625
181.0,13271.0791015625
182.0,13152.236328125
183.0,13036.3583984375
184.0,12924.2568359375
185.0,12813.69140625
186.0,12701.56640625
187.0,12586.6572265625
188.0,12470.7119140625
189.0,12357.2607421875
190.0,12249.275390625
191.0,12147.421875
192.0,12050.115234375
193.0,11955.138671875
194.0,11861.4140625
195.0,11769.4052734375
196.0,11679.91796875
197.0,11592.5302734375
198.0,11505.3779296875
199.0,11416.7578125
200.0,11327.197265625
201.0,11239.9560546875
202.0,11159.27734375
203.0,11087.751953125
204.0,11024.982421875
205.0,10968.5380859375
206.0,10916.01953125
207.0,10866.3125
208.0,10819.078125
209.0,10773.4521484375
210.0,10727.5068359375
211.0,10679.1123046875
212.0,10627.2724609375
213.0,10572.6103515625
214.0,10516.54296875
215.0,10459.9892578125
216.0,10402.7998046875
217.0,10344.4599609375
218.0,10285.435546875
219.0,10228.0498046875
220.0,10176.0126953125
221.0,10132.734375
222.0,10099.451171875
223.0,10074.443359375
224.0,10053.9482421875
225.0,10034.080078125
226.0,10012.3916015625
227.0,9988.1103515625
228.0,9961.361328125
229.0,9932.513671875
230.0,9902.326171875
231.0,9872.421875
232.0,9845.06640625
233.0,9821.990234375
234.0,9803.1748046875
235.0,9786.7587890625
236.0,9770.2060546875
237.0,9751.693359375
238.0,9730.5556640625
239.0,9706.6845703125
240.0,9679.7392578125
241.0,9649.0751953125
242.0,9614.4892578125
243.0,9577.10546875
244.0,9539.6416015625
245.0,9505.669921875
246.0,9478.083984375
247.0,9457.4716796875
248.0,9441.4404296875
249.0,9425.6220703125
250.0,9406.1015625
251.0,9381.7744140625
252.0,9354.9482421875
253.0,9329.65625
254.0,9309.0703125
255.0,9294.0966796875
256.0,9284.1142578125
257.0,9278.7939453125
258.0,9279.0185546875
259.0,9285.9599609375
260.0,9299.3466796875
261.0,9316.841796875
262.0,9335.3037109375
263.0,9352.8740234375
264.0,9369.9921875
265.0,9388.587890625
266.0,9410.3935546875
267.0,9436.0009765625
268.0,9465.2333984375
269.0,9497.962890625
270.0,9534.23046875
271.0,9573.5302734375
272.0,9614.1748046875
273.0,9653.5517578125
274.0,9689.1083984375
275.0,9719.265625
276.0,9743.8232421875
277.0,9764.140625
278.0,9783.279296875
279.0,9805.58203125
280.0,9834.9609375
281.0,9872.3076171875
282.0,9913.8544921875
283.0,9952.361328125
284.0,9981.1376953125
285.0,9998.4287109375
286.0,10009.2119140625
287.0,10023.0576171875
288.0,10049.47265625
289.0,10093.6640625
290.0,10155.056640625
291.0,10229.1416015625
292.0,10311.1904296875
293.0,10399.505859375
294.0,10496.30859375
295.0,10605.8251953125
296.0,10731.0458984375
297.0,10871.421875
298.0,11023.021484375
299.0,11180.6748046875
300.0,11340.2578125
301.0,11499.509765625
302.0,11657.3232421875
303.0,11812.69140625
304.0,11964.255859375
305.0,12110.3095703125
306.0,12248.556640625
307.0,12375.521484375
308.0,12486.458984375
309.0,12576.623046875
310.0,12643.4990234375
311.0,12688.4482421875
312.0,12716.28125
313.0,12732.814453125
314.0,12742.1015625
315.0,12745.291015625
316.0,12741.802734375
317.0,12731.7646484375
318.0,12717.9306640625
319.0,12705.9638671875
320.0,12703.3017578125
321.0,12717.7509765625
322.0,12756.7587890625
323.0,12827.455078125
324.0,12936.6845703125
325.0,13090.078125
326.0,13290.025390625
327.0,13533.7744140625
328.0,13813.7177734375
329.0,14120.9228515625
330.0,14450.2900390625
331.0,14803.2470703125
332.0,15184.8447265625
333.0,15596.603515625
334.0,16031.052734375
335.0,16473.642578125
336.0,16911.419921875
337.0,17341.31640625
338.0,17770.357421875
339.0,18207.4140625
340.0,18653.8828125
341.0,19101.400390625
342.0,19537.54296875
343.0,19952.775390625
344.0,20342.033203125
345.0,20700.771484375
346.0,21021.166015625
347.0,21292.6875
348.0,21505.59375
349.0,21652.734375
350.0,21728.140625
351.0,21725.404296875
352.0,21639.1015625
353.0,21468.2265625
354.0,21217.466796875
355.0,20894.39453125
356.0,20505.412109375
357.0,20054.873046875
358.0,19548.099609375
359.0,18994.509765625
360.0,18407.0859375
361.0,17798.658203125
362.0,17179.00390625
363.0,16555.521484375
364.0,15936.1845703125
365.0,15331.19140625
366.0,14751.4775390625
367.0,14205.603515625
368.0,13697.7041015625
369.0,13227.68359375
370.0,12792.802734375
371.0,12389.5
372.0,12015.11328125
373.0,11669.4794921875
374.0,11355.7744140625
375.0,11079.5927734375
376.0,10846.3154296875
377.0,10658.48828125
378.0,10515.2626953125
379.0,10414.3818359375
380.0,10355.001953125
381.0,10338.9736328125
382.0,10369.8359375
383.0,10450.8154296875
384.0,10583.68359375
385.0,10768.7900390625
386.0,11004.853515625
387.0,11287.271484375
388.0,11605.724609375
389.0,11943.501953125
390.0,12279.955078125
391.0,12594.6533203125
392.0,12870.0595703125
393.0,13091.1240234375
394.0,13243.7138671875
395.0,13315.26171875
396.0,13298.662109375
397.0,13196.3076171875
398.0,13020.0771484375
399.0,12786.296875
400.0,12509.3486328125
401.0,12198.892578125
402.0,11862.0712890625
403.0,11507.5478515625
404.0,11146.908203125
405.0,10792.1298828125
406.0,10451.8740234375
407.0,10130.2001953125
408.0,9828.68359375
409.0,9549.466796875
410.0,9296.1611328125
411.0,9071.95703125
412.0,8877.134765625
413.0,8708.7978515625
414.0,8563.3349609375
415.0,8439.4697265625
416.0,8339.13671875
417.0,8265.455078125
418.0,8219.7646484375
419.0,8200.306640625
420.0,8203.439453125
421.0,8225.9453125
422.0,8266.3984375
423.0,8324.95703125
424.0,8402.4443359375
425.0,8499.619140625
426.0,8616.5537109375
