Dimethyl Sulfoxide
cm^-1,Intensity
150.0,226.98922729492188
151.0,227.9027404785156
152.0,230.1392974853516
153.0,232.11441040039065
154.0,232.23809814453125
155.0,229.8253936767578
156.0,225.27951049804688
157.0,219.66970825195312
158.0,214.19259643554688
159.0,209.84866333007807
160.0,207.28749084472656
161.0,206.6708526611328
162.0,207.58204650878903
163.0,209.1728057861328
164.0,210.6114044189453
165.0,211.5629425048828
166.0,212.31642150878903
167.0,213.41168212890625
168.0,215.0800018310547
169.0,216.976318359375
170.0,218.4293975830078
171.0,218.9395751953125
172.0,218.46334838867188
173.0,217.2662353515625
174.0,215.58099365234372
175.0,213.453125
176.0,210.89910888671875
177.0,208.126953125
178.0,205.52847290039065
179.0,203.4434356689453
180.0,201.9842834472656
181.0,201.12550354003903
182.0,200.9385986328125
183.0,201.6544952392578
184.0,203.42605590820312
185.0,206.0073699951172
186.0,208.70774841308597
187.0,210.7265472412109
188.0,211.629150390625
189.0,211.57421875
190.0,211.1203155517578
191.0,210.76153564453125
192.0,210.54736328125
193.0,210.06271362304688
194.0,208.7869415283203
195.0,206.5799865722656
196.0,203.93724060058597
197.0,201.80685424804688
198.0,201.0615692138672
199.0,201.990478515625
200.0,204.14874267578125
201.0,206.64923095703125
202.0,208.6471710205078
203.0,209.6884307861328
204.0,209.7511138916016
205.0,209.0621337890625
206.0,207.8878173828125
207.0,206.4348602294922
208.0,204.8785095214844
209.0,203.44869995117188
210.0,202.48355102539065
211.0,202.36756896972656
212.0,203.33676147460935
213.0,205.24366760253903
214.0,207.47918701171875
215.0,209.19137573242188
216.0,209.73085021972656
217.0,209.03244018554688
218.0,207.6405029296875
219.0,206.35333251953125
220.0,205.75027465820312
221.0,205.94613647460935
222.0,206.67919921875
223.0,207.565185546875
224.0,208.26531982421875
225.0,208.50010681152344
226.0,208.04269409179688
227.0,206.8258514404297
228.0,205.0995941162109
229.0,203.4354705810547
230.0,202.4628143310547
231.0,202.4929656982422
232.0,203.32521057128903
233.0,204.40740966796875
234.0,205.2255859375
235.0,205.62496948242188
236.0,205.8505859375
237.0,206.3193359375
238.0,207.30479431152344
239.0,208.71469116210935
240.0,210.0793609619141
241.0,210.778564453125
242.0,210.4327850341797
243.0,209.2377014160156
244.0,207.9552154541016
245.0,207.4633026123047
246.0,208.11822509765625
247.0,209.44081115722656
248.0,210.4320831298828
249.0,210.32298278808597
250.0,209.1570587158203
251.0,207.7379150390625
252.0,207.0160369873047
253.0,207.4325714111328
254.0,208.7162170410156
255.0,210.1817321777344
256.0,211.2141265869141
257.0,211.5790252685547
258.0,211.4469146728516
259.0,211.21974182128903
260.0,211.2832489013672
261.0,211.77554321289065
262.0,212.46441650390625
263.0,212.84169006347656
264.0,212.43235778808597
265.0,211.1289825439453
266.0,209.29249572753903
267.0,207.51876831054688
268.0,206.2577209472656
269.0,205.57595825195312
270.0,205.21224975585935
271.0,204.81727600097656
272.0,204.17462158203125
273.0,203.3057556152344
274.0,202.49185180664065
275.0,202.24310302734372
276.0,203.1480865478516
277.0,205.5439910888672
278.0,209.14002990722656
279.0,212.9021148681641
