Ethanol
cm^-1,Intensity
150.0,8634.6357421875
151.0,8580.8115234375
152.0,8532.6220703125
153.0,8487.0185546875
154.0,8442.0234375
155.0,8396.19140625
156.0,8348.0751953125
157.0,8296.828125
158.0,8243.3857421875
159.0,8190.8154296875
160.0,8143.119140625
161.0,8103.10693359375
162.0,8070.78564453125
163.0,8043.32373046875
164.0,8016.75830078125
165.0,7988.451171875
166.0,7958.853515625
167.0,7931.271484375
168.0,7909.556640625
169.0,7895.1015625
170.0,7885.3447265625
171.0,7875.10888671875
172.0,7859.9599609375
173.0,7839.01513671875
174.0,7814.94873046875
175.0,7791.32470703125
176.0,7769.62060546875
177.0,7748.54833984375
178.0,7726.00927734375
179.0,7701.734375
180.0,7678.1552734375
181.0,7658.90478515625
182.0,7646.333984375
183.0,7640.04443359375
184.0,7637.21923828125
185.0,7634.169921875
186.0,7627.9619140625
187.0,7617.35595703125
188.0,7602.83984375
189.0,7585.9033203125
190.0,7568.0830078125
191.0,7550.48681640625
192.0,7534.2294921875
193.0,7521.24658203125
194.0,7514.2900390625
195.0,7515.3935546875
196.0,7523.71875
197.0,7534.7373046875
198.0,7542.04931640625
199.0,7540.87109375
200.0,7530.6787109375
201.0,7514.939453125
202.0,7498.26904296875
203.0,7483.39599609375
204.0,7470.3056640625
205.0,7457.947265625
206.0,7446.599609375
207.0,7438.5263671875
208.0,7436.1201171875
209.0,7439.169921875
210.0,7443.8720703125
211.0,7444.98095703125
212.0,7439.65087890625
213.0,7429.89111328125
214.0,7421.30712890625
215.0,7418.95947265625
216.0,7423.53662109375
217.0,7430.9296875
218.0,7435.38134765625
219.0,7433.52392578125
220.0,7426.201171875
221.0,7417.0498046875
222.0,7409.5400390625
223.0,7404.908203125
224.0,7402.22607421875
225.0,7399.900390625
226.0,7397.09716796875
227.0,7394.1220703125
228.0,7391.859375
229.0,7390.99560546875
230.0,7391.65185546875
231.0,7393.57373046875
232.0,7396.56103515625
233.0,7400.64453125
234.0,7405.73095703125
235.0,7410.9765625
236.0,7414.63818359375
237.0,7414.99755859375
238.0,7412.01416015625
239.0,7408.40185546875
240.0,7408.7578125
241.0,7416.8095703125
242.0,7432.5859375
243.0,7451.84228515625
244.0,7468.5625
245.0,7478.82275390625
246.0,7483.14013671875
247.0,7485.5029296875
248.0,7490.06201171875
249.0,7498.11865234375
250.0,7507.6044921875
251.0,7515.017578125
252.0,7518.08935546875
253.0,7517.3974609375
254.0,7516.21630859375
255.0,7518.9453125
256.0,7528.77001953125
257.0,7545.51123046875
258.0,7564.92919921875
259.0,7580.50634765625
260.0,7587.2216796875
261.0,7584.82275390625
262.0,7577.92724609375
263.0,7572.552734375
264.0,7571.9775390625
265.0,7575.52734375
266.0,7581.10986328125
267.0,7588.53759765625
268.0,7599.87451171875
269.0,7616.28369140625
270.0,7634.77197265625
271.0,7648.76025390625
272.0,7652.61328125
273.0,7646.27783203125
274.0,7635.6767578125
275.0,7628.48046875
276.0,7628.8203125
277.0,7635.216796875
278.0,7642.7890625
279.0,7647.31201171875
280.0,7647.88134765625
281.0,7646.7568359375
282.0,7647.34033203125
283.0,7651.94921875
284.0,7660.560546875
285.0,7670.890625
286.0,7679.73876953125
287.0,7685.02197265625
288.0,7687.18115234375
289.0,7688.7080078125
290.0,7691.82666015625
291.0,7696.23974609375
292.0,7699.20361328125
293.0,7698.23681640625
294.0,7694.1318359375
295.0,7691.22412109375
296.0,7694.32470703125
297.0,7704.83837890625
298.0,7719.5517578125
299.0,7733.0693359375
300.0,7741.56640625
301.0,7744.646484375
302.0,7744.2275390625
303.0,7742.34423828125
304.0,7740.23779296875
305.0,7739.16259765625
306.0,7741.17822265625
307.0,7748.37255859375
308.0,7760.95947265625
309.0,7776.3056640625
310.0,7790.1826171875
311.0,7799.44482421875
312.0,7803.9833984375
313.0,7806.50390625
314.0,7810.59375
315.0,7818.61865234375
316.0,7830.74853515625
317.0,7845.27734375
318.0,7859.6787109375
319.0,7871.76171875
320.0,7880.4521484375
321.0,7885.908203125
322.0,7888.93701171875
323.0,7890.12841796875
324.0,7889.427734375
325.0,7886.5439453125
326.0,7881.83935546875
327.0,7876.79345703125
328.0,7873.4794921875
329.0,7873.3544921875
330.0,7876.337890625
331.0,7880.97412109375
332.0,7885.62939453125
333.0,7889.880859375
334.0,7895.06640625
335.0,7903.47509765625
336.0,7916.572265625
337.0,7933.392578125
338.0,7950.400390625
339.0,7963.26513671875
340.0,7969.6220703125
341.0,7970.88037109375
342.0,7971.4755859375
343.0,7975.8818359375
344.0,7985.53466796875
345.0,7998.12060546875
346.0,8009.8095703125
347.0,8018.48193359375
348.0,8025.21533203125
349.0,8032.89111328125
350.0,8043.4306640625
351.0,8056.21826171875
352.0,8068.8994140625
353.0,8079.4404296875
354.0,8087.41796875
355.0,8093.7255859375
356.0,8099.58447265625
357.0,8106.08447265625
358.0,8114.31298828125
359.0,8125.1640625
360.0,8138.4150390625
361.0,8152.03369140625
362.0,8162.978515625
363.0,8169.38232421875
364.0,8172.31787109375
365.0,8175.34130859375
366.0,8182.0380859375
367.0,8193.669921875
368.0,8208.9482421875
369.0,8225.7724609375
370.0,8242.869140625
371.0,8259.63671875
372.0,8274.7080078125
373.0,8285.4189453125
374.0,8289.5166015625
375.0,8287.77734375
376.0,8284.5888671875
377.0,8285.0595703125
378.0,8290.8203125
379.0,8298.4990234375
380.0,8302.9228515625
381.0,8302.4501953125
382.0,8301.4365234375
383.0,8307.1494140625
384.0,8323.6220703125
385.0,8347.9326171875
386.0,8372.02734375
387.0,8388.2216796875
388.0,8393.634765625
389.0,8390.72265625
390.0,8384.953125
391.0,8382.3271484375
392.0,8387.87890625
393.0,8404.4013671875
394.0,8430.92578125
395.0,8462.30078125
396.0,8491.3671875
397.0,8512.953125
398.0,8526.7236328125
399.0,8536.5927734375
400.0,8547.4140625
401.0,8561.8779296875
402.0,8579.7099609375
403.0,8598.8212890625
404.0,8616.806640625
405.0,8631.869140625
406.0,8643.416015625
407.0,8652.4443359375
408.0,8661.251953125
409.0,8672.17578125
410.0,8686.3095703125
411.0,8703.6318359375
412.0,8724.712890625
413.0,8752.2490234375
414.0,8790.353515625
415.0,8841.6162109375
416.0,8904.31640625
417.0,8972.5478515625
418.0,9039.5517578125
419.0,9101.783203125
420.0,9160.5546875
421.0,9220.2548828125
422.0,9285.06640625
423.0,9356.94921875
424.0,9435.9208984375
425.0,9521.2666015625
426.0,9611.6611328125
427.0,9703.9619140625
