Ethyl Acetate
cm^-1,Intensity
150.0,8571.736328125
151.0,8346.263671875
152.0,8132.9921875
153.0,7926.6123046875
154.0,7722.73779296875
155.0,7520.515625
156.0,7322.537109375
157.0,7132.91943359375
158.0,6955.3974609375
159.0,6792.1962890625
160.0,6643.296875
161.0,6505.919921875
162.0,6374.93310546875
163.0,6244.9853515625
164.0,6113.57275390625
165.0,5982.84521484375
166.0,5858.275390625
167.0,5744.7412109375
168.0,5642.8818359375
169.0,5548.56396484375
170.0,5455.884765625
171.0,5361.25439453125
172.0,5265.5029296875
173.0,5172.69189453125
174.0,5087.06103515625
175.0,5010.53515625
176.0,4942.3017578125
177.0,4879.98486328125
178.0,4821.099609375
179.0,4763.90771484375
180.0,4707.7666015625
181.0,4653.3505859375
182.0,4602.67236328125
183.0,4558.5361328125
184.0,4523.35400390625
185.0,4497.91015625
186.0,4480.81787109375
187.0,4468.97119140625
188.0,4458.7734375
189.0,4447.62890625
190.0,4435.1865234375
191.0,4423.71435546875
192.0,4417.14794921875
193.0,4419.03466796875
194.0,4430.55322265625
195.0,4450.0712890625
196.0,4474.55517578125
197.0,4501.5927734375
198.0,4530.17333984375
199.0,4559.7275390625
200.0,4588.6826171875
201.0,4614.30517578125
202.0,4634.05615234375
203.0,4646.99755859375
204.0,4653.62890625
205.0,4654.29541015625
206.0,4647.8369140625
207.0,4631.970703125
208.0,4605.05615234375
209.0,4567.6083984375
210.0,4522.28369140625
211.0,4472.638671875
212.0,4421.84375
213.0,4372.0400390625
214.0,4324.068359375
215.0,4277.138671875
216.0,4228.7548828125
217.0,4175.6611328125
218.0,4115.77734375
219.0,4049.9052734375
220.0,3981.639404296875
221.0,3915.31982421875
222.0,3853.49755859375
223.0,3795.894775390625
224.0,3740.46728515625
225.0,3685.425537109375
226.0,3630.515380859375
227.0,3576.848876953125
228.0,3525.964111328125
229.0,3479.116455078125
230.0,3437.05712890625
231.0,3399.787841796875
232.0,3366.0078125
233.0,3332.868896484375
234.0,3296.94873046875
235.0,3256.42138671875
236.0,3212.9443359375
237.0,3171.41064453125
238.0,3137.18896484375
239.0,3112.56787109375
240.0,3095.138671875
241.0,3079.393798828125
242.0,3060.4013671875
243.0,3036.76220703125
244.0,3010.842041015625
245.0,2986.49609375
246.0,2966.277099609375
247.0,2950.151123046875
248.0,2936.1962890625
249.0,2922.32666015625
250.0,2907.5927734375
251.0,2892.302978515625
252.0,2877.1484375
253.0,2862.176025390625
254.0,2846.476318359375
255.0,2828.894287109375
256.0,2809.240966796875
257.0,2788.906982421875
258.0,2770.147705078125
259.0,2754.408447265625
260.0,2741.102783203125
261.0,2728.0068359375
262.0,2713.09716796875
263.0,2696.302734375
264.0,2679.7060546875
265.0,2666.121826171875
266.0,2657.298583984375
267.0,2653.112060546875
268.0,2651.99169921875
269.0,2651.85791015625
270.0,2650.7802734375
271.0,2647.259033203125
272.0,2640.46875
273.0,2630.580078125
274.0,2618.845947265625
275.0,2607.118896484375
276.0,2596.958984375
277.0,2588.97900390625
278.0,2582.978759765625
279.0,2578.802490234375
280.0,2577.16552734375
281.0,2579.573974609375
282.0,2587.136962890625
283.0,2599.1044921875
284.0,2612.54345703125
285.0,2623.869384765625
286.0,2631.408447265625
287.0,2636.90576171875
288.0,2644.450439453125
289.0,2657.365234375
290.0,2675.537841796875
291.0,2695.552978515625
292.0,2713.578125
293.0,2728.59765625
294.0,2743.220458984375
295.0,2761.57373046875
296.0,2786.301025390625
297.0,2817.264404296875
298.0,2852.719970703125
299.0,2891.38525390625
300.0,2933.30517578125
301.0,2978.906005859375
302.0,3027.60791015625
303.0,3077.692138671875
304.0,3127.682861328125
305.0,3177.75244140625
306.0,3229.50537109375
307.0,3284.026123046875
308.0,3339.858642578125
309.0,3392.78564453125
310.0,3437.654052734375
311.0,3470.694580078125
312.0,3490.421142578125
313.0,3496.7568359375
314.0,3489.73876953125
315.0,3469.36474609375
316.0,3436.648681640625
317.0,3394.416259765625
318.0,3346.5322265625
319.0,3295.926513671875
320.0,3243.220947265625
321.0,3187.25927734375
322.0,3127.044189453125
323.0,3063.253662109375
324.0,2998.16064453125
325.0,2934.4453125
326.0,2874.304931640625
327.0,2819.518310546875
328.0,2771.7919921875
329.0,2732.4482421875
330.0,2701.506103515625
331.0,2677.193115234375
332.0,2656.639892578125
333.0,2637.373291015625
334.0,2618.4619140625
335.0,2600.62158203125
336.0,2585.505859375
337.0,2574.801513671875
338.0,2569.477783203125
339.0,2569.259521484375
340.0,2572.5419921875
341.0,2577.10498046875
342.0,2581.47998046875
343.0,2586.101806640625
344.0,2593.26220703125
345.0,2605.743408203125
346.0,2625.113037109375
347.0,2650.838623046875
348.0,2680.705078125
349.0,2712.138916015625
350.0,2743.7138671875
351.0,2776.2158203125
352.0,2812.73828125
353.0,2857.54638671875
354.0,2914.13134765625
355.0,2983.62646484375
356.0,3064.843017578125
357.0,3156.0478515625
358.0,3257.29150390625
359.0,3371.80517578125
360.0,3505.869140625
361.0,3667.725830078125
362.0,3866.42626953125
363.0,4111.2021484375
364.0,4411.759765625
365.0,4779.8330078125
366.0,5231.923828125
367.0,5792.27734375
368.0,6494.56884765625
369.0,7381.10498046875
370.0,8498.5771484375
371.0,9888.693359375
372.0,11571.7763671875
373.0,13524.0625
374.0,15655.4990234375
375.0,17801.0
376.0,19736.974609375
377.0,21224.2578125
378.0,22065.291015625
379.0,22154.404296875
380.0,21502.017578125
381.0,20225.818359375
382.0,18514.609375
383.0,16579.4375
384.0,14609.376953125
385.0,12744.1611328125
386.0,11067.3095703125
387.0,9614.9267578125
388.0,8390.5087890625
389.0,7377.9853515625
390.0,6550.70947265625
391.0,5877.88232421875
392.0,5329.74169921875
393.0,4880.92626953125
394.0,4511.10986328125
395.0,4203.80615234375
396.0,3945.48876953125
397.0,3725.8193359375
398.0,3537.677490234375
399.0,3375.763427734375
400.0,3234.800537109375
401.0,3109.506591796875
402.0,2996.6181640625
403.0,2896.478515625
404.0,2811.66845703125
405.0,2743.406982421875
406.0,2689.05078125
407.0,2643.068115234375
408.0,2600.3125
409.0,2558.41455078125
410.0,2517.60009765625
411.0,2478.93505859375
412.0,2442.955810546875
413.0,2409.404296875
414.0,2377.540283203125
415.0,2346.608154296875
416.0,2316.52490234375
417.0,2288.516845703125
418.0,2264.83203125
419.0,2247.184326171875
420.0,2235.118408203125
421.0,2226.04345703125
422.0,2217.157470703125
423.0,2207.5302734375
424.0,2198.4873046875
425.0,2192.354736328125
426.0,2191.163330078125
427.0,2196.33203125
428.0,2208.765380859375
429.0,2228.455810546875
430.0,2253.97509765625
431.0,2283.08203125
432.0,2314.586181640625
433.0,2349.698974609375
434.0,2391.041259765625
435.0,2439.681640625
436.0,2492.70263671875
437.0,2543.516357421875
438.0,2584.62890625
439.0,2610.568115234375
440.0,2619.054443359375
441.0,2610.366943359375
442.0,2586.24658203125
443.0,2549.41064453125
444.0,2503.649658203125
445.0,2453.844482421875
446.0,2405.44140625
447.0,2363.49755859375
448.0,2331.715576171875
449.0,2311.85205078125
450.0,2303.694580078125
451.0,2305.617919921875
452.0,2315.623291015625
453.0,2332.61767578125
454.0,2357.382568359375
455.0,2392.44189453125
456.0,2440.377685546875
457.0,2501.215576171875
458.0,2570.59228515625
459.0,2640.320556640625
460.0,2701.206298828125
461.0,2746.108642578125
462.0,2771.154296875
463.0,2774.88916015625
464.0,2757.0947265625
465.0,2718.82421875
466.0,2663.267578125
467.0,2595.769287109375
468.0,2522.237548828125
469.0,2447.21240234375
470.0,2373.3798828125
471.0,2302.69970703125
472.0,2237.451171875
473.0,2179.676513671875
474.0,2129.59619140625
475.0,2085.03662109375
476.0,2043.0457763671875
477.0,2002.511474609375
478.0,1965.306640625
479.0,1934.7569580078125
480.0,1912.70751953125
481.0,1897.732666015625
482.0,1885.9605712890625
483.0,1873.62109375
484.0,1859.1297607421875
485.0,1843.2633056640625
486.0,1827.783935546875
487.0,1814.00341796875
488.0,1802.30908203125
489.0,1792.480224609375
490.0,1784.0897216796875
491.0,1776.689697265625
492.0,1769.99755859375
493.0,1764.114501953125
494.0,1759.3563232421875
495.0,1755.504638671875
496.0,1751.1856689453125
497.0,1744.4022216796875
498.0,1734.149169921875
499.0,1721.6097412109375
500.0,1709.475830078125
501.0,1699.8121337890625
502.0,1692.5872802734375
503.0,1686.3426513671875
504.0,1680.13720703125
505.0,1674.5208740234375
506.0,1670.5123291015625
507.0,1667.9591064453125
508.0,1665.2940673828125
509.0,1660.9622802734375
510.0,1654.8526611328125
511.0,1648.21240234375
512.0,1642.403564453125
513.0,1637.98876953125
514.0,1634.845947265625
515.0,1632.61474609375
516.0,1630.66015625
517.0,1627.855224609375
518.0,1623.0623779296875
519.0,1616.295166015625
520.0,1609.3575439453125
521.0,1604.9315185546875
522.0,1604.6397705078125
523.0,1607.7259521484375
524.0,1611.482666015625
525.0,1613.0311279296875
526.0,1611.041015625
527.0,1606.2822265625
528.0,1600.9014892578125
529.0,1597.06982421875
530.0,1595.8402099609375
531.0,1596.798095703125
532.0,1598.562744140625
533.0,1599.67138671875
