Ethylene Glycol
cm^-1,Intensity
150.0,3660.407958984375
151.0,3634.06298828125
152.0,3617.876220703125
153.0,3607.69921875
154.0,3597.092529296875
155.0,3580.535888671875
156.0,3555.6513671875
157.0,3523.6044921875
158.0,3488.03857421875
159.0,3453.38232421875
160.0,3423.1884765625
161.0,3398.984375
162.0,3379.971923828125
163.0,3363.78857421875
164.0,3348.02099609375
165.0,3331.645263671875
166.0,3315.489990234375
167.0,3301.422607421875
168.0,3290.845703125
169.0,3283.517578125
170.0,3277.473388671875
171.0,3270.00390625
172.0,3259.043212890625
173.0,3244.109130859375
174.0,3226.3525390625
175.0,3207.828369140625
176.0,3190.544921875
177.0,3175.85498046875
178.0,3164.38232421875
179.0,3156.26025390625
180.0,3151.304443359375
181.0,3148.954345703125
182.0,3148.137451171875
183.0,3147.301025390625
184.0,3144.70703125
185.0,3138.89013671875
186.0,3129.137451171875
187.0,3115.884765625
188.0,3100.84375
189.0,3086.585693359375
190.0,3075.4736328125
191.0,3068.38037109375
192.0,3064.10986328125
193.0,3060.1748046875
194.0,3054.6220703125
195.0,3047.54931640625
196.0,3041.05859375
197.0,3037.56298828125
198.0,3037.829833984375
199.0,3040.36669921875
200.0,3042.62109375
201.0,3042.85107421875
202.0,3041.03173828125
203.0,3038.152587890625
204.0,3034.784912109375
205.0,3030.388671875
206.0,3023.966796875
207.0,3015.301513671875
208.0,3005.47314453125
209.0,2996.16943359375
210.0,2988.48876953125
211.0,2982.399169921875
212.0,2977.220947265625
213.0,2972.483642578125
214.0,2968.205078125
215.0,2964.398681640625
216.0,2960.491943359375
217.0,2955.463623046875
218.0,2948.70361328125
219.0,2940.797119140625
220.0,2933.375244140625
221.0,2928.011962890625
222.0,2924.9892578125
223.0,2922.950927734375
224.0,2919.73583984375
225.0,2913.796875
226.0,2905.173828125
227.0,2895.3583984375
228.0,2886.2255859375
229.0,2878.7861328125
230.0,2872.599609375
231.0,2866.156494140625
232.0,2857.96240234375
233.0,2847.666015625
234.0,2836.576416015625
235.0,2827.194580078125
236.0,2821.84619140625
237.0,2821.103515625
238.0,2822.972412109375
239.0,2823.628662109375
240.0,2819.481689453125
241.0,2809.334716796875
242.0,2795.1416015625
243.0,2780.781494140625
244.0,2769.76611328125
245.0,2763.4404296875
246.0,2760.711181640625
247.0,2759.014892578125
248.0,2755.603515625
249.0,2748.538818359375
250.0,2737.431884765625
251.0,2723.99462890625
252.0,2711.8759765625
253.0,2705.12890625
254.0,2705.657470703125
255.0,2711.2939453125
256.0,2716.40576171875
257.0,2715.155517578125
258.0,2705.3115234375
259.0,2689.715576171875
260.0,2674.220947265625
261.0,2663.76171875
262.0,2659.53076171875
263.0,2659.1455078125
264.0,2659.001220703125
265.0,2656.548828125
266.0,2650.906005859375
267.0,2642.18798828125
268.0,2630.974365234375
269.0,2618.571044921875
270.0,2607.271728515625
271.0,2599.55126953125
272.0,2596.33544921875
273.0,2595.884765625
274.0,2594.59814453125
275.0,2589.345947265625
276.0,2579.48974609375
277.0,2567.010498046875
278.0,2554.95751953125
279.0,2545.6865234375
280.0,2540.130126953125
281.0,2537.985107421875
282.0,2537.996337890625
283.0,2538.021728515625
284.0,2535.402587890625
285.0,2528.079345703125
286.0,2515.918701171875
287.0,2501.055419921875
288.0,2486.755126953125
289.0,2475.6201171875
290.0,2468.559814453125
291.0,2465.094482421875
292.0,2464.245361328125
293.0,2464.9423828125
294.0,2465.76806640625
295.0,2464.84228515625
296.0,2460.531494140625
297.0,2452.60400390625
298.0,2442.7177734375
299.0,2433.656005859375
300.0,2427.87109375
301.0,2426.482666015625
302.0,2429.25
303.0,2435.045166015625
304.0,2442.1474609375
305.0,2448.3759765625
306.0,2451.669677734375
307.0,2451.3173828125
308.0,2448.96875
309.0,2448.19287109375
310.0,2452.392578125
311.0,2462.429931640625
312.0,2475.882080078125
313.0,2488.522705078125
314.0,2496.84912109375
315.0,2499.76318359375
316.0,2498.57373046875
317.0,2496.0263671875
318.0,2495.425537109375
319.0,2500.03515625
320.0,2512.150390625
321.0,2531.71630859375
322.0,2555.605224609375
323.0,2578.85888671875
324.0,2597.61962890625
325.0,2611.654052734375
326.0,2624.271484375
327.0,2639.70947265625
328.0,2660.328857421875
329.0,2685.9453125
330.0,2715.3466796875
331.0,2747.898681640625
332.0,2783.55419921875
333.0,2821.7197265625
334.0,2860.8154296875
335.0,2899.269775390625
336.0,2936.69482421875
337.0,2973.5654296875
338.0,3009.589111328125
339.0,3042.73388671875
340.0,3070.344970703125
341.0,3091.370361328125
342.0,3107.26513671875
343.0,3120.49560546875
344.0,3132.13525390625
345.0,3141.039794921875
346.0,3145.246826171875
347.0,3143.928466796875
348.0,3137.8935546875
349.0,3128.500732421875
350.0,3116.52099609375
351.0,3102.099609375
352.0,3085.37939453125
353.0,3066.6083984375
354.0,3045.56689453125
355.0,3021.31396484375
356.0,2993.012939453125
357.0,2961.163330078125
358.0,2927.866943359375
359.0,2895.66796875
360.0,2866.03662109375
361.0,2838.8603515625
362.0,2813.115234375
363.0,2787.728759765625
364.0,2761.763427734375
365.0,2734.18408203125
366.0,2704.0302734375
367.0,2671.21630859375
368.0,2637.169921875
369.0,2604.44775390625
370.0,2575.377685546875
371.0,2550.705078125
372.0,2529.2646484375
373.0,2508.867919921875
374.0,2487.79248046875
375.0,2465.9140625
376.0,2444.712646484375
377.0,2426.032470703125
378.0,2410.305908203125
379.0,2395.622802734375
380.0,2378.713134765625
381.0,2357.4130859375
382.0,2332.705810546875
383.0,2308.384033203125
384.0,2288.37158203125
385.0,2273.954345703125
386.0,2263.3359375
387.0,2253.781494140625
388.0,2244.085205078125
389.0,2234.9951171875
390.0,2227.504638671875
391.0,2221.172119140625
392.0,2214.429931640625
393.0,2206.4287109375
394.0,2198.19287109375
395.0,2191.593505859375
396.0,2187.209228515625
397.0,2183.480224609375
398.0,2178.252197265625
399.0,2171.193115234375
400.0,2164.47607421875
401.0,2160.875244140625
402.0,2161.043212890625
403.0,2162.646484375
404.0,2162.21630859375
405.0,2157.94677734375
406.0,2150.939453125
407.0,2143.988037109375
408.0,2139.317626953125
409.0,2137.3076171875
410.0,2136.9130859375
411.0,2136.846923828125
412.0,2136.26318359375
413.0,2134.6845703125
414.0,2131.8203125
415.0,2127.74951171875
416.0,2123.161865234375
417.0,2119.124755859375
418.0,2116.44873046875
419.0,2115.296630859375
420.0,2115.42041015625
421.0,2116.62158203125
422.0,2118.79736328125
423.0,2121.543212890625
424.0,2123.9775390625
425.0,2125.248046875
426.0,2125.284423828125
427.0,2124.91162109375
428.0,2125.07568359375
429.0,2125.95947265625
430.0,2126.935546875
431.0,2127.372314453125
432.0,2127.380126953125
433.0,2127.69189453125
434.0,2128.91796875
435.0,2131.077392578125
436.0,2133.880615234375
437.0,2137.270263671875
438.0,2141.4462890625
439.0,2146.34716796875
440.0,2151.342529296875
441.0,2155.71728515625
442.0,2159.52001953125
443.0,2163.775634765625
444.0,2169.669921875
445.0,2177.46484375
446.0,2186.2607421875
447.0,2194.794189453125
448.0,2202.343994140625
449.0,2208.799072265625
450.0,2214.021728515625
451.0,2217.516357421875
452.0,2219.0048828125
453.0,2219.337890625
454.0,2220.64599609375
455.0,2225.420166015625
456.0,2235.342529296875
457.0,2250.806640625
458.0,2271.1591796875
459.0,2294.9921875
460.0,2320.23876953125
461.0,2344.692626953125
462.0,2367.452392578125
463.0,2390.45947265625
464.0,2418.3955078125
465.0,2456.311767578125
466.0,2506.667236328125
467.0,2568.50048828125
468.0,2639.651611328125
469.0,2719.80322265625
470.0,2811.156982421875
