Formic acid
cm^-1,Intensity
150.0,48784.109375
151.0,48697.23828125
152.0,48643.25
153.0,48603.6484375
154.0,48564.59765625
155.0,48523.0
156.0,48484.796875
157.0,48458.9140625
158.0,48451.90625
159.0,48465.765625
160.0,48498.078125
161.0,48543.15625
162.0,48593.6953125
163.0,48643.23828125
164.0,48688.7890625
165.0,48732.09375
166.0,48778.6484375
167.0,48834.9453125
168.0,48905.5
169.0,48990.8984375
170.0,49087.45703125
171.0,49188.6171875
172.0,49287.66796875
173.0,49380.640625
174.0,49467.37109375
175.0,49549.92578125
176.0,49629.51171875
177.0,49704.96875
178.0,49774.3984375
179.0,49838.5546875
180.0,49902.07421875
181.0,49970.30078125
182.0,50043.5390625
183.0,50113.8359375
184.0,50167.83984375
185.0,50194.3828125
186.0,50191.203125
187.0,50165.76953125
188.0,50129.8515625
189.0,50092.30078125
190.0,50055.265625
191.0,50015.40234375
192.0,49967.59765625
193.0,49907.4296875
194.0,49831.18359375
195.0,49735.2265625
196.0,49616.88671875
197.0,49476.71875
198.0,49319.53125
199.0,49152.12890625
200.0,48978.734375
201.0,48797.5234375
202.0,48601.30859375
203.0,48382.08203125
204.0,48136.16796875
205.0,47866.3203125
206.0,47579.5625
207.0,47282.4296875
208.0,46976.80078125
209.0,46658.73046875
210.0,46320.86328125
211.0,45956.83984375
212.0,45564.94921875
213.0,45148.74609375
214.0,44714.17578125
215.0,44265.62890625
216.0,43804.03515625
217.0,43328.59375
218.0,42840.3046875
219.0,42343.7265625
220.0,41845.06640625
221.0,41348.11328125
222.0,40851.71875
223.0,40350.89453125
224.0,39840.44140625
225.0,39318.05078125
226.0,38785.125
227.0,38245.796875
228.0,37705.6171875
229.0,37170.30078125
230.0,36644.0625
231.0,36127.6484375
232.0,35617.4453125
233.0,35107.1640625
234.0,34591.62109375
235.0,34070.1328125
236.0,33547.23046875
237.0,33030.26171875
238.0,32525.5859375
239.0,32035.421875
240.0,31556.5859375
241.0,31081.525390625
242.0,30601.490234375
243.0,30111.00390625
244.0,29611.375
245.0,29110.611328125
246.0,28618.607421875
247.0,28140.009765625
248.0,27669.591796875
249.0,27193.990234375
250.0,26699.359375
251.0,26179.830078125
252.0,25640.939453125
253.0,25095.62890625
254.0,24556.072265625
255.0,24027.26171875
256.0,23506.40625
257.0,22987.3046875
258.0,22465.2421875
259.0,21938.830078125
260.0,21408.73046875
261.0,20875.958984375
262.0,20341.791015625
263.0,19808.60546875
264.0,19279.771484375
265.0,18758.365234375
266.0,18246.443359375
267.0,17746.26953125
268.0,17262.0390625
269.0,16799.185546875
270.0,16360.60546875
271.0,15943.033203125
272.0,15537.791015625
273.0,15136.4892578125
274.0,14737.2001953125
275.0,14345.8046875
276.0,13971.443359375
277.0,13620.076171875
278.0,13291.2861328125
279.0,12979.8271484375
280.0,12679.564453125
281.0,12386.453125
282.0,12099.3349609375
283.0,11819.2392578125
284.0,11548.1201171875
285.0,11287.4580078125
286.0,11037.173828125
287.0,10795.7216796875
288.0,10561.60546875
289.0,10335.1337890625
290.0,10118.6396484375
291.0,9914.6708984375
292.0,9723.728515625
293.0,9543.541015625
294.0,9370.4072265625
295.0,9201.3408203125
296.0,9035.56640625
297.0,8874.8779296875
298.0,8722.9716796875
299.0,8583.8359375
300.0,8459.3701171875
301.0,8347.4189453125
302.0,8242.0576171875
303.0,8136.56103515625
304.0,8027.09423828125
305.0,7914.04052734375
306.0,7799.97607421875
307.0,7686.58642578125
308.0,7573.76318359375
309.0,7461.642578125
310.0,7352.94775390625
311.0,7252.6103515625
312.0,7164.4833984375
313.0,7088.2158203125
314.0,7019.2626953125
315.0,6952.07275390625
316.0,6883.55615234375
317.0,6813.94482421875
