Ibuprofen
cm^-1,Intensity
148.32,19629.84
150.7,15596.74
153.07,13339.1
155.45,12099.12
157.82,11305.58
160.2,10546.44
162.57,10134.7
164.94,9964.6
167.31,9640.28
169.68,9468.86
172.05,9257.06
174.42,9111.02
176.79,9092.5
179.15,8989.1
181.52,9054.52
183.88,9030.2
186.24,9017.36
188.61,9179.84
190.97,9601.82
193.33,9947.0
195.69,9418.96
198.04,9016.24
200.4,8898.56
202.76,8809.26
205.11,8733.84
207.46,8786.92
209.82,8661.76
212.17,8698.0
214.52,8709.5
216.87,8732.32
219.22,8600.32
221.56,8796.3
223.91,8703.64
226.25,8635.16
228.6,8600.26
230.94,8539.44
233.28,8521.32
235.63,8547.64
237.97,8470.12
240.3,8630.14
242.64,8598.66
244.98,8614.66
247.32,8764.66
249.65,8698.98
251.99,8758.18
254.32,8918.34
256.65,8949.64
258.98,9217.9
261.31,9392.08
263.64,9593.68
265.97,9549.26
268.3,9501.56
270.62,9296.52
272.95,9120.76
275.27,8923.2
277.59,8772.24
279.92,8691.72
282.24,8643.72
284.56,8677.06
286.88,8568.36
289.19,8672.34
291.51,8570.0
293.83,8612.82
296.14,8633.82
298.46,8765.56
300.77,8938.2
303.08,9141.86
305.39,9038.28
307.7,8927.88
310.01,8958.02
312.32,8944.58
314.63,8792.56
316.93,8668.38
319.24,8700.28
321.54,8523.54
323.84,8753.68
326.15,8541.96
328.45,8595.62
330.75,8498.54
333.05,8380.72
335.34,8415.98
337.64,8541.46
339.94,8378.34
342.23,8457.42
344.53,8417.18
346.82,8478.42
349.11,8558.5
351.4,8633.92
353.69,8909.74
355.98,9235.02
358.27,9346.64
360.56,9124.94
362.84,8735.0
365.13,8794.08
367.41,8628.2
369.69,8589.72
371.98,8672.7
374.26,8733.8
376.54,8941.6
378.82,9145.38
381.1,9373.32
383.37,9521.44
385.65,9622.06
387.93,9732.74
390.2,9700.98
392.47,10017.04
394.75,9926.06
397.02,9721.62
399.29,9489.2
401.56,9702.8
403.83,9547.26
406.09,9529.08
408.36,9463.06
410.62,9621.88
412.89,9381.18
415.15,9211.94
417.42,8806.08
419.68,8609.7
421.94,8638.4
424.2,8588.34
426.46,8580.04
428.71,8449.04
430.97,8327.44
433.23,8352.06
435.48,8195.1
437.74,8204.96
439.99,8138.26
442.24,8115.54
444.49,8012.76
446.74,8128.14
448.99,8072.16
451.24,8107.4
453.49,8018.18
455.73,8034.16
457.98,8061.32
460.22,7992.72
462.46,8025.7
464.71,8126.58
466.95,8145.4
469.19,8131.5
471.43,8216.54
473.67,8227.94
475.9,8439.98
478.14,8396.66
480.38,8268.7
482.61,8209.4
484.85,8152.32
487.08,8141.2
489.31,8070.46
491.54,8122.34
493.77,8226.74
496.0,8217.68
498.23,8317.08
500.45,8436.94
502.68,8493.68
504.91,8627.92
507.13,8895.26
509.35,9132.68
511.58,9069.4
513.8,9131.28
516.02,9040.96
518.24,8914.96
520.45,8821.96
522.67,8780.28
524.89,8573.36
527.1,8382.48
529.32,8311.24
531.53,8268.66
533.75,8128.26
535.96,8162.64
538.17,8097.82
540.38,8055.88
542.59,8034.06
544.8,8062.4
547.0,7982.22
549.21,7910.84
551.41,7972.66
553.62,7892.18
