Isobutylamine
cm^-1,Intensity
150.0,19124.71484375
151.0,19003.77734375
152.0,18897.3671875
153.0,18797.677734375
154.0,18693.568359375
155.0,18580.04296875
156.0,18461.78125
157.0,18348.8515625
158.0,18249.2734375
159.0,18164.62109375
160.0,18090.677734375
161.0,18020.9609375
162.0,17949.853515625
163.0,17874.380859375
164.0,17795.068359375
165.0,17715.96484375
166.0,17643.056640625
167.0,17581.0546875
168.0,17530.443359375
169.0,17486.912109375
170.0,17443.662109375
171.0,17394.626953125
172.0,17336.626953125
173.0,17269.9375
174.0,17198.0546875
175.0,17127.126953125
176.0,17064.34375
177.0,17015.078125
178.0,16979.99609375
179.0,16954.4453125
180.0,16931.125
181.0,16904.404296875
182.0,16873.279296875
183.0,16840.947265625
184.0,16811.857421875
185.0,16788.724609375
186.0,16771.7109375
187.0,16759.640625
188.0,16751.443359375
189.0,16746.20703125
190.0,16742.0
191.0,16735.41015625
192.0,16723.287109375
193.0,16705.908203125
194.0,16688.5078125
195.0,16678.626953125
196.0,16680.29296875
197.0,16689.6171875
198.0,16696.38671875
199.0,16691.404296875
200.0,16674.134765625
201.0,16653.9375
202.0,16643.361328125
203.0,16648.759765625
204.0,16665.857421875
205.0,16683.681640625
206.0,16692.96484375
207.0,16691.951171875
208.0,16685.46484375
209.0,16679.54296875
210.0,16677.0234375
211.0,16677.478515625
212.0,16680.1171875
213.0,16685.96484375
214.0,16697.185546875
215.0,16714.7109375
216.0,16736.62890625
217.0,16758.58203125
218.0,16775.4609375
219.0,16783.240234375
220.0,16780.388671875
221.0,16768.873046875
222.0,16754.361328125
223.0,16744.892578125
224.0,16747.84765625
225.0,16766.4609375
226.0,16797.83984375
227.0,16833.96875
228.0,16865.39453125
229.0,16885.8046875
230.0,16894.962890625
231.0,16898.353515625
232.0,16903.732421875
233.0,16916.6171875
234.0,16937.59375
235.0,16962.87890625
236.0,16987.29296875
237.0,17007.193359375
238.0,17021.5546875
239.0,17031.330078125
240.0,17038.4921875
241.0,17045.61328125
242.0,17055.578125
243.0,17070.681640625
244.0,17091.478515625
245.0,17116.505859375
246.0,17143.611328125
247.0,17171.88671875
248.0,17202.451171875
249.0,17237.150390625
250.0,17276.01953125
251.0,17315.615234375
252.0,17349.7265625
253.0,17372.56640625
254.0,17382.654296875
255.0,17384.94921875
256.0,17389.412109375
257.0,17406.392578125
258.0,17441.599609375
259.0,17493.8671875
260.0,17557.0859375
261.0,17624.400390625
262.0,17691.455078125
263.0,17757.01953125
264.0,17822.05078125
265.0,17889.0859375
266.0,17962.15625
267.0,18045.58203125
268.0,18140.853515625
269.0,18243.521484375
270.0,18343.51171875
271.0,18429.74609375
272.0,18495.98046875
273.0,18543.220703125
274.0,18577.01953125
275.0,18602.537109375
276.0,18621.6484375
277.0,18633.865234375
278.0,18638.90625
279.0,18637.81640625
280.0,18631.763671875
281.0,18620.15625
282.0,18600.119140625
283.0,18567.681640625
284.0,18519.724609375
285.0,18455.73046875
286.0,18378.96484375
287.0,18296.486328125
288.0,18217.21484375
289.0,18148.259765625
290.0,18091.458984375
291.0,18043.009765625
292.0,17996.953125
293.0,17950.060546875
294.0,17904.390625
295.0,17865.7109375
296.0,17839.6796875
297.0,17828.94921875
298.0,17832.72265625
299.0,17847.619140625
300.0,17868.119140625
301.0,17886.724609375
302.0,17895.328125
303.0,17888.453125
304.0,17866.62890625
305.0,17837.01171875
306.0,17810.189453125
307.0,17794.99609375
308.0,17794.64453125
309.0,17806.32421875
310.0,17823.767578125
311.0,17840.6875
312.0,17853.150390625
313.0,17860.177734375
314.0,17863.099609375
315.0,17864.400390625
316.0,17866.642578125
317.0,17871.55859375
318.0,17879.38671875
319.0,17888.826171875
320.0,17898.0546875
321.0,17906.6875
322.0,17917.298828125
323.0,17934.625
324.0,17962.048828125
325.0,17997.6015625
326.0,18033.224609375
327.0,18059.125
328.0,18070.580078125
329.0,18071.904296875
330.0,18073.83984375
331.0,18086.236328125
332.0,18111.845703125
333.0,18146.11328125
334.0,18182.4765625
335.0,18217.904296875
336.0,18253.9375
337.0,18293.125
338.0,18335.24609375
339.0,18377.458984375
340.0,18417.951171875
341.0,18458.763671875
342.0,18504.234375
343.0,18556.447265625
344.0,18612.869140625
345.0,18669.619140625
346.0,18727.73046875
347.0,18795.853515625
348.0,18885.576171875
349.0,19002.990234375
350.0,19144.55859375
351.0,19301.5859375
352.0,19469.37890625
353.0,19652.43359375
354.0,19861.080078125
355.0,20103.03515625
356.0,20377.162109375
357.0,20673.173828125
358.0,20974.58984375
359.0,21260.62109375
360.0,21506.49609375
361.0,21685.6640625
362.0,21776.103515625
363.0,21768.255859375
364.0,21669.248046875
365.0,21500.333984375
366.0,21289.6015625
367.0,21064.25390625
368.0,20845.65625
369.0,20647.556640625
370.0,20476.6015625
371.0,20334.328125
372.0,20219.91015625
373.0,20132.240234375
374.0,20070.140625
375.0,20030.7890625
376.0,20008.041015625
377.0,19992.3671875
378.0,19972.787109375
379.0,19939.833984375
380.0,19888.21484375
381.0,19818.21875
382.0,19735.37109375
383.0,19648.1875
384.0,19564.982421875
385.0,19491.55078125
386.0,19431.0625
387.0,19385.517578125
388.0,19356.4140625
389.0,19343.140625
390.0,19340.638671875
391.0,19339.65234375
392.0,19331.060546875
393.0,19311.505859375
394.0,19285.595703125
395.0,19262.6015625
396.0,19250.453125
397.0,19251.974609375
398.0,19265.462890625
399.0,19287.48828125
400.0,19314.5625
401.0,19343.048828125
402.0,19369.271484375
403.0,19391.310546875
404.0,19410.998046875
405.0,19433.564453125
