Methanol
cm^-1,Intensity
150.0,9932.3623046875
151.0,9763.013671875
152.0,9604.2041015625
153.0,9456.0185546875
154.0,9317.2529296875
155.0,9186.6630859375
156.0,9063.0693359375
157.0,8944.76171875
158.0,8829.474609375
159.0,8715.439453125
160.0,8602.6376953125
161.0,8492.744140625
162.0,8387.37109375
163.0,8285.998046875
164.0,8185.70068359375
165.0,8083.240234375
166.0,7977.91650390625
167.0,7872.50732421875
168.0,7771.306640625
169.0,7676.84130859375
170.0,7588.1962890625
171.0,7502.32568359375
172.0,7416.9921875
173.0,7332.4619140625
174.0,7250.46875
175.0,7171.69091796875
176.0,7094.48193359375
177.0,7016.25
178.0,6936.15478515625
179.0,6856.369140625
180.0,6780.55224609375
181.0,6710.89111328125
182.0,6646.47216796875
183.0,6584.404296875
184.0,6522.51171875
185.0,6461.08203125
186.0,6402.22607421875
187.0,6347.66650390625
188.0,6296.990234375
189.0,6247.73681640625
190.0,6197.0283203125
191.0,6143.43798828125
192.0,6087.87744140625
193.0,6033.12890625
194.0,5982.3291015625
195.0,5937.19873046875
196.0,5896.95703125
197.0,5858.66259765625
198.0,5818.9580078125
199.0,5776.13134765625
200.0,5731.04052734375
201.0,5686.1328125
202.0,5643.33251953125
203.0,5602.45947265625
204.0,5561.47265625
205.0,5518.2958984375
206.0,5472.7412109375
207.0,5426.98046875
208.0,5384.19580078125
209.0,5346.44091796875
210.0,5313.279296875
211.0,5282.2060546875
212.0,5250.51806640625
213.0,5217.31689453125
214.0,5184.158203125
215.0,5153.86962890625
216.0,5128.33154296875
217.0,5106.89404296875
218.0,5086.63720703125
219.0,5064.30615234375
220.0,5038.41943359375
221.0,5009.87451171875
222.0,4980.70556640625
223.0,4952.1923828125
224.0,4924.072265625
225.0,4895.4404296875
226.0,4866.3076171875
227.0,4838.11962890625
228.0,4812.68115234375
229.0,4790.51025390625
230.0,4770.28759765625
231.0,4749.91748046875
232.0,4728.1923828125
233.0,4705.5244140625
234.0,4683.23095703125
235.0,4662.22607421875
236.0,4642.31201171875
237.0,4622.484375
238.0,4601.66650390625
239.0,4579.16552734375
240.0,4554.6982421875
241.0,4528.34228515625
242.0,4500.6533203125
243.0,4472.74951171875
244.0,4446.0458984375
245.0,4421.65625
246.0,4399.869140625
247.0,4380.1171875
248.0,4361.43359375
249.0,4342.99267578125
250.0,4324.27978515625
251.0,4304.8330078125
252.0,4283.94580078125
253.0,4260.8447265625
254.0,4235.39794921875
255.0,4208.78955078125
256.0,4183.33154296875
257.0,4161.224609375
258.0,4143.08984375
259.0,4127.5498046875
260.0,4112.38671875
261.0,4096.34228515625
262.0,4079.96142578125
263.0,4064.664794921875
264.0,4050.95556640625
265.0,4037.459228515625
266.0,4021.739013671875
267.0,4002.12451171875
268.0,3978.962646484375
269.0,3954.353271484375
270.0,3930.77490234375
271.0,3909.749267578125
272.0,3891.28173828125
273.0,3874.09375
274.0,3856.31689453125
275.0,3836.39892578125
276.0,3813.981689453125
277.0,3790.260986328125
278.0,3767.3984375
279.0,3747.123291015625
280.0,3729.41796875
281.0,3712.26953125
282.0,3692.720703125
283.0,3668.589599609375
284.0,3639.830322265625
285.0,3608.831787109375
286.0,3579.45947265625
287.0,3555.12890625
288.0,3536.808837890625
289.0,3522.190673828125
290.0,3506.915771484375
291.0,3487.323486328125
292.0,3462.747314453125
293.0,3435.522216796875
294.0,3408.730712890625
295.0,3383.83984375
296.0,3360.31494140625
297.0,3337.21728515625
298.0,3314.705810546875
299.0,3293.709228515625
300.0,3274.275634765625
301.0,3254.723388671875
302.0,3232.81103515625
303.0,3207.787841796875
304.0,3181.16796875
305.0,3155.4033203125
306.0,3131.868896484375
307.0,3110.057373046875
308.0,3088.4814453125
309.0,3066.081298828125
310.0,3042.858154296875
311.0,3019.57666015625
312.0,2997.2109375
313.0,2976.596435546875
314.0,2958.188232421875
315.0,2941.8369140625
316.0,2926.85595703125
317.0,2912.53564453125
318.0,2898.650390625
319.0,2885.277587890625
320.0,2871.998046875
321.0,2857.4423828125
322.0,2840.010986328125
323.0,2819.362060546875
324.0,2797.25341796875
325.0,2776.791748046875
326.0,2760.549560546875
