Methyl Isobutyl Ketone
cm^-1,Intensity
150.0,17197.560546875
151.0,17002.94921875
152.0,16838.46875
153.0,16696.01953125
154.0,16563.818359375
155.0,16431.861328125
156.0,16296.5732421875
157.0,16162.671875
158.0,16041.0625
159.0,15943.52734375
160.0,15876.751953125
161.0,15839.541015625
162.0,15825.2099609375
163.0,15827.630859375
164.0,15846.1611328125
165.0,15885.5693359375
166.0,15951.109375
167.0,16043.1845703125
168.0,16156.1435546875
169.0,16281.984375
170.0,16415.43359375
171.0,16556.12109375
172.0,16706.46875
173.0,16867.384765625
174.0,17034.783203125
175.0,17198.310546875
176.0,17342.09375
177.0,17447.048828125
178.0,17494.90625
179.0,17473.5546875
180.0,17381.53515625
181.0,17228.91796875
182.0,17033.017578125
183.0,16811.095703125
184.0,16574.08984375
185.0,16324.9287109375
186.0,16061.7412109375
187.0,15783.2158203125
188.0,15492.640625
189.0,15198.4921875
190.0,14911.9462890625
191.0,14643.0556640625
192.0,14397.59375
193.0,14175.6806640625
194.0,13972.4296875
195.0,13780.34765625
196.0,13592.7392578125
197.0,13406.9677734375
198.0,13225.91796875
199.0,13056.4775390625
200.0,12905.4326171875
201.0,12775.1806640625
202.0,12662.3134765625
203.0,12560.234375
204.0,12463.806640625
205.0,12372.1083984375
206.0,12287.0595703125
207.0,12209.3642578125
208.0,12135.9384765625
209.0,12061.5205078125
210.0,11983.21875
211.0,11903.6328125
212.0,11829.572265625
213.0,11767.3974609375
214.0,11719.1494140625
215.0,11682.4169921875
216.0,11653.1201171875
217.0,11627.8310546875
218.0,11603.6142578125
219.0,11576.7060546875
220.0,11542.91796875
221.0,11500.51953125
222.0,11453.041015625
223.0,11408.5966796875
224.0,11375.2666015625
225.0,11355.8447265625
226.0,11346.0673828125
227.0,11337.6875
228.0,11323.7783203125
229.0,11302.44921875
230.0,11276.8125
231.0,11252.2099609375
232.0,11233.0498046875
233.0,11221.1025390625
234.0,11215.556640625
235.0,11214.1123046875
236.0,11214.32421875
237.0,11214.5654296875
238.0,11214.30859375
239.0,11213.6953125
240.0,11212.806640625
241.0,11211.283203125
242.0,11208.662109375
243.0,11205.12890625
244.0,11201.92578125
245.0,11200.8291015625
246.0,11202.8916015625
247.0,11207.310546875
248.0,11211.3466796875
249.0,11211.6044921875
250.0,11206.04296875
251.0,11195.462890625
252.0,11183.416015625
253.0,11174.375
254.0,11171.2080078125
255.0,11173.5302734375
256.0,11178.0498046875
257.0,11180.640625
258.0,11178.6357421875
259.0,11171.755859375
260.0,11161.1865234375
261.0,11147.9033203125
262.0,11131.8515625
263.0,11112.6962890625
264.0,11091.2392578125
265.0,11069.88671875
266.0,11051.474609375
267.0,11037.501953125
268.0,11027.494140625
269.0,11020.150390625
270.0,11015.005859375
271.0,11012.7744140625
272.0,11013.9716796875
273.0,11017.4306640625
274.0,11020.6455078125
275.0,11021.9052734375
276.0,11022.1298828125
277.0,11024.263671875
278.0,11030.634765625
279.0,11040.8544921875
280.0,11052.5576171875
281.0,11064.396484375
282.0,11078.2529296875
283.0,11098.1220703125
284.0,11126.173828125
285.0,11159.435546875
286.0,11190.3818359375
287.0,11211.8369140625
288.0,11222.8583984375
289.0,11231.197265625
290.0,11249.9130859375
291.0,11290.0146484375
292.0,11354.203125
293.0,11436.3056640625
294.0,11527.0068359375
295.0,11621.34375
296.0,11722.07421875
297.0,11836.443359375
298.0,11969.82421875
299.0,12122.44921875
300.0,12292.3154296875
301.0,12481.310546875
302.0,12698.421875
303.0,12957.056640625
304.0,13269.4248046875
305.0,13644.0537109375
306.0,14089.3681640625
307.0,14620.591796875
308.0,15264.18359375
309.0,16055.873046875
310.0,17032.333984375
311.0,18218.43359375
312.0,19612.2109375
313.0,21170.412109375
314.0,22799.8046875
315.0,24361.583984375
316.0,25692.978515625
317.0,26641.8359375
318.0,27102.822265625
319.0,27041.203125
320.0,26496.037109375
321.0,25563.958984375
322.0,24371.18359375
323.0,23044.45703125
324.0,21689.857421875
325.0,20383.54296875
326.0,19173.712890625
327.0,18088.3203125
328.0,17142.21875
329.0,16340.4306640625
330.0,15678.8037109375
331.0,15145.3193359375
332.0,14723.583984375
333.0,14396.78125
334.0,14149.5693359375
335.0,13967.8056640625
336.0,13838.4150390625
337.0,13751.1015625
338.0,13700.6875
339.0,13687.2607421875
340.0,13712.8681640625
341.0,13776.57421875
342.0,13871.0146484375
343.0,13982.12109375
344.0,14091.6484375
345.0,14181.2119140625
346.0,14236.517578125
347.0,14250.3486328125
348.0,14222.76953125
349.0,14158.15234375
350.0,14061.0810546875
351.0,13934.267578125
352.0,13780.033203125
353.0,13603.5439453125
354.0,13414.3994140625
355.0,13224.8271484375
356.0,13045.755859375
357.0,12883.64453125
358.0,12739.8427734375
359.0,12612.3046875
360.0,12498.2744140625
361.0,12396.28125
362.0,12306.37890625
363.0,12228.640625
364.0,12161.3759765625
365.0,12101.130859375
366.0,12044.94921875
