N,N - Dimethylformahide
cm^-1,Intensity
150.0,7207.7138671875
151.0,7051.349609375
152.0,6905.5166015625
153.0,6773.2646484375
154.0,6654.47802734375
155.0,6546.0390625
156.0,6443.3134765625
157.0,6342.17919921875
158.0,6240.56884765625
159.0,6138.8896484375
160.0,6039.26611328125
161.0,5944.18359375
162.0,5855.22216796875
163.0,5772.35791015625
164.0,5694.03515625
165.0,5618.01220703125
166.0,5542.732421875
167.0,5468.501953125
168.0,5397.5107421875
169.0,5332.224609375
170.0,5273.048828125
171.0,5217.181640625
172.0,5160.080078125
173.0,5098.83056640625
174.0,5034.7470703125
175.0,4972.81787109375
176.0,4918.14599609375
177.0,4872.26513671875
178.0,4832.27978515625
179.0,4793.38623046875
180.0,4752.38037109375
181.0,4709.31640625
182.0,4666.35546875
183.0,4625.37353515625
184.0,4586.42529296875
185.0,4547.99853515625
186.0,4508.314453125
187.0,4466.5146484375
188.0,4423.17138671875
189.0,4380.236328125
190.0,4340.60205078125
191.0,4307.2490234375
192.0,4282.07275390625
193.0,4264.91357421875
194.0,4253.53955078125
195.0,4244.76171875
196.0,4235.9794921875
197.0,4225.98291015625
198.0,4214.41845703125
199.0,4200.57958984375
200.0,4182.92919921875
201.0,4160.23876953125
202.0,4133.529296875
203.0,4106.8994140625
204.0,4085.837158203125
205.0,4073.9208984375
206.0,4070.451171875
207.0,4071.171630859375
208.0,4071.49365234375
209.0,4069.5
210.0,4066.25634765625
211.0,4063.672119140625
212.0,4062.358154296875
213.0,4061.5712890625
214.0,4060.853515625
215.0,4061.189453125
216.0,4064.2392578125
217.0,4070.50146484375
218.0,4078.471923828125
219.0,4085.759521484375
220.0,4091.026123046875
221.0,4094.868408203125
222.0,4098.9892578125
223.0,4104.64208984375
224.0,4111.7236328125
225.0,4118.8916015625
226.0,4124.16259765625
227.0,4125.47998046875
228.0,4121.333984375
229.0,4111.5751953125
230.0,4097.9951171875
231.0,4083.925537109375
232.0,4072.6748046875
233.0,4065.638916015625
234.0,4061.323486328125
235.0,4055.862548828125
236.0,4044.70166015625
237.0,4024.55517578125
238.0,3994.905029296875
239.0,3958.473876953125
240.0,3920.298583984375
241.0,3885.495361328125
242.0,3856.61572265625
243.0,3832.2509765625
244.0,3807.99072265625
245.0,3779.29736328125
246.0,3744.296142578125
247.0,3704.4892578125
248.0,3663.124267578125
249.0,3622.78564453125
250.0,3584.260009765625
251.0,3547.268310546875
252.0,3511.946533203125
253.0,3479.406005859375
254.0,3450.876708984375
255.0,3426.415283203125
256.0,3404.561279296875
257.0,3383.25634765625
258.0,3361.10546875
259.0,3337.8828125
260.0,3314.1904296875
261.0,3291.080810546875
262.0,3270.157470703125
263.0,3253.586669921875
264.0,3243.06884765625
265.0,3237.918701171875
266.0,3233.99267578125
267.0,3225.233154296875
268.0,3207.486572265625
269.0,3181.877685546875
270.0,3154.71875
271.0,3133.69384765625
272.0,3123.096435546875
273.0,3121.793212890625
274.0,3125.1044921875
275.0,3128.6083984375
276.0,3130.703857421875
277.0,3132.3720703125
278.0,3135.203125
279.0,3139.781494140625
280.0,3145.61669921875
281.0,3152.097900390625
282.0,3159.262451171875
283.0,3167.70947265625
284.0,3177.963134765625
285.0,3189.9873046875
286.0,3203.230224609375
287.0,3217.05712890625
288.0,3231.205810546875
289.0,3246.037841796875
290.0,3262.56103515625
291.0,3282.21728515625
292.0,3306.3359375
293.0,3335.25390625
294.0,3367.5810546875
295.0,3400.44384765625
296.0,3431.179443359375
297.0,3459.750732421875
298.0,3489.991943359375
299.0,3528.220947265625
300.0,3579.66357421875
301.0,3645.28515625
302.0,3721.63671875
303.0,3803.92578125
304.0,3889.81201171875
305.0,3980.7998046875
306.0,4080.46875
307.0,4191.548828125
308.0,4314.591796875
309.0,4448.97314453125
310.0,4594.482421875
311.0,4751.31591796875
312.0,4918.13623046875
313.0,5089.97900390625
314.0,5257.92724609375
315.0,5410.85205078125
316.0,5537.724609375
317.0,5629.01220703125
318.0,5677.037109375
319.0,5676.30224609375
320.0,5624.5390625
321.0,5524.0791015625
322.0,5382.44873046875
323.0,5211.5771484375
324.0,5025.9619140625
325.0,4840.44140625
326.0,4668.005859375
327.0,4517.90625
328.0,4394.63037109375
329.0,4298.4736328125
330.0,4227.60791015625
331.0,4180.26953125
332.0,4155.56494140625
333.0,4152.75537109375
334.0,4170.541015625
335.0,4207.68408203125
336.0,4264.4072265625
337.0,4342.6357421875
338.0,4444.21875
339.0,4568.7587890625
340.0,4713.513671875
341.0,4875.7646484375
342.0,5055.14013671875
343.0,5253.2705078125
344.0,5470.8720703125
345.0,5705.1591796875
346.0,5949.91357421875
347.0,6197.5888671875
348.0,6440.927734375
349.0,6672.7265625
350.0,6884.9638671875
351.0,7069.17236328125
352.0,7218.1650390625
353.0,7327.38037109375
354.0,7394.6630859375
355.0,7419.24267578125
356.0,7401.5478515625
357.0,7344.0966796875
358.0,7251.94287109375
359.0,7131.37158203125
360.0,6987.54931640625
361.0,6823.3203125
362.0,6640.36328125
363.0,6441.64990234375
364.0,6232.80322265625
365.0,6021.06640625
366.0,5812.79638671875
367.0,5611.62646484375
368.0,5418.6845703125
369.0,5234.32177734375
370.0,5059.65869140625
371.0,4896.6728515625
372.0,4747.107421875
373.0,4611.56103515625
374.0,4489.7265625
375.0,4381.34619140625
376.0,4286.60888671875
377.0,4205.43603515625
378.0,4136.62646484375
379.0,4078.301025390625
380.0,4029.6455078125
381.0,3992.154052734375
382.0,3968.622314453125
383.0,3960.3876953125
384.0,3965.5556640625
385.0,3980.364013671875
386.0,4002.870361328125
387.0,4035.615234375
388.0,4084.678466796875
389.0,4156.00830078125
390.0,4252.46435546875
391.0,4374.33935546875
392.0,4522.74462890625
393.0,4702.6962890625
394.0,4923.2841796875
395.0,5194.9853515625
396.0,5526.3955078125
397.0,5922.1787109375
398.0,6381.86328125
399.0,6897.68603515625
400.0,7450.62841796875
401.0,8006.49560546875
402.0,8515.8173828125
403.0,8920.626953125
404.0,9167.3935546875
405.0,9221.34765625
406.0,9076.00390625
407.0,8753.6435546875
408.0,8297.2099609375
409.0,7758.078125
410.0,7184.93701171875
411.0,6617.00927734375
412.0,6081.81640625
413.0,5595.7412109375
414.0,5165.822265625
415.0,4792.14990234375
416.0,4470.67333984375
417.0,4195.84814453125
418.0,3962.256591796875
419.0,3764.839599609375
420.0,3598.37060546875
421.0,3457.258056640625
