Paracetamol,
148.32,50507.2
150.7,47864.7
153.07,42118.6
155.45,35656.9
157.82,29864.1
160.2,25361.8
162.57,22898.8
164.94,21611.5
167.31,20181.4
169.68,18982.2
172.05,17930.8
174.42,16589.0
176.79,15804.8
179.15,15245.2
181.52,14938.2
183.88,14689.1
186.24,14748.8
188.61,15187.3
190.97,15981.5
193.33,17574.3
195.69,19119.5
198.04,20814.7
200.4,22008.7
202.76,23501.1
205.11,26386.1
207.46,30829.5
209.82,34413.4
212.17,35336.0
214.52,32702.0
216.87,27645.7
219.22,22543.5
221.56,19008.5
223.91,16159.2
226.25,14108.1
228.6,12415.5
230.94,11139.9
233.28,10239.4
235.63,9620.2
237.97,9029.9
240.3,8655.2
242.64,8199.1
244.98,7898.3
247.32,7623.9
249.65,7165.2
251.99,6952.6
254.32,6731.5
256.65,6541.8
258.98,6438.5
261.31,6339.9
263.64,6173.0
265.97,6022.1
268.3,5978.9
270.62,5919.3
272.95,5988.2
275.27,5948.3
277.59,5728.6
279.92,5796.1
282.24,5811.4
284.56,5843.7
286.88,5769.4
289.19,5859.7
291.51,5827.5
293.83,5928.0
296.14,5983.2
298.46,6080.2
300.77,6277.0
303.08,6447.2
305.39,6506.4
307.7,6637.9
310.01,7095.7
312.32,7676.6
314.63,8525.0
316.93,9910.6
319.24,12368.5
321.54,15928.3
323.84,20824.0
326.15,23172.1
328.45,21748.9
330.75,17646.0
333.05,14851.3
335.34,14686.3
337.64,13313.6
339.94,9585.8
342.23,7472.4
344.53,6376.9
346.82,5826.3
349.11,5549.5
351.4,5319.5
353.69,5222.2
355.98,5235.3
358.27,5366.3
360.56,5349.8
362.84,5423.4
365.13,5779.9
367.41,5859.3
369.69,5969.9
371.98,6135.2
374.26,6472.3
376.54,7071.4
378.82,8248.2
381.1,10327.3
383.37,14942.6
385.65,24425.0
387.93,36678.1
390.2,36642.6
392.47,23584.0
394.75,13693.9
397.02,9349.8
399.29,7456.8
401.56,7037.2
403.83,6761.6
406.09,7488.8
408.36,9227.9
410.62,9467.7
412.89,6867.9
415.15,5622.3
417.42,5111.4
419.68,4947.4
421.94,4975.1
424.2,4898.4
426.46,4981.6
428.71,4900.2
430.97,4868.0
433.23,4961.9
435.48,4861.2
437.74,4922.3
439.99,4953.7
442.24,5130.6
444.49,5355.3
446.74,5882.2
448.99,6639.7
451.24,7380.7
453.49,7766.3
455.73,8564.1
457.98,10674.9
460.22,13679.0
462.46,15763.3
464.71,14262.3
466.95,11074.9
