Propyl acetate
cm^-1,Intensity
150.0,15046.548828125
151.0,14715.619140625
152.0,14403.40234375
153.0,14101.9892578125
154.0,13802.28125
155.0,13499.759765625
156.0,13197.5361328125
157.0,12904.4697265625
158.0,12629.5673828125
159.0,12376.84765625
160.0,12144.1171875
161.0,11925.99609375
162.0,11718.1005859375
163.0,11519.119140625
164.0,11329.8251953125
165.0,11150.927734375
166.0,10981.9892578125
167.0,10821.900390625
168.0,10669.5048828125
169.0,10523.181640625
170.0,10379.88671875
171.0,10235.3046875
172.0,10085.8125
173.0,9930.9716796875
174.0,9774.3642578125
175.0,9621.9453125
176.0,9479.130859375
177.0,9348.77734375
178.0,9230.9287109375
179.0,9123.6474609375
180.0,9023.759765625
181.0,8927.2666015625
182.0,8830.0634765625
183.0,8729.2431640625
184.0,8624.2890625
185.0,8517.19921875
186.0,8411.4345703125
187.0,8310.5673828125
188.0,8217.34375
189.0,8133.08544921875
190.0,8057.09130859375
191.0,7986.48388671875
192.0,7917.48486328125
193.0,7848.0439453125
194.0,7779.896484375
195.0,7717.58349609375
196.0,7664.4111328125
197.0,7618.49658203125
198.0,7572.86181640625
199.0,7520.1953125
200.0,7458.5224609375
201.0,7392.77587890625
202.0,7330.71337890625
203.0,7276.71435546875
204.0,7228.69384765625
205.0,7180.5625
206.0,7127.72314453125
207.0,7071.05908203125
208.0,7016.51904296875
209.0,6971.2607421875
210.0,6939.35205078125
211.0,6919.6826171875
212.0,6906.736328125
213.0,6893.37353515625
214.0,6874.20703125
215.0,6848.0615234375
216.0,6818.3720703125
217.0,6791.10693359375
218.0,6771.29638671875
219.0,6760.2978515625
220.0,6755.66357421875
221.0,6753.6728515625
222.0,6752.45751953125
223.0,6753.251953125
224.0,6758.75830078125
225.0,6770.21728515625
226.0,6785.8349609375
227.0,6802.1435546875
228.0,6817.11328125
229.0,6832.23583984375
230.0,6851.541015625
231.0,6878.34326171875
232.0,6912.63037109375
233.0,6951.47705078125
234.0,6992.078125
235.0,7034.47705078125
236.0,7081.37890625
237.0,7135.1123046875
238.0,7194.59814453125
239.0,7255.1552734375
240.0,7311.53662109375
241.0,7361.607421875
242.0,7407.60546875
243.0,7453.9111328125
244.0,7503.2060546875
245.0,7554.10205078125
246.0,7601.98681640625
247.0,7642.29638671875
248.0,7673.58642578125
249.0,7698.35986328125
250.0,7721.498046875
251.0,7748.04638671875
252.0,7782.10888671875
253.0,7827.2275390625
254.0,7887.1142578125
255.0,7965.44580078125
256.0,8064.45654296875
257.0,8183.21923828125
258.0,8316.6865234375
259.0,8455.8642578125
260.0,8588.875
261.0,8702.482421875
262.0,8783.888671875
263.0,8822.7109375
264.0,8812.7314453125
265.0,8752.96875
266.0,8647.740234375
267.0,8505.7529296875
268.0,8338.546875
269.0,8158.65771484375
270.0,7977.771484375
271.0,7805.2138671875
272.0,7647.06591796875
273.0,7506.1552734375
274.0,7383.02392578125
275.0,7277.52197265625
276.0,7190.26025390625
277.0,7122.91650390625
278.0,7076.98095703125
279.0,7051.8359375
280.0,7043.94677734375
281.0,7048.38916015625
282.0,7061.76171875
283.0,7084.01220703125
284.0,7117.29443359375
285.0,7162.875
286.0,7219.23291015625
287.0,7283.6357421875
288.0,7355.94921875
289.0,7440.7529296875
290.0,7544.98828125
291.0,7672.501953125
292.0,7820.3583984375
293.0,7980.67578125
294.0,8147.1953125
295.0,8321.2744140625
296.0,8512.1650390625
297.0,8731.0703125
298.0,8983.591796875
299.0,9266.609375
300.0,9571.4765625
301.0,9890.1103515625
302.0,10218.1123046875
303.0,10552.2900390625
304.0,10885.2958984375
305.0,11202.7412109375
306.0,11485.6484375
307.0,11716.041015625
308.0,11881.1943359375
309.0,11974.1982421875
310.0,11992.701171875
311.0,11938.9541015625
312.0,11821.701171875
313.0,11657.1416015625
314.0,11466.21484375
315.0,11268.7509765625
316.0,11078.2177734375
317.0,10900.3916015625
318.0,10735.873046875
319.0,10583.5966796875
320.0,10442.57421875
321.0,10311.517578125
322.0,10187.9619140625
323.0,10068.5859375
324.0,9951.0029296875
325.0,9835.9033203125
326.0,9728.1318359375
327.0,9635.833984375
328.0,9568.1357421875
329.0,9532.7900390625
330.0,9535.26171875
331.0,9579.666015625
332.0,9670.6171875
333.0,9814.8056640625
334.0,10021.9287109375
335.0,10305.369140625
336.0,10682.6767578125
337.0,11175.0205078125
338.0,11804.7412109375
339.0,12591.1640625
340.0,13545.25390625
341.0,14662.7763671875
342.0,15915.21484375
343.0,17240.08203125
344.0,18536.806640625
345.0,19676.654296875
346.0,20529.76953125
347.0,21001.408203125
348.0,21061.6796875
349.0,20753.986328125
350.0,20178.634765625
351.0,19460.7265625
352.0,18716.208984375
353.0,18027.212890625
354.0,17430.873046875
355.0,16920.52734375
356.0,16456.740234375
357.0,15984.7568359375
358.0,15453.38671875
359.0,14829.68359375
360.0,14105.3310546875
361.0,13294.263671875
362.0,12425.1181640625
363.0,11533.0224609375
364.0,10653.5361328125
365.0,9819.0498046875
366.0,9056.3740234375
367.0,8384.45703125
368.0,7812.36181640625
369.0,7338.48779296875
370.0,6951.943359375
371.0,6636.18310546875
372.0,6373.8837890625
373.0,6151.162109375
374.0,5959.4375
375.0,5794.49951171875
376.0,5653.978515625
377.0,5535.36669921875
378.0,5435.87451171875
379.0,5353.50927734375
380.0,5287.5390625
381.0,5237.2958984375
382.0,5200.40625
383.0,5172.58154296875
384.0,5149.7900390625
385.0,5130.923828125
386.0,5118.1982421875
387.0,5114.60302734375
388.0,5120.84375
389.0,5134.99951171875
390.0,5155.3466796875
391.0,5183.46240234375
392.0,5224.2431640625
393.0,5282.638671875
394.0,5360.35009765625
395.0,5455.8203125
396.0,5567.62109375
397.0,5697.90087890625
398.0,5852.62353515625
399.0,6038.47412109375
400.0,6259.48876953125
401.0,6516.73779296875
402.0,6811.52783203125
403.0,7149.55078125
404.0,7542.4228515625
405.0,8004.71337890625
406.0,8547.2841796875
407.0,9169.37109375
408.0,9852.09765625
409.0,10555.53515625
410.0,11220.62109375
411.0,11776.6650390625
412.0,12154.056640625
413.0,12299.740234375
414.0,12190.962890625
415.0,11842.34375
416.0,11302.8994140625
417.0,10643.42578125
418.0,9938.927734375
419.0,9252.5048828125
420.0,8625.873046875
421.0,8078.17529296875
422.0,7610.72802734375
423.0,7213.76904296875
424.0,6872.2998046875
425.0,6570.2802734375
426.0,6293.79833984375
427.0,6033.59521484375
428.0,5786.3515625
429.0,5553.927734375
430.0,5340.79150390625
431.0,5151.05322265625
432.0,4986.61474609375
433.0,4846.8876953125
434.0,4729.40673828125
435.0,4630.466796875
436.0,4545.66259765625
437.0,4470.77197265625
438.0,4403.08154296875
439.0,4342.33740234375
440.0,4290.25927734375
441.0,4248.54345703125
442.0,4216.74365234375
443.0,4191.869140625
444.0,4170.1337890625
445.0,4149.34375
446.0,4129.79052734375
447.0,4113.00146484375
448.0,4099.859375
449.0,4090.042724609375
450.0,4083.085693359375
451.0,4079.50244140625
452.0,4080.49072265625
453.0,4086.628173828125
454.0,4097.24267578125
455.0,4111.2734375
456.0,4128.44775390625
457.0,4149.12060546875
458.0,4172.89208984375
459.0,4197.92236328125
460.0,4222.37451171875
461.0,4246.83740234375
462.0,4275.00537109375
463.0,4311.4052734375
464.0,4358.03759765625
465.0,4413.21142578125
466.0,4473.68115234375
467.0,4537.828125
468.0,4606.5712890625
469.0,4681.0595703125
470.0,4759.6171875
471.0,4837.19091796875
472.0,4908.0791015625
473.0,4969.64306640625
474.0,5023.97021484375
475.0,5076.7412109375
476.0,5135.05615234375
477.0,5206.31298828125
478.0,5298.4228515625
479.0,5419.88671875
480.0,5578.388671875
481.0,5778.05029296875
482.0,6016.7197265625
483.0,6284.87353515625
484.0,6567.16259765625
485.0,6846.80517578125
486.0,7111.5400390625
487.0,7357.8349609375
488.0,7589.33642578125
489.0,7808.44970703125
490.0,8005.34228515625
491.0,8152.30224609375
492.0,8209.4111328125
493.0,8140.10546875
494.0,7928.1435546875
495.0,7586.4580078125
496.0,7153.47509765625
497.0,6679.73486328125
498.0,6212.3388671875
499.0,5784.29296875
500.0,5411.8984375
501.0,5098.67724609375
502.0,4841.39111328125
503.0,4634.01708984375
504.0,4468.70654296875
