Tert-butanol
cm^-1,Intensity
150.0,1272.2806396484375
151.0,1257.339599609375
152.0,1248.7342529296875
153.0,1246.8260498046875
154.0,1248.9957275390625
155.0,1251.1700439453125
156.0,1249.96240234375
157.0,1244.1090087890625
158.0,1234.5040283203125
159.0,1223.2427978515625
160.0,1212.51171875
161.0,1203.901611328125
162.0,1198.1533203125
163.0,1195.111572265625
164.0,1193.81298828125
165.0,1192.775146484375
166.0,1190.5233154296875
167.0,1186.193603515625
168.0,1179.9180908203125
169.0,1172.74365234375
170.0,1166.016845703125
171.0,1160.5452880859375
172.0,1156.07666015625
173.0,1151.564453125
174.0,1146.091064453125
175.0,1139.7318115234375
176.0,1133.5772705078125
177.0,1128.8541259765625
178.0,1125.9141845703125
179.0,1124.0230712890625
180.0,1122.1290283203125
181.0,1119.868896484375
182.0,1117.84765625
183.0,1116.9207763671875
184.0,1117.1497802734375
185.0,1117.4119873046875
186.0,1116.091552734375
187.0,1112.335693359375
188.0,1106.877685546875
189.0,1101.697021484375
190.0,1098.70654296875
191.0,1098.3756103515625
192.0,1099.338134765625
193.0,1099.298828125
194.0,1096.642822265625
195.0,1091.594970703125
196.0,1086.1168212890625
197.0,1082.6279296875
198.0,1082.466064453125
199.0,1085.162353515625
200.0,1088.9437255859375
201.0,1092.0150146484375
202.0,1093.62158203125
203.0,1094.202392578125
204.0,1094.69384765625
205.0,1095.7276611328125
206.0,1097.40234375
207.0,1099.6697998046875
208.0,1102.729736328125
209.0,1106.871826171875
210.0,1111.84619140625
211.0,1116.467041015625
212.0,1119.013916015625
213.0,1118.2755126953125
214.0,1114.4300537109375
215.0,1109.0693359375
216.0,1104.36669921875
217.0,1101.979736328125
218.0,1102.3248291015625
219.0,1104.460205078125
220.0,1106.53125
221.0,1106.6353759765625
222.0,1103.88671875
223.0,1099.2052001953125
224.0,1095.164794921875
225.0,1094.6695556640625
226.0,1099.0550537109375
227.0,1106.9385986328125
228.0,1114.796875
229.0,1119.062255859375
230.0,1118.3306884765625
231.0,1114.1241455078125
232.0,1109.7689208984375
233.0,1108.2821044921875
234.0,1110.804443359375
235.0,1116.44287109375
236.0,1123.264892578125
237.0,1129.453857421875
238.0,1133.864013671875
239.0,1135.974365234375
240.0,1135.7427978515625
241.0,1133.723876953125
242.0,1131.27099609375
243.0,1130.329833984375
244.0,1132.620361328125
245.0,1138.610595703125
246.0,1147.046630859375
247.0,1155.5174560546875
248.0,1161.7528076171875
249.0,1164.7933349609375
250.0,1165.2408447265625
251.0,1164.5584716796875
252.0,1164.083984375
253.0,1164.5150146484375
254.0,1166.04541015625
255.0,1168.6959228515625
256.0,1172.357421875
257.0,1176.5830078125
258.0,1180.61669921875
259.0,1183.9322509765625
260.0,1186.8692626953125
261.0,1190.605712890625
262.0,1196.2186279296875
263.0,1203.51953125
264.0,1210.782958984375
265.0,1215.7803955078125
266.0,1217.39208984375
267.0,1216.45556640625
268.0,1215.1639404296875
269.0,1215.5135498046875
270.0,1218.033203125
271.0,1221.673828125
272.0,1224.7286376953125
273.0,1225.9693603515625
274.0,1225.2003173828125
275.0,1223.041259765625
276.0,1220.2598876953125
277.0,1217.1624755859375
278.0,1213.419189453125
279.0,1208.4298095703125
280.0,1202.026123046875
281.0,1195.0179443359375
282.0,1189.087158203125
283.0,1185.9263916015625
284.0,1186.15185546875
285.0,1188.839599609375
286.0,1192.11962890625
287.0,1194.4246826171875
288.0,1195.390869140625
289.0,1195.7366943359375
290.0,1196.3531494140625
291.0,1197.5208740234375
292.0,1198.9271240234375
293.0,1200.269287109375
294.0,1201.64453125
295.0,1203.231689453125
296.0,1204.664794921875
297.0,1204.9451904296875
298.0,1203.227294921875
299.0,1199.795654296875
300.0,1196.203125
301.0,1194.255126953125
302.0,1194.71728515625
303.0,1196.96435546875
304.0,1199.9024658203125
305.0,1203.21533203125
306.0,1207.630859375
307.0,1213.917236328125
308.0,1221.6239013671875
309.0,1228.9237060546875
310.0,1233.8369140625
311.0,1235.81591796875
312.0,1236.308349609375
313.0,1237.8572998046875
314.0,1242.523681640625
315.0,1250.8099365234375
316.0,1261.71044921875
317.0,1273.591552734375
318.0,1285.199462890625
319.0,1296.238525390625
320.0,1307.3411865234375
321.0,1319.5736083984375
322.0,1333.79443359375
323.0,1350.257080078125
324.0,1368.698486328125
325.0,1388.7880859375
326.0,1410.5196533203125
327.0,1434.2139892578125
328.0,1460.25927734375
329.0,1489.0277099609375
330.0,1521.2103271484375
331.0,1558.25048828125
332.0,1602.324462890625
333.0,1655.7222900390625
334.0,1720.2081298828125
335.0,1797.172607421875
336.0,1888.7630615234373
337.0,1999.1846923828125
338.0,2134.822265625
339.0,2302.363037109375
340.0,2505.29150390625
341.0,2740.24560546875
342.0,2995.12109375
343.0,3250.0625
344.0,3481.274169921875
345.0,3666.391357421875
346.0,3789.518310546875
347.0,3844.418212890625
348.0,3835.143798828125
349.0,3774.120849609375
350.0,3678.336669921875
351.0,3564.571533203125
352.0,3445.022216796875
353.0,3324.987060546875
354.0,3203.67626953125
355.0,3077.708740234375
356.0,2945.22265625
357.0,2807.994873046875
358.0,2670.48974609375
359.0,2537.053955078125
360.0,2409.754638671875
361.0,2288.52880859375
362.0,2173.086669921875
363.0,2064.59033203125
364.0,1965.547119140625
365.0,1878.168701171875
366.0,1802.792724609375
367.0,1737.728515625
368.0,1680.537109375
369.0,1629.5362548828125
370.0,1584.3406982421875
371.0,1545.216796875
372.0,1512.0352783203125
373.0,1483.83056640625
374.0,1459.2841796875
375.0,1437.5711669921875
376.0,1418.659423828125
377.0,1402.7105712890625
378.0,1389.1651611328125
379.0,1376.509765625
380.0,1363.154052734375
381.0,1348.7060546875
382.0,1334.4141845703125
383.0,1322.1995849609375
384.0,1313.0252685546875
385.0,1306.0550537109375
386.0,1299.3604736328125
387.0,1291.5513916015625
388.0,1282.8760986328125
389.0,1274.885986328125
390.0,1269.0797119140625
391.0,1265.752197265625
392.0,1263.9725341796875
393.0,1262.526611328125
394.0,1260.8897705078125
395.0,1259.3892822265625
396.0,1258.4849853515625
397.0,1257.8758544921875
398.0,1256.283935546875
399.0,1252.2313232421875
400.0,1245.291259765625
401.0,1236.8023681640625
402.0,1229.384765625
403.0,1225.51806640625
404.0,1226.22119140625
405.0,1230.751708984375
406.0,1237.312744140625
407.0,1243.9873046875
408.0,1249.2147216796875
409.0,1251.897705078125
410.0,1251.6484375
411.0,1249.23193359375
412.0,1246.57421875
413.0,1245.8509521484375
414.0,1248.1925048828125
415.0,1253.2244873046875
416.0,1260.0208740234375
417.0,1268.52197265625
418.0,1279.8399658203125
419.0,1294.9765625
420.0,1313.2142333984375
421.0,1331.9320068359375
422.0,1348.136962890625
423.0,1360.2562255859375
424.0,1368.531982421875
425.0,1373.880126953125
426.0,1376.614501953125
427.0,1376.3056640625
428.0,1372.6461181640625
429.0,1366.158447265625
430.0,1358.02392578125
431.0,1349.4805908203125
432.0,1341.6383056640625
