Tert-butyl methyl ether
cm^-1,Intensity
150.0,2337.98388671875
151.0,2324.30810546875
152.0,2309.050537109375
153.0,2293.332275390625
154.0,2278.255859375
155.0,2263.671142578125
156.0,2248.269775390625
157.0,2231.06640625
158.0,2212.881591796875
159.0,2196.3515625
160.0,2184.253173828125
161.0,2177.488037109375
162.0,2174.38818359375
163.0,2171.927978515625
164.0,2167.837646484375
165.0,2161.9453125
166.0,2155.826171875
167.0,2151.237548828125
168.0,2148.7080078125
169.0,2147.2685546875
170.0,2145.310546875
171.0,2141.72998046875
172.0,2136.576171875
173.0,2130.9296875
174.0,2126.274169921875
175.0,2123.73095703125
176.0,2123.4833984375
177.0,2124.6103515625
178.0,2125.42578125
179.0,2124.207275390625
180.0,2119.944091796875
181.0,2112.738525390625
182.0,2103.7001953125
183.0,2094.478759765625
184.0,2086.673095703125
185.0,2081.293701171875
186.0,2078.41015625
187.0,2077.111572265625
188.0,2075.896240234375
189.0,2073.365234375
190.0,2068.861083984375
191.0,2062.672607421875
192.0,2055.71875
193.0,2049.010986328125
194.0,2043.27490234375
195.0,2038.901611328125
196.0,2036.069580078125
197.0,2034.8255615234373
198.0,2035.091552734375
199.0,2036.72607421875
200.0,2039.6768798828125
201.0,2044.0135498046875
202.0,2049.6142578125
203.0,2055.642333984375
204.0,2060.40087890625
205.0,2062.045166015625
206.0,2059.886474609375
207.0,2055.220947265625
208.0,2050.705322265625
209.0,2048.50537109375
210.0,2048.67822265625
211.0,2049.322021484375
212.0,2048.478271484375
213.0,2046.153564453125
214.0,2044.5311279296875
215.0,2046.1351318359373
216.0,2051.56787109375
217.0,2058.90966796875
218.0,2065.2587890625
219.0,2068.973876953125
220.0,2070.615966796875
221.0,2071.93212890625
222.0,2074.0068359375
223.0,2076.30224609375
224.0,2077.33056640625
225.0,2076.17431640625
226.0,2073.45654296875
227.0,2070.963623046875
228.0,2070.359375
229.0,2072.086669921875
230.0,2075.31494140625
231.0,2078.83740234375
232.0,2082.101806640625
233.0,2085.497314453125
234.0,2089.739501953125
235.0,2094.98046875
236.0,2100.514892578125
237.0,2105.381103515625
238.0,2109.313720703125
239.0,2113.14794921875
240.0,2118.24658203125
241.0,2125.409912109375
242.0,2134.166259765625
243.0,2143.01904296875
244.0,2150.3837890625
245.0,2155.454833984375
246.0,2158.39697265625
247.0,2159.90380859375
248.0,2160.671875
249.0,2161.28515625
250.0,2162.521728515625
251.0,2165.58544921875
252.0,2171.733154296875
253.0,2181.295654296875
254.0,2192.80908203125
255.0,2203.18505859375
256.0,2209.260986328125
257.0,2209.872802734375
258.0,2206.96337890625
259.0,2204.7041015625
260.0,2207.099853515625
261.0,2215.779541015625
262.0,2229.485107421875
263.0,2245.4423828125
264.0,2261.29052734375
265.0,2276.081298828125
266.0,2289.85791015625
267.0,2302.59130859375
268.0,2313.625244140625
269.0,2322.120361328125
270.0,2328.031982421875
271.0,2332.70849609375
272.0,2338.51708984375
273.0,2347.631591796875
274.0,2360.77685546875
275.0,2376.818115234375
276.0,2393.560546875
277.0,2409.209716796875
278.0,2423.36083984375
279.0,2436.7373046875
280.0,2449.958740234375
281.0,2462.555419921875
282.0,2473.151123046875
283.0,2480.57958984375
284.0,2484.68408203125
285.0,2485.9482421875
286.0,2484.415771484375
287.0,2479.271728515625
288.0,2469.810791015625
289.0,2456.957275390625
290.0,2443.64697265625
291.0,2433.26318359375
292.0,2427.2158203125
293.0,2423.7275390625
294.0,2419.077880859375
295.0,2410.41845703125
296.0,2397.95458984375
297.0,2384.728515625
298.0,2374.181884765625
299.0,2367.45947265625
300.0,2362.53076171875
301.0,2355.803466796875
302.0,2344.91650390625
303.0,2330.600830078125
304.0,2316.26318359375
305.0,2305.732177734375
306.0,2300.962890625
307.0,2301.2978515625
308.0,2304.546142578125
309.0,2308.65869140625
310.0,2312.560302734375
311.0,2315.713623046875
312.0,2317.261962890625
313.0,2315.932861328125
314.0,2310.984130859375
315.0,2303.304931640625
316.0,2295.457763671875
317.0,2290.345458984375
318.0,2289.417236328125
319.0,2291.8154296875
320.0,2295.10791015625
321.0,2296.986328125
322.0,2296.666748046875
323.0,2295.108642578125
324.0,2294.201904296875
325.0,2295.69873046875
326.0,2300.5283203125
327.0,2308.599609375
328.0,2318.89599609375
329.0,2329.83984375
330.0,2340.067626953125
331.0,2349.440185546875
332.0,2359.602294921875
333.0,2373.33447265625
334.0,2392.78857421875
335.0,2417.826904296875
336.0,2445.90478515625
337.0,2473.8671875
338.0,2500.33251953125
339.0,2526.70556640625
340.0,2555.925048828125
341.0,2589.9287109375
342.0,2627.90234375
343.0,2666.540283203125
344.0,2701.79443359375
345.0,2730.447998046875
346.0,2750.404541015625
347.0,2760.096435546875
348.0,2758.24951171875
349.0,2744.634033203125
350.0,2721.074462890625
351.0,2691.500732421875
352.0,2660.66259765625
353.0,2632.466796875
354.0,2609.1376953125
355.0,2591.38818359375
356.0,2578.775146484375
357.0,2569.663330078125
358.0,2561.41552734375
359.0,2551.842529296875
360.0,2541.61572265625
361.0,2535.489013671875
362.0,2540.345458984375
363.0,2560.64404296875
364.0,2594.76318359375
365.0,2635.583984375
366.0,2675.10791015625
367.0,2709.3017578125
368.0,2739.0693359375
369.0,2766.9814453125
370.0,2793.181396484375
371.0,2814.235107421875
372.0,2825.542236328125
373.0,2824.55615234375
374.0,2811.92138671875
375.0,2790.1328125
376.0,2761.703125
377.0,2728.670166015625
378.0,2693.27392578125
379.0,2658.26708984375
380.0,2625.938232421875
381.0,2596.6806640625
382.0,2568.7587890625
383.0,2539.98046875
384.0,2510.12744140625
385.0,2482.03955078125
386.0,2460.15576171875
387.0,2447.334228515625
388.0,2442.42333984375
389.0,2440.6640625
390.0,2436.8671875
391.0,2429.015380859375
392.0,2419.402099609375
393.0,2412.45947265625
394.0,2411.1220703125
395.0,2414.740234375
396.0,2420.078857421875
397.0,2424.148681640625
398.0,2426.269287109375
399.0,2427.79150390625
400.0,2430.22021484375
401.0,2433.75341796875
402.0,2437.417236328125
403.0,2440.272705078125
404.0,2442.31298828125
405.0,2444.366455078125
406.0,2447.474853515625
407.0,2452.52734375
408.0,2460.283447265625
409.0,2471.276611328125
410.0,2485.30029296875
411.0,2500.8935546875
412.0,2515.528564453125
413.0,2526.619384765625
414.0,2532.6708984375
415.0,2533.71630859375
416.0,2530.798583984375
417.0,2525.06396484375
418.0,2517.23193359375
419.0,2507.76123046875
420.0,2497.394287109375
421.0,2487.438720703125
422.0,2479.36474609375
423.0,2473.88134765625
424.0,2470.18359375
425.0,2466.119140625
426.0,2459.401123046875
427.0,2449.17626953125
428.0,2436.88427734375
429.0,2425.796875
430.0,2419.525634765625
431.0,2420.339111328125
432.0,2428.0791015625
433.0,2440.120361328125
434.0,2452.4736328125
435.0,2461.71337890625
436.0,2466.8125
437.0,2469.589111328125
438.0,2473.156982421875
439.0,2479.35791015625
440.0,2487.224609375
441.0,2493.875244140625
442.0,2497.0966796875
443.0,2497.324462890625
444.0,2497.347412109375
445.0,2500.14892578125
446.0,2506.853515625
447.0,2516.33837890625
448.0,2526.4189453125
449.0,2535.446044921875
450.0,2543.289306640625
451.0,2551.414794921875
452.0,2562.13818359375
453.0,2577.1904296875
454.0,2596.0771484375
455.0,2615.34326171875
456.0,2629.783203125
457.0,2635.35546875
458.0,2631.929443359375
459.0,2623.584228515625
460.0,2615.895263671875
461.0,2612.16845703125
462.0,2611.543212890625
463.0,2610.3876953125
464.0,2605.58544921875
465.0,2596.795654296875
466.0,2586.009521484375
467.0,2575.28955078125
