Tetrahydrofuran
cm^-1,Intensity
150.0,677.5176391601562
151.0,676.0816650390625
152.0,678.5359497070312
153.0,683.3119506835938
154.0,686.748291015625
155.0,685.4005737304688
156.0,678.1694946289062
157.0,666.8908081054688
158.0,655.1619873046875
159.0,646.3925170898438
160.0,642.2536010742188
161.0,642.23583984375
162.0,644.2467041015625
163.0,645.8286743164062
164.0,645.4279174804688
165.0,643.124267578125
166.0,640.393798828125
167.0,638.9575805664062
168.0,639.4754028320312
169.0,641.0348510742188
170.0,641.8590698242188
171.0,640.6226196289062
172.0,637.3153686523438
173.0,633.00439453125
174.0,628.8594970703125
175.0,625.330322265625
176.0,622.0985107421875
177.0,618.6460571289062
178.0,614.8507690429688
179.0,611.1720581054688
180.0,608.4584350585938
181.0,607.6360473632812
182.0,609.4124145507812
183.0,613.9410400390625
184.0,620.4380493164062
185.0,627.0090942382812
186.0,631.0696411132812
187.0,630.4600830078125
188.0,624.8011474609375
189.0,616.1642456054688
190.0,608.3619995117188
191.0,604.9473266601562
192.0,607.0796508789062
193.0,612.7219848632812
194.0,617.9081420898438
195.0,619.3382568359375
196.0,616.4691162109375
197.0,611.60986328125
198.0,608.0106201171875
199.0,607.5548095703125
200.0,609.7978515625
201.0,612.9026489257812
202.0,615.3548583984375
203.0,616.9334106445312
204.0,618.3057861328125
205.0,619.980712890625
206.0,621.7366333007812
207.0,622.9386596679688
208.0,623.1851196289062
209.0,622.55322265625
210.0,621.3195190429688
211.0,619.6384887695312
212.0,617.5824584960938
213.0,615.4111938476562
214.0,613.6392211914062
215.0,612.755859375
216.0,612.8980712890625
217.0,613.8462524414062
218.0,615.3140869140625
219.0,617.1735229492188
220.0,619.3515014648438
221.0,621.5430297851562
222.0,623.100341796875
223.0,623.2799682617188
224.0,621.67138671875
225.0,618.4884033203125
226.0,614.5498046875
227.0,610.9981689453125
228.0,608.9171752929688
229.0,608.97265625
230.0,611.18017578125
231.0,614.8739624023438
232.0,618.9059448242188
233.0,622.020263671875
234.0,623.2685546875
235.0,622.337646484375
236.0,619.6751098632812
237.0,616.3283081054688
238.0,613.50634765625
239.0,612.0336303710938
240.0,612.0115966796875
241.0,612.907470703125
242.0,613.9881591796875
243.0,614.759033203125
244.0,615.1190795898438
245.0,615.2538452148438
246.0,615.4888305664062
247.0,616.22314453125
248.0,617.829833984375
249.0,620.4043579101562
250.0,623.5107421875
251.0,626.251708984375
252.0,627.7818603515625
253.0,627.9359130859375
254.0,627.435302734375
255.0,627.4547729492188
256.0,628.8404541015625
257.0,631.556640625
258.0,634.7150268554688
259.0,637.1318969726562
260.0,638.0433959960938
261.0,637.556396484375
262.0,636.5711669921875
263.0,636.1883544921875
264.0,636.983154296875
265.0,638.67578125
266.0,640.4878540039062
267.0,641.8710327148438
268.0,642.9066772460938
269.0,643.9700927734375
270.0,645.015869140625
271.0,645.3170166015625
272.0,644.0549926757812
273.0,641.2575073242188
274.0,638.1098022460938
275.0,636.24951171875
276.0,636.6241455078125
277.0,638.9219970703125
278.0,641.9722290039062
279.0,644.612060546875
280.0,646.2294311523438
281.0,646.7130126953125
282.0,646.1966552734375
283.0,645.0263671875
284.0,643.8864135742188
285.0,643.6683959960938
286.0,644.9152221679688
287.0,647.2334594726562
288.0,649.2890014648438
289.0,649.555908203125
290.0,647.3408203125
291.0,643.3009033203125
292.0,639.0628051757812
293.0,636.2024536132812
294.0,635.2858276367188
295.0,635.6033935546875
296.0,635.7267456054688
297.0,634.5028686523438
298.0,631.8093872070312
299.0,628.5684204101562
300.0,626.0277709960938
301.0,624.8402099609375
302.0,624.6421508789062
303.0,624.4154052734375
304.0,623.2957153320312
305.0,621.1392211914062
306.0,618.4458618164062
307.0,615.85986328125
308.0,613.8006591796875
309.0,612.524658203125
310.0,612.3546752929688
311.0,613.6101684570312
312.0,616.1395263671875
313.0,618.9208374023438
314.0,620.2882690429688
315.0,618.8411865234375
316.0,614.4185180664062
317.0,608.3674926757812
318.0,602.8366088867188
319.0,599.5367431640625
320.0,598.8157348632812
321.0,599.6235961914062
322.0,600.332275390625
323.0,599.80517578125
324.0,597.9833374023438
325.0,595.66357421875
326.0,593.7393798828125
327.0,592.5689697265625
328.0,591.9475708007812
329.0,591.589111328125
330.0,591.5651245117188
331.0,592.2360229492188
332.0,593.7607421875
333.0,595.69482421875
334.0,597.0986938476562
335.0,597.0657958984375
336.0,595.2274169921875
337.0,591.8907470703125
338.0,587.8286743164062
339.0,583.95263671875
340.0,580.99609375
341.0,579.2210083007812
342.0,578.2479858398438
343.0,577.2431030273438
344.0,575.552001953125
345.0,573.41455078125
346.0,572.0916748046875
347.0,573.0797729492188
348.0,576.857666015625
349.0,582.1809692382812
350.0,586.610595703125
351.0,587.9832763671875
352.0,585.7506103515625
353.0,581.1707153320312
354.0,576.283447265625
355.0,572.51025390625
356.0,569.9357299804688
357.0,567.71240234375
358.0,565.1124877929688
359.0,562.3230590820312
360.0,560.3439331054688
361.0,560.1143798828125
362.0,561.6215209960938
363.0,563.7503662109375
364.0,565.0503540039062
365.0,564.8165893554688
366.0,563.6227416992188
367.0,562.876708984375
368.0,563.75244140625
369.0,566.3346557617188
370.0,569.5569458007812
371.0,571.8767700195312
372.0,572.1436767578125
373.0,570.1336059570312
374.0,566.5757446289062
375.0,562.7655639648438
376.0,559.9607543945312
377.0,558.8024291992188
378.0,559.0496215820312
379.0,559.83349609375
380.0,560.30322265625
381.0,560.179931640625
382.0,559.779541015625
383.0,559.51806640625
384.0,559.3994750976562
385.0,558.9735107421875
386.0,557.7646484375
387.0,555.7196044921875
388.0,553.2286987304688
389.0,550.7304077148438
390.0,548.30029296875
391.0,545.6290893554688
392.0,542.4336547851562
393.0,538.9517211914062
394.0,536.077392578125
395.0,534.9450073242188
396.0,536.2030639648438
397.0,539.5018920898438
398.0,543.5772094726562
399.0,546.864990234375
400.0,548.1779174804688
401.0,547.0162353515625
402.0,543.5007934570312
403.0,538.2280883789062
404.0,532.2352294921875
405.0,526.9061889648438
406.0,523.5549926757812
407.0,522.7650756835938
408.0,523.974853515625
409.0,525.7505493164062
410.0,526.6536254882812
411.0,526.1177978515625
412.0,524.7135009765625
413.0,523.643310546875
414.0,523.8519897460938
415.0,525.3578491210938
416.0,527.2605590820312
417.0,528.4160766601562
418.0,528.2975463867188
419.0,527.4090576171875
420.0,526.9329833984375
421.0,527.906982421875
422.0,530.5908813476562
423.0,534.4390869140625
424.0,538.5308837890625
425.0,541.9877319335938
426.0,544.1318969726562
427.0,544.529052734375
428.0,543.1129760742188
429.0,540.3118286132812
430.0,536.9475708007812
431.0,533.903564453125
432.0,531.8203735351562
433.0,531.0116577148438
434.0,531.4773559570312
435.0,532.8385009765625
436.0,534.3175048828125
437.0,535.0604858398438
438.0,534.7340698242188
439.0,533.808349609375
440.0,533.064208984375
441.0,532.67822265625
442.0,531.8826904296875
443.0,529.7144775390625
444.0,526.1704711914062
445.0,522.5254516601562
446.0,520.3671264648438
447.0,520.2902221679688
448.0,521.5489501953125
449.0,522.9114379882812
450.0,523.7094116210938
451.0,524.0030517578125
452.0,523.9317626953125
453.0,523.224609375
454.0,521.5136108398438
455.0,519.0203247070312
456.0,516.7066650390625
457.0,515.6435546875
