Toluene
cm^-1,Intensity
150.0,2581.839111328125
151.0,2483.919189453125
152.0,2401.590087890625
153.0,2336.010986328125
154.0,2283.97900390625
155.0,2238.9501953125
156.0,2193.25830078125
157.0,2140.810791015625
158.0,2079.1201171875
159.0,2009.638916015625
160.0,1936.2960205078125
161.0,1863.535400390625
162.0,1795.353271484375
163.0,1735.37890625
164.0,1686.5865478515625
165.0,1649.6986083984375
166.0,1621.4566650390625
167.0,1595.2703857421875
168.0,1564.986328125
169.0,1529.3421630859375
170.0,1493.0491943359375
171.0,1463.1043701171875
172.0,1443.093994140625
173.0,1430.3756103515625
174.0,1418.3643798828125
175.0,1401.6881103515625
176.0,1379.634521484375
177.0,1355.4136962890625
178.0,1332.7166748046875
179.0,1313.0667724609375
180.0,1295.936767578125
181.0,1280.6121826171875
182.0,1267.456787109375
183.0,1257.4583740234375
184.0,1250.9652099609375
185.0,1247.156982421875
186.0,1244.712890625
187.0,1242.84228515625
188.0,1241.7193603515625
189.0,1242.234619140625
190.0,1245.6502685546875
191.0,1253.45068359375
192.0,1267.0042724609375
193.0,1286.6685791015625
194.0,1310.866455078125
195.0,1336.462646484375
196.0,1361.0711669921875
197.0,1386.0821533203125
198.0,1417.6414794921875
199.0,1463.8626708984375
200.0,1529.5579833984375
201.0,1612.641845703125
202.0,1705.6778564453125
203.0,1802.05908203125
204.0,1902.0836181640625
205.0,2013.797607421875
206.0,2147.74853515625
207.0,2309.717041015625
208.0,2497.033447265625
209.0,2700.396728515625
210.0,2908.595947265625
211.0,3111.763427734375
212.0,3301.4736328125
213.0,3469.408203125
214.0,3607.177490234375
215.0,3707.746826171875
216.0,3766.78076171875
217.0,3782.39208984375
218.0,3753.84912109375
219.0,3680.95947265625
220.0,3564.984130859375
221.0,3410.141845703125
222.0,3224.22705078125
223.0,3017.828857421875
224.0,2802.82958984375
225.0,2590.8466796875
226.0,2391.60546875
227.0,2211.198486328125
228.0,2050.92919921875
229.0,1907.887451171875
230.0,1777.4818115234375
231.0,1656.440185546875
232.0,1544.281494140625
233.0,1442.4190673828125
234.0,1352.0906982421875
235.0,1273.000732421875
236.0,1203.5751953125
237.0,1142.0869140625
238.0,1087.35986328125
239.0,1038.5445556640625
240.0,994.5428466796876
241.0,953.9034423828124
242.0,915.3517456054688
243.0,878.4136352539062
244.0,843.5508422851562
245.0,811.734375
246.0,783.8173828125
247.0,760.0988159179688
248.0,740.1873168945312
249.0,723.099609375
250.0,707.5313110351562
251.0,692.2830200195312
252.0,676.740966796875
253.0,661.1445922851562
254.0,646.394287109375
255.0,633.4301147460938
256.0,622.5640869140625
257.0,613.2511596679688
258.0,604.4578857421875
259.0,595.3370971679688
260.0,585.687255859375
261.0,575.9132080078125
262.0,566.6226196289062
263.0,558.2219848632812
264.0,550.7539672851562
265.0,543.9539794921875
266.0,537.396728515625
267.0,530.6699829101562
268.0,523.5662231445312
269.0,516.2200927734375
270.0,509.0537414550781
271.0,502.5140075683594
272.0,496.7860412597656
273.0,491.72174072265625
274.0,487.019775390625
275.0,482.4629211425781
276.0,478.0240478515625
277.0,473.8424072265625
278.0,470.18756103515625
279.0,467.414306640625
280.0,465.7857666015625
281.0,465.1625061035156
282.0,464.8165893554688
283.0,463.6721496582031
284.0,460.9118041992188
285.0,456.4754943847656
286.0,451.027587890625
287.0,445.46575927734375
288.0,440.4944458007813
289.0,436.61712646484375
290.0,434.3417663574219
291.0,434.0881042480469
292.0,435.6737060546875
293.0,437.8923950195313
294.0,438.8495788574219
295.0,437.0485229492188
296.0,432.4361572265625
297.0,426.50732421875
298.0,421.3267211914063
299.0,418.2603759765625
300.0,417.36322021484375
301.0,417.7510070800781
302.0,418.43365478515625
303.0,418.8759765625
304.0,418.9845581054688
305.0,418.7897644042969
306.0,418.2501525878906
307.0,417.3117980957031
308.0,416.0357971191406
309.0,414.5830078125
310.0,413.0816345214844
311.0,411.5736389160156
312.0,410.1525268554688
313.0,409.1533203125
314.0,409.1333923339844
315.0,410.5317687988281
316.0,413.2251892089844
317.0,416.3821716308594
318.0,418.8480224609375
319.0,419.8671569824219
320.0,419.6036987304688
321.0,419.0390930175781
322.0,419.2997741699219
323.0,420.9457702636719
324.0,423.76214599609375
325.0,427.1450500488281
326.0,430.6969299316406
327.0,434.533447265625
328.0,439.1383361816406
329.0,444.9779968261719
330.0,452.2133483886719
331.0,460.6847229003906
332.0,470.12646484375
333.0,480.4684753417969
334.0,492.06585693359375
335.0,505.7340393066406
336.0,522.5552368164062
337.0,543.5679321289062
338.0,569.5493774414062
339.0,600.9783325195312
340.0,638.0023193359375
341.0,680.1084594726562
342.0,725.4492797851562
343.0,770.2388916015625
344.0,808.8721923828125
345.0,835.1306762695312
346.0,844.1063842773438
347.0,833.9400634765625
348.0,806.4591674804688
349.0,766.3773803710938
350.0,719.5528564453125
351.0,671.2289428710938
352.0,625.0538940429688
353.0,583.0729370117188
354.0,546.2537231445312
355.0,514.9716186523438
356.0,489.1986083984375
357.0,468.5497131347656
358.0,452.4060363769531
359.0,440.0836791992188
360.0,430.8475341796875
361.0,423.7615051269531
362.0,417.6685791015625
363.0,411.5470581054688
364.0,405.0434265136719
365.0,398.6414794921875
366.0,393.1885681152344
367.0,389.12255859375
368.0,386.0849304199219
369.0,383.2267150878906
370.0,379.8608703613281
371.0,375.8829040527344
372.0,371.7308044433594
373.0,368.1116638183594
374.0,365.7454223632813
375.0,365.1119384765625
376.0,366.1232604980469
377.0,367.9111022949219
378.0,369.0863952636719
379.0,368.517822265625
380.0,366.1019592285156
381.0,362.86126708984375
382.0,360.2420959472656
383.0,359.1738586425781
384.0,359.6319885253906
385.0,360.9205627441406
386.0,362.29052734375
387.0,363.36572265625
388.0,364.17083740234375
389.0,364.9245910644531
390.0,365.8312072753906
391.0,366.9774169921875
392.0,368.33795166015625
393.0,369.865966796875
394.0,371.6089477539063
395.0,373.7393493652344
396.0,376.4409790039063
397.0,379.7620849609375
398.0,383.6249084472656
399.0,388.0118408203125
400.0,393.06640625
401.0,398.8440856933594
402.0,404.8367309570313
403.0,409.7976989746094
404.0,412.2846374511719
405.0,411.6495971679688
406.0,408.6413879394531
407.0,404.9754638671875
408.0,402.1394653320313
409.0,400.4630432128906
410.0,399.23236083984375
411.0,397.63421630859375
412.0,395.5232849121094
413.0,393.2815856933594
414.0,391.0621643066406
415.0,388.3523559570313
416.0,384.4178466796875
417.0,379.1816101074219
418.0,373.6073913574219
419.0,369.1566467285156
420.0,366.8140563964844
421.0,366.56939697265625
422.0,367.71038818359375
423.0,369.50103759765625
424.0,371.5594482421875
425.0,373.701171875
426.0,375.6219482421875
427.0,376.8887023925781
428.0,377.27447509765625
429.0,377.0132446289063
430.0,376.6048278808594
431.0,376.3025512695313
432.0,375.81341552734375
433.0,374.5788269042969
434.0,372.3870544433594
435.0,369.68310546875
436.0,367.2258605957031
437.0,365.4332580566406
438.0,364.1183471679688
439.0,362.8894653320313
440.0,361.7590026855469
441.0,361.2615661621094
442.0,361.9206237792969
443.0,363.625
444.0,365.5650024414063
445.0,366.8036804199219
446.0,366.9515075683594
447.0,366.39593505859375
448.0,366.0100708007813
449.0,366.64642333984375
450.0,368.7388000488281
451.0,372.1614685058594
452.0,376.3890380859375
453.0,380.9424743652344
454.0,385.9346923828125
455.0,392.3318786621094
456.0,401.6443786621094
457.0,415.1878967285156
458.0,433.4354248046875
459.0,455.9200744628906
460.0,481.6415710449219
461.0,509.4698486328125
462.0,538.06103515625
463.0,565.27734375
464.0,587.677734375
465.0,600.8290405273438
466.0,600.7490844726562
467.0,585.9396362304688
468.0,558.7387084960938
469.0,524.8516845703125
470.0,491.07080078125
471.0,462.498291015625
472.0,440.9879150390625
473.0,425.5821228027344
474.0,414.19873046875
475.0,405.1522521972656
476.0,397.657470703125
477.0,391.49615478515625
478.0,386.53118896484375
479.0,382.4833068847656
480.0,378.9674072265625
481.0,375.6803588867188
482.0,372.6705322265625
483.0,370.49517822265625
484.0,369.9713745117188
485.0,371.5145263671875
486.0,374.5868225097656
487.0,377.8850708007813
488.0,380.2357482910156
489.0,381.41888427734375
490.0,382.1772766113281
491.0,383.4779357910156
492.0,385.7898559570313
493.0,388.9609680175781
494.0,392.5700073242188
495.0,396.2732849121094
496.0,399.927001953125
497.0,403.6417541503906
498.0,407.8957824707031
499.0,413.5502624511719
500.0,421.5435791015625
501.0,432.3280334472656
502.0,445.4581298828125
503.0,459.7829284667969
504.0,474.3425598144531
505.0,489.4628601074219
506.0,507.1505432128906
507.0,530.3670043945312
508.0,561.968994140625
509.0,604.671875
510.0,662.1476440429688
511.0,739.4523315429688
512.0,841.6707153320312
513.0,973.7135009765624
514.0,1146.4669189453125
515.0,1388.6490478515625
516.0,1751.4283447265625
517.0,2288.17138671875
518.0,3007.26318359375
519.0,3824.7890625
520.0,4560.1181640625
521.0,4997.74267578125
522.0,4989.23828125
523.0,4532.10400390625
524.0,3771.805419921875
525.0,2925.383544921875
526.0,2179.029296875
527.0,1623.6334228515625
528.0,1255.3897705078125
529.0,1020.87890625
530.0,864.9071655273438
531.0,753.2722778320312
532.0,670.7695922851562
533.0,610.4602661132812
534.0,566.76416015625
535.0,534.322509765625
536.0,508.8406066894531
537.0,487.3180236816406
538.0,467.8340759277344
539.0,449.5059814453125
540.0,432.38226318359375
541.0,416.9461975097656
542.0,403.5645446777344
543.0,392.32958984375
544.0,383.1599731445313
545.0,375.7599487304688
546.0,369.4797668457031
547.0,363.5072021484375
548.0,357.45135498046875
549.0,351.7426147460937
550.0,347.3006591796875
551.0,344.6783447265625
552.0,343.4932861328125
553.0,342.6842956542969
554.0,341.2948608398437
555.0,339.0337219238281
556.0,336.1923522949219
557.0,333.1713256835937
558.0,330.1617431640625
559.0,327.2071533203125
560.0,324.3982849121094
561.0,321.867919921875
562.0,319.5873413085937
563.0,317.2794494628906
564.0,314.64923095703125
565.0,311.7323608398437
566.0,308.98193359375
567.0,306.9871826171875
568.0,306.1219482421875
569.0,306.4603271484375
570.0,307.9288024902344
571.0,310.3807678222656
572.0,313.45538330078125
573.0,316.47369384765625
574.0,318.6802062988281
575.0,319.7140808105469
576.0,319.8178405761719
577.0,319.5012512207031
578.0,318.99444580078125
579.0,318.12158203125
580.0,316.7749328613281
581.0,315.426025390625
582.0,314.97705078125
583.0,315.967529296875
584.0,317.95050048828125
585.0,319.8028869628906
586.0,320.77117919921875
587.0,321.197509765625
588.0,322.1396179199219
589.0,324.26025390625
590.0,327.1725158691406
591.0,329.961669921875
592.0,332.3131408691406
593.0,335.004150390625
594.0,339.23046875
595.0,345.5008239746094
596.0,353.2366027832031
597.0,361.3735046386719
598.0,369.2137451171875
599.0,376.722412109375
600.0,384.2784118652344
601.0,392.4338684082031
602.0,401.9088134765625
603.0,413.4913330078125
604.0,427.6312561035156
605.0,444.1612854003906
606.0,462.7104187011719
607.0,483.6225280761719
608.0,508.46380615234375
609.0,539.5402221679688
610.0,578.9708251953125
611.0,628.387451171875
612.0,689.5240478515625
613.0,764.790283203125
614.0,856.7991333007812
615.0,966.8981323242188
616.0,1093.7860107421875
617.0,1233.1298828125
618.0,1378.0250244140625
619.0,1519.42919921875
620.0,1646.077880859375
621.0,1744.43603515625
622.0,1799.9403076171875
623.0,1800.3746337890625
624.0,1740.689697265625
625.0,1626.8546142578125
626.0,1475.84521484375
627.0,1310.621826171875
628.0,1152.213134765625
629.0,1013.3387451171876
630.0,897.0928955078125
631.0,800.516845703125
632.0,719.585693359375
633.0,651.9790649414062
634.0,596.7399291992188
635.0,552.6693115234375
636.0,517.6428833007812
637.0,489.2774963378906
638.0,465.8291931152344
639.0,446.314697265625
640.0,429.98736572265625
641.0,415.9665222167969
642.0,403.42523193359375
643.0,391.98583984375
644.0,381.77679443359375
645.0,373.0616149902344
646.0,365.8331604003906
647.0,359.7586975097656
648.0,354.4544677734375
649.0,349.7435607910156
650.0,345.6378173828125
651.0,342.1241149902344
652.0,339.01910400390625
653.0,336.0213623046875
654.0,332.866455078125
655.0,329.4532775878906
656.0,325.9242248535156
657.0,322.6979675292969
658.0,320.3545227050781
659.0,319.3114318847656
660.0,319.4815979003906
661.0,320.2400207519531
662.0,320.7679748535156
663.0,320.4625244140625
664.0,319.1037292480469
665.0,316.84619140625
