n-Heptane
cm^-1,Intensity
150.0,20700.134765625
151.0,20365.994140625
152.0,20060.421875
153.0,19775.86328125
154.0,19495.048828125
155.0,19201.443359375
156.0,18889.84375
157.0,18570.12890625
158.0,18261.607421875
159.0,17981.978515625
160.0,17737.927734375
161.0,17523.029296875
162.0,17323.0546875
163.0,17124.6796875
164.0,16922.158203125
165.0,16718.87109375
166.0,16523.798828125
167.0,16345.416015625
168.0,16186.30078125
169.0,16040.958984375
170.0,15898.0537109375
171.0,15746.033203125
172.0,15579.6328125
173.0,15403.65234375
174.0,15231.498046875
175.0,15078.5341796875
176.0,14953.6103515625
177.0,14853.9990234375
178.0,14767.2900390625
179.0,14679.6201171875
180.0,14584.74609375
181.0,14487.7744140625
182.0,14400.6748046875
183.0,14333.01953125
184.0,14284.62109375
185.0,14245.427734375
186.0,14202.3837890625
187.0,14148.115234375
188.0,14085.3671875
189.0,14024.576171875
190.0,13976.78515625
191.0,13946.7080078125
192.0,13930.2119140625
193.0,13917.1826171875
194.0,13897.7373046875
195.0,13867.822265625
196.0,13831.015625
197.0,13795.669921875
198.0,13769.4482421875
199.0,13754.9912109375
200.0,13749.4375
201.0,13747.7822265625
202.0,13747.09375
203.0,13748.27734375
204.0,13754.240234375
205.0,13766.4599609375
206.0,13782.990234375
207.0,13799.4052734375
208.0,13811.408203125
209.0,13816.73828125
210.0,13815.1787109375
211.0,13807.5380859375
212.0,13795.185546875
213.0,13780.505859375
214.0,13767.2509765625
215.0,13759.724609375
216.0,13761.05078125
217.0,13771.9150390625
218.0,13790.6845703125
219.0,13814.4521484375
220.0,13839.73828125
221.0,13862.3681640625
222.0,13877.443359375
223.0,13880.658203125
224.0,13870.8798828125
225.0,13852.0703125
226.0,13832.2998046875
227.0,13819.572265625
228.0,13817.0615234375
229.0,13821.41015625
230.0,13825.85546875
231.0,13826.005859375
232.0,13823.86328125
233.0,13826.78125
234.0,13842.2392578125
235.0,13872.4765625
236.0,13912.9326171875
237.0,13955.142578125
238.0,13991.537109375
239.0,14019.00390625
240.0,14039.6640625
241.0,14059.2783203125
242.0,14084.34375
243.0,14118.951171875
244.0,14162.697265625
245.0,14210.96875
246.0,14257.8125
247.0,14299.51953125
248.0,14336.1796875
249.0,14370.0869140625
250.0,14402.8740234375
251.0,14434.4013671875
252.0,14464.3427734375
253.0,14494.392578125
254.0,14528.3505859375
255.0,14569.93359375
256.0,14620.7939453125
257.0,14681.0107421875
258.0,14751.2958984375
259.0,14834.173828125
260.0,14932.55078125
261.0,15047.2822265625
262.0,15176.642578125
263.0,15318.71484375
264.0,15474.5517578125
265.0,15649.19921875
266.0,15849.7392578125
267.0,16082.2333984375
268.0,16349.9580078125
269.0,16653.64453125
270.0,16992.732421875
271.0,17366.400390625
272.0,17774.08984375
273.0,18215.734375
274.0,18691.57421875
275.0,19201.171875
276.0,19741.728515625
277.0,20306.705078125
278.0,20885.67578125
279.0,21465.11328125
280.0,22028.9453125
281.0,22558.216796875
282.0,23031.1796875
283.0,23426.16015625
284.0,23727.8828125
285.0,23934.486328125
286.0,24060.3828125
287.0,24131.90625
288.0,24178.275390625
289.0,24224.279296875
290.0,24289.98828125
291.0,24396.5234375
292.0,24571.373046875
293.0,24847.544921875
294.0,25257.412109375
295.0,25828.40625
296.0,26586.49609375
297.0,27566.244140625
298.0,28820.009765625
299.0,30420.580078125
300.0,32457.681640625
301.0,35030.3359375
302.0,38230.30078125
303.0,42105.0546875
304.0,46595.8203125
305.0,51471.66796875
306.0,56303.18359375
307.0,60516.03515625
308.0,63528.44140625
309.0,64920.84765625
310.0,64560.6640625
311.0,62623.33984375
312.0,59504.2421875
313.0,55674.57421875
314.0,51549.9921875
315.0,47420.578125
316.0,43449.8125
317.0,39715.265625
318.0,36256.1953125
319.0,33103.30859375
320.0,30284.564453125
321.0,27816.015625
322.0,25691.6484375
323.0,23882.623046875
324.0,22346.849609375
325.0,21042.1640625
326.0,19934.55859375
327.0,18997.96875
328.0,18209.044921875
329.0,17543.052734375
330.0,16974.453125
331.0,16480.84375
332.0,16046.66015625
333.0,15664.0849609375
334.0,15330.9853515625
335.0,15047.2529296875
336.0,14811.2177734375
337.0,14617.833984375
338.0,14459.90625
339.0,14331.87890625
340.0,14233.6162109375
341.0,14170.9365234375
342.0,14152.111328125
343.0,14183.07421875
344.0,14265.349609375
345.0,14398.33984375
346.0,14583.58984375
347.0,14827.1611328125
348.0,15138.0908203125
349.0,15524.0009765625
350.0,15986.0517578125
351.0,16514.2109375
352.0,17082.845703125
353.0,17647.890625
354.0,18148.759765625
355.0,18518.01953125
356.0,18697.951171875
357.0,18657.654296875
358.0,18402.568359375
359.0,17971.736328125
360.0,17424.435546875
361.0,16823.251953125
362.0,16220.6650390625
363.0,15652.71875
364.0,15139.4443359375
365.0,14689.1328125
366.0,14303.3876953125
367.0,13980.6533203125
368.0,13717.1904296875
369.0,13506.4716796875
370.0,13339.3671875
371.0,13206.88671875
372.0,13104.361328125
373.0,13033.4130859375
374.0,12999.205078125
375.0,13004.734375
376.0,13047.529296875
377.0,13122.3408203125
378.0,13227.6591796875
379.0,13369.8349609375
380.0,13560.70703125
381.0,13811.2421875
382.0,14127.53125
383.0,14513.068359375
384.0,14974.9365234375
385.0,15528.16796875
386.0,16194.8212890625
387.0,16998.55078125
388.0,17956.94921875
389.0,19071.994140625
390.0,20317.943359375
391.0,21629.353515625
392.0,22897.212890625
393.0,23981.91796875
394.0,24745.3046875
395.0,25092.802734375
396.0,25007.53515625
397.0,24559.50390625
398.0,23883.544921875
399.0,23134.298828125
400.0,22438.01171875
401.0,21861.224609375
402.0,21405.94921875
403.0,21027.716796875
404.0,20663.451171875
405.0,20256.013671875
406.0,19768.98828125
407.0,19191.40625
408.0,18535.12890625
409.0,17827.765625
410.0,17103.8515625
411.0,16397.05859375
412.0,15735.5771484375
413.0,15140.5791015625
414.0,14626.1630859375
415.0,14199.5
416.0,13861.26171875
417.0,13606.458984375
418.0,13424.75390625
419.0,13299.3203125
420.0,13205.7158203125
421.0,13114.447265625
422.0,12999.06640625
423.0,12846.3466796875
424.0,12661.1845703125
425.0,12461.564453125
426.0,12266.8125
427.0,12087.6533203125
428.0,11924.5908203125
429.0,11773.712890625
430.0,11633.2958984375
431.0,11505.8642578125
432.0,11395.552734375
433.0,11304.5361328125
434.0,11231.6533203125
435.0,11173.4111328125
436.0,11125.8916015625
437.0,11086.3408203125
438.0,11054.029296875
439.0,11030.1533203125
440.0,11016.775390625
441.0,11015.5810546875
442.0,11027.748046875
443.0,11055.263671875
444.0,11102.48046875
445.0,11176.3837890625
446.0,11285.28515625
447.0,11436.6708984375
448.0,11634.2880859375
449.0,11873.7998046875
450.0,12137.9619140625
451.0,12395.37890625
452.0,12606.9765625
453.0,12739.1455078125
454.0,12775.8408203125
455.0,12721.052734375
456.0,12590.8466796875
457.0,12403.0439453125
458.0,12173.5517578125
459.0,11920.1474609375
460.0,11665.833984375
461.0,11434.71875
462.0,11242.5263671875
463.0,11090.916015625
464.0,10971.787109375
465.0,10877.4306640625
466.0,10806.7939453125
467.0,10762.7490234375
468.0,10744.7705078125
469.0,10745.5771484375
470.0,10754.8134765625
471.0,10765.1640625
472.0,10774.67578125
473.0,10784.3564453125
474.0,10795.400390625
475.0,10809.431640625
476.0,10830.234375
477.0,10863.0576171875
478.0,10910.771484375
479.0,10970.662109375
480.0,11035.6416015625
481.0,11099.0234375
