n-Hexane
cm^-1,Intensity
150.0,24560.169921875
151.0,24433.087890625
152.0,24318.390625
153.0,24206.033203125
154.0,24085.50390625
155.0,23952.279296875
156.0,23809.986328125
157.0,23667.251953125
158.0,23532.154296875
159.0,23408.349609375
160.0,23294.71875
161.0,23187.39453125
162.0,23082.0
163.0,22975.203125
164.0,22865.951171875
165.0,22756.3984375
166.0,22651.474609375
167.0,22556.287109375
168.0,22472.6328125
169.0,22397.388671875
170.0,22324.41796875
171.0,22248.41015625
172.0,22167.4296875
173.0,22082.400390625
174.0,21995.01171875
175.0,21906.685546875
176.0,21819.435546875
177.0,21736.810546875
178.0,21662.962890625
179.0,21600.0859375
180.0,21546.646484375
181.0,21498.123046875
182.0,21449.650390625
183.0,21398.251953125
184.0,21343.18359375
185.0,21284.859375
186.0,21223.92578125
187.0,21161.279296875
188.0,21098.599609375
189.0,21038.453125
190.0,20983.67578125
191.0,20936.4296875
192.0,20897.533203125
193.0,20866.310546875
194.0,20840.892578125
195.0,20818.87109375
196.0,20798.103515625
197.0,20777.42578125
198.0,20756.94921875
199.0,20737.7109375
200.0,20720.80859375
201.0,20706.5859375
202.0,20694.5546875
203.0,20684.205078125
204.0,20676.0390625
205.0,20671.65625
206.0,20672.388671875
207.0,20677.46875
208.0,20683.60546875
209.0,20686.88671875
210.0,20685.78515625
211.0,20682.6796875
212.0,20682.419921875
213.0,20689.103515625
214.0,20703.83203125
215.0,20725.025390625
216.0,20750.2578125
217.0,20777.353515625
218.0,20803.943359375
219.0,20826.875
220.0,20843.291015625
221.0,20853.03515625
222.0,20859.935546875
223.0,20870.029296875
224.0,20887.736328125
225.0,20913.27734375
226.0,20943.65234375
227.0,20975.994140625
228.0,21009.650390625
229.0,21044.67578125
230.0,21078.474609375
231.0,21104.845703125
232.0,21117.75390625
233.0,21117.220703125
234.0,21111.556640625
235.0,21112.771484375
236.0,21127.98828125
237.0,21154.22265625
238.0,21181.1875
239.0,21200.046875
240.0,21210.375
241.0,21219.376953125
242.0,21234.396484375
243.0,21255.734375
244.0,21276.26171875
245.0,21287.8515625
246.0,21288.90625
247.0,21286.498046875
248.0,21291.64453125
249.0,21311.455078125
250.0,21344.00390625
251.0,21379.255859375
252.0,21405.052734375
253.0,21414.087890625
254.0,21407.455078125
255.0,21393.08984375
256.0,21380.68359375
257.0,21376.8828125
258.0,21383.552734375
259.0,21399.03515625
260.0,21420.173828125
261.0,21443.375
262.0,21465.095703125
263.0,21483.103515625
264.0,21498.28125
265.0,21514.708984375
266.0,21536.51953125
267.0,21563.484375
268.0,21589.724609375
269.0,21608.025390625
270.0,21616.7890625
271.0,21623.22265625
272.0,21639.09375
273.0,21671.98046875
274.0,21719.623046875
275.0,21772.453125
276.0,21822.279296875
277.0,21869.61328125
278.0,21923.50390625
279.0,21994.423828125
280.0,22086.466796875
281.0,22195.22265625
282.0,22312.26171875
283.0,22431.82421875
284.0,22554.0078125
285.0,22682.49609375
286.0,22819.671875
287.0,22963.826171875
288.0,23110.958984375
289.0,23259.3125
290.0,23412.453125
291.0,23577.79296875
292.0,23761.591796875
293.0,23964.5078125
294.0,24181.654296875
295.0,24407.30859375
296.0,24640.609375
297.0,24887.65234375
298.0,25158.046875
299.0,25458.06640625
300.0,25784.525390625
301.0,26122.890625
302.0,26450.779296875
303.0,26745.37890625
304.0,26991.837890625
305.0,27188.626953125
306.0,27347.015625
307.0,27484.822265625
308.0,27618.14453125
309.0,27756.203125
310.0,27901.546875
311.0,28053.4140625
312.0,28210.021484375
313.0,28367.75
314.0,28519.103515625
315.0,28652.494140625
316.0,28754.55859375
317.0,28813.015625
318.0,28818.4375
319.0,28765.814453125
320.0,28657.634765625
321.0,28507.8515625
322.0,28343.0078125
323.0,28197.208984375
324.0,28102.228515625
325.0,28077.927734375
326.0,28128.021484375
327.0,28241.908203125
328.0,28398.919921875
329.0,28571.3203125
330.0,28725.486328125
331.0,28823.8828125
332.0,28830.5234375
333.0,28719.822265625
334.0,28485.21484375
335.0,28142.798828125
336.0,27727.24609375
337.0,27281.099609375
338.0,26842.51171875
339.0,26437.1328125
